Station_Name,Year,Month,Type,Wind_Speed,Direction,Block
Mymensingh,2022,4,Minimum,1,180,B11
Mymensingh,2022,5,Minimum,1,90,B11
Mymensingh,2022,6,Minimum,1,230,B11
Mymensingh,2022,7,Minimum,1,90,B11
Mymensingh,2022,8,Minimum,1,90,B11
Mymensingh,2022,9,Minimum,1,320,B11
Mymensingh,2022,10,Minimum,1,180,B11
Mymensingh,2023,1,Minimum,1,270,B11
Mymensingh,2023,3,Minimum,2,40,B11
Mymensingh,2023,4,Minimum,1,90,B11
Mymensingh,2023,5,Minimum,1,90,B11
Mymensingh,2023,6,Minimum,1,130,B11
Mymensingh,2023,7,Minimum,1,130,B11
Mymensingh,2023,8,Minimum,1,180,B11
Mymensingh,2023,9,Minimum,1,130,B11
Mymensingh,2023,10,Minimum,1,180,B11
Mymensingh,2023,11,Minimum,4,110,B11
Mymensingh,2023,12,Minimum,2,320,B11
Mymensingh,2024,1,Minimum,1,270,B11
Mymensingh,2024,2,Minimum,1,90,B11
Mymensingh,2024,3,Minimum,1,50,B11
Mymensingh,2024,4,Minimum,1,130,B11
Mymensingh,2024,5,Minimum,1,90,B11
Mymensingh,2024,6,Minimum,1,180,B11
Mymensingh,2024,7,Minimum,1,130,B11
Sylhet,2015,1,Minimum,2,360,B11
Sylhet,2015,2,Minimum,2,70,B11
Sylhet,2015,3,Minimum,2,210,B11
Sylhet,2015,4,Minimum,2,70,B11
Sylhet,2015,5,Minimum,2,30,B11
Sylhet,2015,6,Minimum,2,80,B11
Sylhet,2015,7,Minimum,2,190,B11
Sylhet,2015,8,Minimum,2,60,B11
Sylhet,2015,9,Minimum,2,50,B11
Sylhet,2015,10,Minimum,2,90,B11
Sylhet,2015,11,Minimum,2,30,B11
Sylhet,2015,12,Minimum,2,60,B11
Sylhet,2016,1,Minimum,2,90,B11
Sylhet,2016,2,Minimum,2,80,B11
Sylhet,2016,3,Minimum,2,60,B11
Sylhet,2016,4,Minimum,2,80,B11
Sylhet,2016,5,Minimum,2,60,B11
Sylhet,2016,6,Minimum,2,70,B11
Sylhet,2016,7,Minimum,2,90,B11
Sylhet,2016,8,Minimum,2,270,B11
Sylhet,2016,9,Minimum,2,130,B11
Sylhet,2016,10,Minimum,2,130,B11
Sylhet,2016,11,Minimum,2,50,B11
