District_Name,Well_No,Well_ID,Latitude,Longitude,Upazilla
Tangail,121,TA011,24.21,89.85,Bhoapur
Tangail,122,TA008,24.08,89.93,Delduar
Tangail,123,TA002,24.18,90.04,Basail
Tangail,124,TA032,24.43,90.07,Ghatail
Tangail,125,TA013,24.56,89.89,Gopalpur
Tangail,126,TA034,24.36,89.91,Kalihati
Tangail,127,TA021,24.3,90.23,Sakhipur
Tangail,128,TA024,24.04,89.89,Nagarpur
Tangail,129,TA022,24.14,90.17,Mirzapur
Tangail,130,TA004,24.65,90.04,Madhupur
Netrokona,131,MY074,24.69,91.12,Khaliajuri
Netrokona,132,MY002,24.97,90.84,Barhatta
Netrokona,133,MY053,25.15,90.68,Durgapur
Netrokona,134,MY054,25.14,90.86,Kalmakanda
Netrokona,135,MY042,24.65,90.88,Kendua
Netrokona,136,MY036,24.71,90.93,Madan
Netrokona,137,MY003,24.95,90.75,Netrokona Sadar
Netrokona,138,MY006,25,90.59,Purbadhala
Netrokona,139,MY051,24.82,91.03,Mohanganj
Narsingdi,140,DH059,24.2,90.74,Manohardi
Narsingdi,141,DH076,23.88,90.68,Narsingdi Sadar
Narsingdi,142,DH104,23.96,90.67,Palash
Narsingdi,143,DH105,23.92,90.94,Raipur
Narsingdi,144,DH011,24.17,90.51,Shibpur
Mymensingh,145,MY055,24.73,90.22,Muktagachha
Mymensingh,146,MY052,24.83,90.32,Mymensingh Sadar
Mymensingh,147,MY081,24.61,90.59,Ishwarganj
Mymensingh,148,MY089,24.4,90.6,Gaffargaon
Mymensingh,149,MY050,25.04,90.32,Haluaghat
Narayanganj,156,DH081,23.69,90.72,Araihazar
Narayanganj,157,DH003,23.59,90.52,Narayanganj Sadar
Narayanganj,158,DH080,23.86,90.56,Rupganj
Narayanganj,159,DH082,23.66,90.63,Sonargaon
Sherpur,160,JA012,24.99,90.19,Nakla
Sherpur,161,JA005,25.17,90.2,Nalitabari
Sherpur,162,JA018,25.05,90,Sherpur Sadar
