Station_Name,Year,Month,Rainfall,Block
Faridpur,2013,6,291,B05
Faridpur,2013,7,198,B05
Faridpur,2013,8,264,B05
Faridpur,2013,9,225,B05
Faridpur,2013,10,202,B05
Faridpur,2013,11,0,B05
Faridpur,2013,12,0,B05
Faridpur,2014,1,0,B05
Faridpur,2014,2,12,B05
Faridpur,2014,3,0,B05
Faridpur,2014,4,29,B05
Faridpur,2014,5,191,B05
Faridpur,2014,6,446,B05
Faridpur,2014,7,246,B05
Faridpur,2014,8,381,B05
Faridpur,2014,9,165,B05
Faridpur,2014,10,82,B05
Faridpur,2014,11,0,B05
Faridpur,2014,12,0,B05
Madaripur,2011,1,0,B05
Madaripur,2011,2,1,B05
Madaripur,2011,3,20,B05
Madaripur,2011,4,101,B05
Madaripur,2011,5,169,B05
Madaripur,2011,6,408,B05
Madaripur,2011,7,342,B05
Madaripur,2011,8,380,B05
Madaripur,2011,9,131,B05
Madaripur,2011,10,61,B05
Madaripur,2011,11,0,B05
Madaripur,2011,12,0,B05
Madaripur,2012,1,25,B05
Madaripur,2012,2,16,B05
Madaripur,2012,3,1,B05
Madaripur,2012,4,170,B05
Madaripur,2012,5,110,B05
Madaripur,2012,6,144,B05
Madaripur,2012,7,377,B05
Madaripur,2012,8,203,B05
Madaripur,2012,9,216,B05
Madaripur,2012,10,197,B05
Madaripur,2012,11,86,B05
Madaripur,2012,12,1,B05
Madaripur,2013,1,0,B05
Madaripur,2013,2,6,B05
Madaripur,2013,3,15,B05
Madaripur,2013,4,29,B05
Madaripur,2013,5,751,B05
Madaripur,2013,6,199,B05
Madaripur,2013,7,309,B05
Madaripur,2013,8,274,B05
Madaripur,2013,9,365,B05
Madaripur,2013,10,200,B05
Madaripur,2013,11,4,B05
Madaripur,2013,12,0,B05
Madaripur,2014,1,0,B05
Madaripur,2014,2,12,B05
Madaripur,2014,3,7,B05
Madaripur,2014,4,25,B05
Madaripur,2014,5,175,B05
Madaripur,2014,6,362,B05
Madaripur,2014,7,209,B05
Madaripur,2014,8,308,B05
Madaripur,2014,9,257,B05
Madaripur,2014,10,81,B05
Madaripur,2014,11,0,B05
Madaripur,2014,12,0,B05
Srimangal,2011,1,6,B05
Srimangal,2011,2,7,B05
Srimangal,2011,3,56,B05
Srimangal,2011,4,96,B05
Srimangal,2011,5,595,B05
Srimangal,2011,6,401,B05
Srimangal,2011,7,401,B05
Srimangal,2011,8,307,B05
Srimangal,2011,9,108,B05
Srimangal,2011,10,73,B05
Srimangal,2011,11,0,B05
Srimangal,2011,12,0,B05
Srimangal,2012,1,3,B05
Srimangal,2012,2,0,B05
Srimangal,2012,3,17,B05
Srimangal,2012,4,290,B05
Srimangal,2012,5,268,B05
Srimangal,2012,6,518,B05
Srimangal,2012,7,125,B05
Srimangal,2012,8,353,B05
Srimangal,2012,9,139,B05
Srimangal,2012,10,193,B05
Srimangal,2012,11,21,B05
Srimangal,2012,12,0,B05
Srimangal,2013,1,0,B05
Srimangal,2013,2,9,B05
Srimangal,2013,3,31,B05
Srimangal,2013,4,104,B05
Srimangal,2013,5,783,B05
Srimangal,2013,6,301,B05
Srimangal,2013,7,294,B05
Srimangal,2013,8,420,B05
Srimangal,2013,9,241,B05
Srimangal,2013,10,159,B05
Srimangal,2013,11,5,B05
Srimangal,2013,12,5,B05
Srimangal,2014,1,0,B05
Srimangal,2014,2,13,B05
Srimangal,2014,3,49,B05
Srimangal,2014,4,96,B05
Srimangal,2014,5,380,B05
Srimangal,2014,6,457,B05
Srimangal,2014,7,332,B05
Srimangal,2014,8,394,B05
Srimangal,2014,9,487,B05
Srimangal,2014,10,74,B05
Srimangal,2014,11,0,B05
Srimangal,2014,12,0,B05
Sylhet,2011,1,0,B05
Sylhet,2011,2,3,B05
Sylhet,2011,3,99,B05
Sylhet,2011,4,78,B05
Sylhet,2011,5,403,B05
Sylhet,2011,6,578,B05
Sylhet,2011,7,673,B05
Sylhet,2011,8,722,B05
Sylhet,2011,9,490,B05
Sylhet,2011,10,55,B05
Sylhet,2011,11,0,B05
Sylhet,2011,12,0,B05
Sylhet,2012,1,10,B05
Sylhet,2012,2,0,B05
Sylhet,2012,3,101,B05
Sylhet,2012,4,659,B05
Sylhet,2012,5,406,B05
Sylhet,2012,6,1185,B05
Sylhet,2012,7,700,B05
Sylhet,2012,8,738,B05
Sylhet,2012,9,261,B05
Sylhet,2012,10,502,B05
Sylhet,2012,11,48,B05
Sylhet,2012,12,0,B05
Sylhet,2013,1,0,B05
Sylhet,2013,2,7,B05
Sylhet,2013,3,16,B05
Sylhet,2013,4,229,B05
Sylhet,2013,5,959,B05
Sylhet,2013,6,729,B05
Sylhet,2013,7,567,B05
Sylhet,2013,8,520,B05
Sylhet,2013,9,347,B05
Sylhet,2013,10,451,B05
Sylhet,2013,11,0,B05
Sylhet,2013,12,0,B05
Sylhet,2014,1,0,B05
Sylhet,2014,2,34,B05
Sylhet,2014,3,78,B05
