District_Name,Fiscal_Start_Year,Fiscal_End_Year,Reserved_Forest_Section_20_Acre,Reserved_Forest_Section_4_6_Acre,Protected_Area,Acquired_Vested_Forest,Unclassed_State_Forest_FD_Acre,Total_Forest_FD_Acre,Unclassed_State_Forest_Admin_Acre,Total_Forest_Land
Rangamati,2023,2024,573261.21,41401.88,0,1.5,0,614664.59,763890.54,1378555.13
Khagrachhari,2019,2020,88492.83,7342.67,0,0,4202.76,100038.26,454077.95,554116.21
Khagrachhari,2020,2021,88492.83,7342.67,0,0,4202.76,100038.26,454077.95,554116.21
Khagrachhari,2021,2022,88492.83,7342.67,0,0,4202.76,100038.26,454077.95,554116.21
Khagrachhari,2022,2023,88492.83,7342.67,0,0,4202.76,100038.26,454077.95,554116.21
Khagrachhari,2023,2024,88492.83,7342.67,0,0,4202.76,100038.26,454077.95,554116.21
Kumilla,2019,2020,0,1720.92,0,0,0,1720.92,0,1720.92
Kumilla,2020,2021,0,1720.92,0,0,0,1720.92,0,1720.92
Kumilla,2021,2022,0,1720.92,0,0,0,1720.92,0,1720.92
Kumilla,2022,2023,0,1720.92,0,0,0,1720.92,0,1720.92
Kumilla,2023,2024,0,1720.92,0,0,0,1720.92,0,1720.92
Feni,2019,2020,2191.43,18000,0,0,0,20191.43,0,20191.43
Feni,2020,2021,2191.43,18000,0,0,0,20191.43,0,20191.43
Feni,2021,2022,2191.43,18000,0,0,0,20191.43,0,20191.43
Feni,2022,2023,2191.43,18000,0,0,0,20191.43,0,20191.43
Feni,2023,2024,2191.43,18000,0,0,0,20191.43,0,20191.43
Bagerhat,2019,2020,566512.95,,0,0,0,566512.95,0,566512.95
Bagerhat,2020,2021,566512.95,,0,0,0,566512.95,0,566512.95
Bagerhat,2021,2022,566512.95,,0,0,0,566512.95,0,566512.95
Bagerhat,2022,2023,566512.95,,0,0,0,566512.95,0,566512.95
Bagerhat,2023,2024,566512.95,,0,0,0,566512.95,0,566512.95
Khulna,2019,2020,546081.61,,0,0,0,546081.61,0,546081.61
Khulna,2020,2021,546081.61,,0,0,0,546081.61,0,546081.61
Khulna,2021,2022,546081.61,,0,0,0,546081.61,0,546081.61
Khulna,2022,2023,546081.61,,0,0,0,546081.61,0,546081.61
Khulna,2023,2024,546081.61,,0,0,0,546081.61,0,546081.61
Satkhira,2019,2020,370354.18,,0,0,0,370354.18,0,370354.18
Satkhira,2020,2021,370354.18,,0,0,0,370354.18,0,370354.18
Satkhira,2021,2022,370354.18,,0,0,0,370354.18,0,370354.18
Satkhira,2022,2023,370354.18,,0,0,0,370354.18,0,370354.18
