Station_Name,Year,Month,Humidity,Block
Faridpur,2013,6,82,B08
Faridpur,2013,7,83,B08
Faridpur,2013,8,85,B08
Faridpur,2013,9,85,B08
Faridpur,2013,10,85,B08
Faridpur,2013,11,76,B08
Faridpur,2013,12,79,B08
Faridpur,2014,1,83,B08
Faridpur,2014,2,74,B08
Faridpur,2014,3,65,B08
Faridpur,2014,4,64,B08
Faridpur,2014,5,74,B08
Faridpur,2014,6,84,B08
Faridpur,2014,7,85,B08
Faridpur,2014,8,86,B08
Faridpur,2014,9,83,B08
Faridpur,2014,10,80,B08
Faridpur,2014,11,77,B08
Faridpur,2014,12,84,B08
Madaripur,2011,1,81,B08
Madaripur,2011,2,74,B08
Madaripur,2011,3,72,B08
Madaripur,2011,4,76,B08
Madaripur,2011,5,82,B08
Madaripur,2011,6,87,B08
Madaripur,2011,7,84,B08
Madaripur,2011,8,86,B08
Madaripur,2011,9,85,B08
Madaripur,2011,10,83,B08
Madaripur,2011,11,82,B08
Madaripur,2011,12,85,B08
Madaripur,2012,1,81,B08
Madaripur,2012,2,71,B08
Madaripur,2012,3,71,B08
Madaripur,2012,4,78,B08
Madaripur,2012,5,79,B08
Madaripur,2012,6,84,B08
Madaripur,2012,7,86,B08
Madaripur,2012,8,85,B08
Madaripur,2012,9,87,B08
Madaripur,2012,10,82,B08
Madaripur,2012,11,81,B08
Madaripur,2012,12,85,B08
Madaripur,2013,1,79,B08
Madaripur,2013,2,72,B08
Madaripur,2013,3,71,B08
Madaripur,2013,4,76,B08
Madaripur,2013,5,86,B08
Madaripur,2013,6,84,B08
Madaripur,2013,7,85,B08
Madaripur,2013,8,87,B08
Madaripur,2013,9,86,B08
Madaripur,2013,10,86,B08
Madaripur,2013,11,77,B08
Madaripur,2013,12,82,B08
Madaripur,2014,1,84,B08
Madaripur,2014,2,79,B08
Madaripur,2014,3,69,B08
Madaripur,2014,4,70,B08
Madaripur,2014,5,77,B08
Madaripur,2014,6,84,B08
Madaripur,2014,7,85,B08
Madaripur,2014,8,88,B08
Madaripur,2014,9,85,B08
Madaripur,2014,10,82,B08
Madaripur,2014,11,79,B08
Madaripur,2014,12,87,B08
Srimangal,2011,1,82,B08
Srimangal,2011,2,73,B08
Srimangal,2011,3,70,B08
Srimangal,2011,4,73,B08
Srimangal,2011,5,82,B08
Srimangal,2011,6,84,B08
Srimangal,2011,7,84,B08
Srimangal,2011,8,85,B08
Srimangal,2011,9,83,B08
Srimangal,2011,10,82,B08
Srimangal,2011,11,79,B08
Srimangal,2011,12,83,B08
Srimangal,2012,1,79,B08
Srimangal,2012,2,65,B08
Srimangal,2012,3,65,B08
Srimangal,2012,4,75,B08
Srimangal,2012,5,78,B08
Srimangal,2012,6,85,B08
Srimangal,2012,7,82,B08
Srimangal,2012,8,82,B08
Srimangal,2012,9,84,B08
Srimangal,2012,10,84,B08
Srimangal,2012,11,82,B08
Srimangal,2012,12,87,B08
Srimangal,2013,1,79,B08
Srimangal,2013,2,72,B08
Srimangal,2013,3,67,B08
Srimangal,2013,4,72,B08
Srimangal,2013,5,83,B08
Srimangal,2013,6,82,B08
Srimangal,2013,7,83,B08
Srimangal,2013,8,85,B08
Srimangal,2013,9,85,B08
Srimangal,2013,10,85,B08
Srimangal,2013,11,81,B08
Srimangal,2013,12,83,B08
Srimangal,2014,1,83,B08
