StationID,Latitude,Longitude
GT2738018,25.48,88.93
GT2743019,25.29,89.23
GT2747021,25.29,89.07
GT2747022,25.33,89.01
GT2756023,25.77,88.64
GT2756024,25.82,88.6
GT2756025,25.81,88.68
GT2756026,25.85,88.56
GT2756027,25.81,88.55
GT2760029,25.9,88.78
GT2764030,25.57,88.67
GT2764031,25.6,88.64
GT2764032,25.65,88.69
GT2764033,25.62,88.7
GT2764034,25.52,88.68
GT2764035,25.75,88.71
GT2764036,25.54,88.73
GT2764037,25.58,88.7
GT2764038,25.54,88.63
GT2764039,25.65,88.69
GT2769040,25.42,89.07
GT2777041,25.62,88.95
GT2777042,25.59,88.9
GT2777043,25.69,88.91
GT2910001,23.4,89.96
GT2918002,23.37,89.67
GT2918003,23.42,89.73
GT2918004,23.44,89.68
GT2918005,23.41,89.72
GT2918501,23.46,89.62
GT2918502,23.39,89.69
GT2918503,23.39,89.64
GT2918504,23.5,89.71
GT2921006,23.57,89.95
GT2947007,23.6,89.85
GT2947008,23.55,89.78
GT2947505,23.55,89.8
GT2947506,23.54,89.76
GT2956009,23.6,89.57
GT2962010,23.4,89.77
GT2962011,23.48,89.88
GT2962012,23.46,89.92
GT2962013,23.44,89.79
GT2962014,23.41,89.88
GT2984015,23.47,90.05
GT2984016,23.51,89.94
GT3014001,23.03,91.5
GT3014002,22.98,91.52
GT3025003,22.98,91.3
GT3029004,22.98,91.39
GT3051005,23.08,91.46
GT3051006,23.13,91.48
GT3051007,23.21,91.45
GT3094008,22.83,91.37
GT3224001,25.41,89.57
GT3224002,25.32,89.48
GT3224003,25.32,89.48
GT3230004,25.13,89.39
GT3230005,25.21,89.38
GT3230006,25.12,89.37
GT3230007,25.19,89.35
GT3267008,25.27,89.35
GT3267009,25.3,89.41
GT3282010,25.39,89.47
GT3282011,25.39,89.45
GT3282012,25.47,89.46
GT3282013,25.41,89.43
GT3288014,25.13,89.56
GT3288015,25.16,89.53
GT3288016,25.07,89.57
GT3291017,25.55,89.46
GT3291018,25.59,89.51
GT3330001,23.93,90.42
GT3330002,23.96,90.48
GT3330020,23.9,90.39
GT3332003,24.11,90.3
GT3332004,24.21,90.32
GT3332005,24.16,90.31
GT3332006,24.09,90.34
GT3332007,24.15,90.35
GT3332008,24.13,90.28
GT3334009,23.96,90.54
GT3334010,24,90.58
GT3336011,24.2,90.63
GT3336012,24.16,90.67
GT3336013,24.13,90.62
GT3386014,24.22,90.48
GT3386015,24.18,90.54
GT3386016,24.17,90.51
GT3386017,24.27,90.53
GT3386018,24.28,90.35
GT3386019,24.28,90.49
GT3532001,23.12,89.91
GT3532002,23.06,89.95
GT3532004,23.04,89.9
GT3532005,23.04,89.83
GT3543006,23.22,89.72
GT3543007,23.19,89.86
GT3543008,23.15,89.78
GT3543009,23.15,89.86
GT3551010,22.94,89.99
GT3551011,23.11,90.07
GT3551012,23.02,90.07
GT3551013,23.1,90
GT3558014,23.32,89.87
GT3558015,23.27,89.92
GT3591003,22.85,89.9
GT3602001,24.54,91.3
GT3605003,24.39,91.57
GT3611004,24.52,91.44
GT3611005,24.47,91.4
GT3626007,24.15,91.56
GT3626008,24.17,91.62
GT3626009,24.18,91.51
GT3626010,24.13,91.5
GT3626011,24.22,91.54
GT3626012,24.21,91.46
GT3644013,24.34,91.45
GT3668014,24.29,91.26
GT3671015,24.17,91.41
GT3671016,24.18,91.36
GT3671017,24.13,91.36
GT3671018,24.22,91.39
GT3671019,24.01,91.37
GT3671020,24.06,91.34
GT3677022,24.58,91.55
GT3847001,25.13,89.06
GT3847002,25.13,88.98
GT3847003,25.12,89.12
GT3861004,25.02,89.15
GT3861005,24.98,89.12
GT3874006,25.23,89.07
GT3874007,25.21,89.14
GT3874008,25.23,89.01
GT3907001,25.24,89.86
GT3915002,25.23,89.79
GT3929003,25.1,89.76
GT3929004,25.08,89.7
GT3929005,25.13,89.7
GT3929006,25.03,89.72
GT3936007,24.82,90.14
GT3936008,24.85,89.98
GT3936009,24.85,89.91
GT3936010,24.84,90.05
GT3936011,24.88,90.1
GT3936012,24.76,89.97
GT3936013,24.9,89.93
GT3958014,24.92,89.78
GT3958015,24.87,89.74
GT3961016,24.98,89.81
GT3985017,24.78,89.82
GT4104001,23.01,89.37
GT4104501,23.06,89.41
GT4104502,23,89.48
GT4109002,23.26,89.28
GT4109503,23.25,89.37
GT4123006,23.14,89.05
GT4123007,23.02,89.05
GT4138008,22.88,89.19
GT4138009,22.89,89.24
GT4138010,22.88,89.3
GT4138504,22.83,89.21
GT4147003,23.2,89.27
GT4147004,23.24,89.17
GT4147005,23.21,89.22
GT4161011,22.96,89.24
GT4161012,23.02,89.26
GT4190013,23.14,88.97
GT4190014,23.08,88.93
GT4240001,22.63,90.19
GT4284002,22.61,90.16
GT4414001,23.62,89.09
GT4414002,23.68,89.09
GT4419003,23.48,89.23
GT4419004,23.48,89.16
GT4419005,23.53,89.09
GT4433006,23.39,89.2
GT4433007,23.39,89.15
GT4433008,23.36,89.1
GT4433501,23.33,89.16
GT4442009,23.45,88.98
GT4442502,23.4,88.98
GT4471010,23.32,88.8
GT4471011,23.36,88.9
GT4471012,23.27,88.75
GT4471503,23.28,88.87
GT4480013,23.69,89.25
GT4480014,23.73,89.27
GT4480015,23.65,89.32
GT4480016,23.69,89.14
GT4480017,23.6,89.32
GT4480018,23.71,89.3
GT4480019,23.71,89.3
GT4480020,23.71,89.31
GT4480021,23.71,89.18
GT4480022,23.68,89.25
GT4680002,22.94,91.81
GT4680003,22.93,91.76
GT4712001,22.75,89.48
GT4717002,22.6,89.49
GT4717003,22.62,89.49
GT4721004,22.89,89.39
GT4730005,22.78,89.42
GT4751006,22.79,89.58
GT4764007,22.58,89.31
GT4769008,22.98,89.46
GT4775009,22.78,89.62
GT4794010,22.95,89.68
GT4794011,22.9,89.68
GT4802001,24.31,91.16
GT4802002,24.34,91.11
GT4805003,24.24,90.99
GT4805004,24.26,91.04
GT4805005,24.24,90.86
GT4811006,24.07,91.02
GT4811007,24.12,91
GT4827008,24.47,90.71
GT4827009,24.45,90.65
GT4833010,24.52,91.06
GT4833011,24.59,91.1
GT4842012,24.48,90.91
GT4842013,24.46,90.98
GT4845014,24.33,90.82
GT4845015,24.28,90.82
GT4849016,24.43,90.81
GT4849017,24.48,90.8
GT4849018,24.51,90.8
GT4849019,24.4,90.85
GT4854020,24.18,90.88
GT4854021,24.16,90.95
GT4876022,24.27,90.93
GT4876024,24.35,90.98
GT4876025,24.32,91.01
GT4879026,24.33,90.76
GT4879027,24.29,90.71
GT4879028,24.36,90.7
GT4892029,24.58,90.92
GT4909002,25.6,89.74
GT4952003,25.8,89.7
GT4952004,25.77,89.63
GT4952005,25.85,89.68
GT4961006,25.97,89.66
GT4961007,25.91,89.71
GT4994008,25.66,89.63
GT4994009,25.68,89.59
GT5015001,24.01,89.01
GT5015002,24.12,88.97
GT5015003,24.12,88.97
GT5015004,24.11,88.95
GT5015005,24.12,88.94
GT5015006,24.12,88.95
GT5015007,24.11,88.95
GT5015008,24.12,88.94
GT5015009,24.01,88.98
GT5015501,24.02,89.01
GT5039010,23.97,88.94
GT5039011,24,88.9
GT5039012,23.95,88.86
GT5039013,24.1,88.87
GT5039014,24.02,88.78
GT5039015,23.98,88.79
GT5039016,24.04,88.87
GT5039017,23.98,88.83
GT5039018,24.1,88.83
GT5039502,24.05,88.75
GT5039503,24.06,88.79
GT5063019,23.81,89.3
GT5063020,23.82,89.34
GT5071021,23.91,89.23
GT5071022,23.94,89.28
GT5071023,23.88,89.29
GT5071506,23.84,89.2
GT5071507,23.78,89.2
GT5071508,23.82,89.24
GT5071509,23.92,89.19
GT5079024,23.85,89.07
GT5079025,23.84,89.14
GT5079026,23.83,89.1
GT5079504,23.79,89.07
GT5079505,23.78,89.13
GT5094027,23.96,88.99
GT5094028,23.85,89.02
GT5094029,23.89,89
GT5094030,23.91,88.94
GT5094031,23.87,88.96
GT5094032,23.82,88.94
GT5094510,23.93,88.98
GT5094511,23.81,88.99
GT5094512,23.93,89.02
GT5143001,22.96,90.87
GT5143002,22.91,90.93
GT5158003,23.01,90.72
GT5158004,22.95,90.71
GT5165005,23.12,90.89
GT5165006,23.05,90.86
GT5173007,22.63,90.96
GT5173008,22.7,90.89
GT5233001,26.19,89.12
GT5233002,26.11,89.13
GT5233003,26.06,89.24
GT5233004,26.1,89.22
GT5239005,26.03,89.18
GT5239006,25.95,89.26
GT5239007,25.95,89.2
GT5239008,26,89.24
GT5255009,25.94,89.49
GT5255010,25.8,89.44
GT5255011,25.84,89.52
GT5255012,25.91,89.45
GT5270013,26.43,88.98
GT5270014,26.35,89.08
GT5270015,26.39,89.06
GT5440001,23.07,90.2
GT5454002,23.2,90.27
GT5480003,23.2,90.03
GT5487004,23.37,90.2
GT5487005,23.47,90.14
GT5557001,23.47,89.42
GT5557002,23.51,89.4
GT5557003,23.5,89.38
GT5557004,23.51,89.47
GT5557005,23.5,89.48
GT5557501,23.48,89.43
GT5566006,23.44,89.55
GT5566007,23.33,89.5
GT5566502,23.5,89.54
GT5566503,23.4,89.6
GT5585008,23.29,89.39
GT5595009,23.59,89.39
GT5595010,23.56,89.46
GT5595011,23.54,89.47
GT5595012,23.65,89.41
GT5595013,23.48,89.35
GT5595014,23.47,89.36
GT5595015,23.48,89.36
GT5622004,23.89,89.91
GT5628005,23.71,90.01
GT5628006,23.76,89.92
GT5628007,23.74,89.97
GT5646008,23.87,90.01
GT5646009,23.83,90.07
GT5646010,23.78,90.05
GT5656001,23.96,89.9
GT5656002,23.96,89.83
GT5656003,23.94,89.82
GT5670011,23.98,89.98
GT5678012,23.86,89.8
GT5678013,23.78,89.81
GT5682014,23.81,90.2
GT5747001,23.93,88.78
GT5747002,23.86,88.82
GT5747003,23.87,88.77
GT5787004,23.82,88.68
GT5787005,23.63,88.63
GT5787006,23.68,88.66
GT5787007,23.83,88.65
GT5787008,23.65,88.59
GT5787009,23.69,88.7
GT5787501,23.72,88.62
GT5814001,24.65,92.23
GT5814002,24.7,92.16
GT5814003,24.75,92.2
GT5856004,24.31,91.9
GT5856005,24.25,91.91
GT5856006,24.36,91.85
GT5856007,24.4,91.91
GT5856008,24.32,91.83
GT5856009,24.28,91.85
GT5856010,24.43,91.85
GT5865011,24.46,92.07
GT5865012,24.4,91.99
GT5865013,24.46,92.06
GT5865014,24.5,92.1
GT5865015,24.44,92.13
GT5865017,24.6,92.1
GT5865019,24.55,92.14
GT5865020,24.51,92.02
GT5865021,24.55,92.05
GT5865022,24.64,92.02
GT5874023,24.44,91.77
GT5874024,24.54,91.77
GT5874025,24.57,91.7
GT5874026,24.47,91.73
GT5880027,24.57,91.91
GT5880028,24.62,91.91
GT5883029,24.21,91.73
GT5883030,24.29,91.72
