Monthly Temperature (°C) in 1998,,,,,,,,,,,,,,,,,,,,,,,,
Station,Max_Jan,Max_Feb,Max_Mar,Max_Apr,Max_May,Max_Jun,Max_Jul,Max_Aug,Max_Sep,Max_Oct,Max_Nov,Max_Dec,Min_Jan,Min_Feb,Min_Mar,Min_Apr,Min_May,Min_Jun,Min_Jul,Min_Aug,Min_Sep,Min_Oct,Min_Nov,Min_Dec
Dhaka,22.8,28.4,30.7,32.7,33.4,34.3,31.7,31.8,32.5,33.1,30.7,28.1,12.7,16.1,18.3,22.9,25.3,28.1,26.4,26.8,26.3,25.4,20.6,14.8
Mymensingh,22.5,27.3,28.8,30.9,32.2,32.7,30.5,30.8,31.6,32.4,30.7,28.0,11.6,15.2,17.5,22.1,24.8,26.6,26.2,26.2,26.2,25.3,20.2,14.5
Tangail,21.2,27.6,29.7,32.4,32.8,33.9,31.9,31.9,32.8,33.3,30.5,27.1,11.1,14.8,16.7,21.8,24.3,27.0,26.3,26.6,26.1,25.1,20.0,14.2
Faridpur,21.4,27.3,29.9,33.3,33.4,33.8,31.7,31.7,32.1,32.6,30.0,27.1,12.1,15.9,17.6,22.7,24.9,27.2,26.0,26.6,26.4,25.5,21.3,15.5
Madaripur,22.4,27.9,30.5,32.8,33.6,33.9,31.7,32.0,32.2,32.7,30.6,27.4,12.3,16.1,18.3,22.9,25.7,27.3,26.5,27.0,26.5,25.7,21.5,15.5
Chittagong,25.2,27.9,30.2,31.9,33.0,33.8,31.3,31.2,32.9,33.8,32.6,29.0,14.1,17.1,19.4,23.4,25.5,26.9,25.8,25.8,25.8,25.4,22.8,16.9
Sandwip,23.5,26.7,29.2,30.5,31.9,31.9,30.0,29.9,31.3,31.7,30.8,28.3,13.5,16.6,19.0,22.5,24.1,25.4,24.4,25.5,26.0,25.7,23.2,18.3
Sitakunda,25.5,28.4,29.6,32.1,32.9,32.8,30.3,30.6,33.0,33.4,32.3,28.7,12.8,14.8,18.0,22.7,24.8,26.5,25.4,25.3,25.3,24.4,20.8,14.2
Rangamati,24.4,28.1,30.4,32.2,32.6,33.2,30.2,31.2,32.4,32.9,31.1,28.1,13.2,14.9,17.8,22.1,24.1,25.7,25.2,25.1,24.7,24.3,21.8,15.2
Comilla,22.7,27.4,28.8,31.4,32.4,33.0,30.4,30.7,32.3,32.6,30.5,27.5,11.7,15.3,17.4,21.4,24.3,26.3,25.2,25.9,25.8,25.0,20.7,14.5
Chandpur,21.8,27.4,29.6,32.3,32.6,33.6,31.0,31.0,32.4,32.6,30.4,27.3,13.7,17.1,19.4,22.9,25.9,27.6,26.1,26.6,26.4,26.8,11.4,16.1
M_Court,23.1,27.8,29.6,32.4,32.8,33.5,30.5,30.7,32.1,32.5,31.0,27.4,13.9,16.8,18.7,23.2,25.4,27.4,25.9,26.0,26.2,25.8,22.6,17.5
Feni,23.5,27.9,29.7,31.8,32.5,32.8,30.3,30.1,32.4,32.5,31.3,28.1,13.1,16.1,18.7,22.8,25.0,26.7,25.5,25.5,26.0,24.9,21.2,15.5
Hatiya,23.6,27.7,29.8,31.8,32.9,32.6,30.5,30.6,31.8,32.3,31.0,28.3,13.8,16.8,19.2,23.1,25.0,26.5,25.2,25.8,26.1,25.7,23.1,17.6
Cox's_Bazar,26.2,28.7,31.8,33.1,33.5,33.2,31.3,31.5,32.9,34.2,33.2,29.8,15.6,18.0,19.8,24.0,25.3,26.8,25.7,24.9,25.5,25.6,23.7,17.6
Kutubdia,24.5,27.2,29.5,31.1,32.2,32.7,30.4,30.8,31.0,33.1,31.5,28.0,15.6,17.5,20.0,23.8,26.1,26.6,25.9,25.9,25.7,25.8,23.0,17.5
Teknaf,26.6,28.7,31.6,32.1,32.8,31.9,30.1,30.4,32.7,33.0,32.5,29.5,14.6,17.2,20.2,23.5,26.0,27.0,25.2,25.8,25.7,25.6,23.4,17.4
Sylhet,23.3,28.3,29.2,30.7,32.2,31.2,30.2,31.1,32.8,32.9,30.8,28.3,12.5,15.4,17.1,21.4,23.7,24.8,25.0,25.4,25.4,24.6,20.7,15.7
