,"Freshwater Quality by Station, 2018-2023",,,,,,,,,,,,,,,
,District/ Station,2018,2019,,2020,,,2021,,,2022,,,2023,,
,,Biochemical oxygen demand (BOD),Biochemical oxygen demand (BOD),,District/ Station,Biochemical oxygen demand (BOD),,District/ Station,Biochemical oxygen demand (BOD),,District/ Station,Biochemical oxygen demand (BOD),,District/ Station,Biochemical oxygen demand (BOD),
,,,,,,,,,,,,,,,,
,Bhrammaputra River,,,,Bhrammaputra River,,,Bhrammaputra River,,,Jamuna Eco Park (U),2.33,,Jamuna Eco Park (Dn),2.33,
,Mymensingh,2.2,2.43,,Mymensingh,10.5,,"Rail Bridge, Shamvoganj",4.5,,Jamuna Eco Park (D),2.33,,Shariakandi Kheya Ghat (Up),2.32,
,Jamuna River,,,,Jamuna River,,,JamalpurRail Bridge,5.75,,Shariakandi Groin badth (U),2.4,,Shariakandi Kheya Ghat (Dn),2.32,
,Bhadurabad Ghat,,2.1,,Bhadurabad Ghat,,,Jamuna River,,,Shariakandi Groin badth (D),2.4,,Mohonganj (Up),2.31,
,Near Jamuna Fertilizer Factory,16,3,,Near Jamuna Fertilizer Factory,8,,Sarkarkhana,11.5,,Mohonganj (U),2.23,,Mohonganj (Dn),2.31,
,"Fulchari Ghat, Gibanda (US)",2.3,2.24,,Near Bangabandhu Bridge (US),2.3,,Kakua,8.33,,Mohonganj (D),2.23,,Horipur Kheya Ghat (Up),2.38,
,"Fulchari Ghat, Gibanda (DS)",2.21,2.23,,Near Bangabandhu Bridge (US),2.28,,Jamuna Eco Park (UP),2.28,,Horipur Kheya Ghat (U),2.38,,Horipur Kheya Ghat (Dn),2.38,
,"Shariakandi Groin Badth, Bogra (US)",2.29,2.18,,"Fulchari Ghat, Gibanda (US)",2.24,,Jamuna Eco Park (DN),2.28,,Horipur Kheya Ghat (D),2.38,,Kakua,2.2,
,"Shariakandi Groin Badth, Bogra (DS)",2.27,2.18,,"Fulchari Ghat, Gibanda (DS)",2.22,,Shariakandi Kheya Ghat Growin Bandh (UP),2.31,,Kakua,3.15,,Tarakandi,3.4,
,Near Banabandhu Bridge (US),2.15,2.18,,Shariakandi Groin Badth (US),2.23,,Shariakandi Kheya Ghat Growin Bandh (DN),2.31,,Tarakandi (D),5.4,,Kaligonga River,,
,Near Banabandhu Bridge (DS),2.1,2.19,,Shariakandi Groin Badth (DS),2.24,,Horipur Kheya Ghat (UP),2.23,,Tarakandi (U),4,,"Bheutha Ghat, Manikganj",6.6,
,Kaligonga River,,,,Kaligonga River,,,Horipur Kheya Ghat (DN),2.23,,Kaligonga River,,,Meghna River,,
,"Bheutha Ghat, Manikgonj",3.08,3.67,,"Bheutha Ghat, Manikgonj",3.67,,Mohonganj (DN),2.22,,"Bheutha Ghat, Manikganj",6,,Meghna Ghat,4.43,
,Meghna River,,,,Meghna River,,,Mohonganj (UP),2.22,,Meghna River,,,Bisnondi Ferry Ghat,3.17,
,Bhairob Bazar,1.2,3.48,,Bhairob Bazar,3.48,,Kaligonga River,,,Meghna Ghat,4.15,,Norsingdi Launch Ghat,3.22,
