Ground Water Table Hydrograph of 38 districts for the year 2008 to 2018,,,,,,
Well No.,Well,Long,Lat,Upazilla,District,Sub-Division
36,SY005,91.62,24.17,Chunarughat,,
37,SY022,91.45,24.34,Habiganj Sadar,,
38,SY079,91.26,24.29,Lakhai,,
39,SY002,91.36,24.18,Madhabpur,,
40,NA009,90.87,22.96,Lakshmipur Sadar,Lakshmipur,
41,NA030,90.71,22.95,Raipur,,
42,NA018,90.86,23.05,Ramganj,,
43,SY044,92.23,24.65,Barlekha,Moulvi Bazar,
44,SY027,91.91,24.40,Kamalgani,,
45,SY038,92.10,24.60,Kulaura,,
46,SY054,91.77,24.44,Moulvi Bazar Sadar,,
47,SY043,91.91,24.62,Rajnagar,,
48,SY016,91.74,24.23,Sreemangal,,
49,NA006,91.07,22.95,Begumganj,Noakhali,
50,NA013,91.27,22.77,Companiganj,,
51,NA011,91.09,22.17,Hatiya,,
52,NA019,91.19,22.76,Noakhali Sadar,,
53,NA004,91.20,23.02,Senbagh,,
54,SY072,91.80,24.68,Balaganj,Sylhet,
55,SY070,92.17,24.85,Beanibazar,,
56,SY060,92.05,25.05,Gowainghat,,
57,SY061,92.16,25.08,Jaintapur,,
58,SY087,92.34,24.99,Kanairghat,,
59,SY055,91.93,24.86,Sylhet Sadar,,
60,SY084,91.74,24.81,Bishwhanath,,
61,CT008,92.04,21.72,Chakaria,Cox's Bazar,
62,CT002,92.01,21.51,Cox's Bazar Sadar,,
63,CT003,91.91,21.52,Maheshkhali,,
64,CT030,92.08,21.39,Ramu,,
65,CT031,92.22,21.02,Teknaf,,
66,CH010,92.24,22.24,Bandarban Sadar,Bandarban,
67,CH003,92.13,21.88,Lama,,
68,CH006,91.98,22.63,Kawkhali Betbunia,Rangamati,
69,CH012,,,Kawkhali Betbunia,,
70,SY074,91.69,24.92,Chhatak,Sunamganj,
71,SY092,91.45,24.80,Derai/ Dharampasha,,
72,SY097,91.21,24.94,Jamalganj,,
73,SY073,91.46,25.02,Sunamganj Sadar,,
