Ground Water Table Hydrograph of 38 districts for the year 2008 to 2018,,,,,,
Well No.,Well,Long,Lat,Upazilla,District,Sub-Division
112,DH098,89.98,23.98,Saturia,,
113,DH067,89.80,23.86,Shivalaya,,
114,DH089,90.14,23.77,Singair,,
115,DH097,90.64,23.51,Gazaria,Munshiganj,
116,DH085,90.41,23.46,Lohajang,,
117,DH084,90.54,23.51,Munshiganj Sadar,,
118,DH001,90.28,23.63,Sirajdikhan,,
119,DH062,90.26,23.53,Sreenagar,,
120,DH086,90.47,23.44,Tongibari,,
121,TA011,89.85,24.21,Bhoapur,Tangail,
122,TA008,89.93,24.08,Delduar,,
123,TA002,90.04,24.18,Basail,,
124,TA032,90.07,24.43,Ghatail,,
125,TA013,89.89,24.56,Gopalpur,,
126,TA034,89.91,24.36,Kalihati,,
127,TA021,90.23,24.30,Sakhipur,,
128,TA024,89.89,24.04,Nagarpur,,
129,TA022,90.17,24.14,Mirzapur,,
130,TA004,90.04,24.65,Madhupur,,
131,MY074,91.12,24.69,Khaliajuri,Netrokona,
132,MY002,90.84,24.97,Barhatta,,
133,MY053,90.68,25.15,Durgapur,,
134,MY054,90.86,25.14,Kalmakanda,,
135,MY042,90.88,24.65,Kendua,,
136,MY036,90.93,24.71,Madan,,
137,MY003,90.75,24.95,Netrokona Sadar,,
138,MY006,90.59,25.00,Purbadhala,,
139,MY051,91.03,24.82,Mohanganj,,
140,DH059,90.74,24.20,Manohardi,Narsingdi,
141,DH076,90.68,23.88,Narsingdi Sadar,,
142,DH104,90.67,23.96,Palash,,
143,DH105,90.94,23.92,Raipur,,
144,DH011,90.51,24.17,Shibpur,,
145,MY055,90.22,24.73,Muktagachha,Mymensingh,
146,MY052,90.32,24.83,Mymensingh Sadar,,
147,MY081,90.59,24.61,Ishwarganj,,
148,MY089,90.60,24.40,Gaffargaon,,
149,MY050,90.32,25.04,Haluaghat,,
