Monthly Temperature (°C) in 2002,,,,,,,,,,,,,,,,,,,,,,,,
Station,Max_Jan,Max_Feb,Max_Mar,Max_Apr,Max_May,Max_Jun,Max_Jul,Max_Aug,Max_Sep,Max_Oct,Max_Nov,Max_Dec,Min_Jan,Min_Feb,Min_Mar,Min_Apr,Min_May,Min_Jun,Min_Jul,Min_Aug,Min_Sep,Min_Oct,Min_Nov,Min_Dec
Dhaka,25.4,28.6,31.8,32.1,32.1,31.7,31.6,31.5,32.4,31.4,28.9,26.1,14.6,16.7,20.3,22.4,23.9,25.8,25.2,25.3,25.3,23.0,19.8,16.0
Mymensingh,25.4,27.7,30.0,29.9,30.3,30.7,30.3,31.5,32.2,31.3,29.0,25.3,12.8,15.0,18.7,21.6,23.3,25.5,25.8,26.3,25.9,22.9,18.5,14.4
Tangail,25.4,28.3,31.6,32.0,32.1,32.3,31.4,32.0,32.9,32.0,29.4,25.5,12.5,13.9,18.4,22.1,23.8,25.6,25.8,26.1,25.7,22.9,18.5,14.0
Faridpur,25.2,28.6,32.4,32.8,32.6,32.1,32.3,31.5,32.6,31.9,29.2,26.2,13.7,15.1,19.6,23.0,24.4,25.8,26.0,26.1,25.8,23.9,19.8,15.0
Madaripur,25.8,29.4,32.7,32.5,33.1,32.6,32.9,31.9,32.9,32.4,30.0,27.4,13.9,15.3,20.2,23.2,24.6,25.7,26.0,26.4,25.7,23.6,19.6,15.3
Chittagong,28.1,31.4,33.3,31.7,31.5,31.6,30.2,31.3,32.4,32.7,30.3,28.0,15.6,16.9,20.6,23.3,24.2,25.6,25.5,25.3,25.3,24.0,21.1,16.2
Sandwip,27.1,30.3,32.6,31.4,31.4,31.2,30.5,31.1,32.1,31.9,29.9,27.5,14.1,14.8,19.4,22.9,24.1,25.3,25.7,25.2,25.3,23.5,20.3,15.3
Sitakunda,27.9,31.2,33.6,31.8,31.6,31.5,30.7,31.8,32.7,32.4,30.4,28.0,13.1,13.7,18.1,22.3,23.5,25.2,25.5,25.3,25.2,22.9,19.7,14.2
Rangamati,27.0,30.7,33.8,32.8,32.2,32.5,31.2,32.1,33.1,32.1,29.3,27.2,13.9,14.3,18.2,22.3,23.1,24.8,25.2,24.7,24.6,22.7,20.0,15.2
Comilla,25.9,28.5,31.2,31.7,32.2,32.0,31.2,32.0,33.3,31.8,29.2,26.7,13.5,15.2,19.0,22.2,23.6,25.5,25.6,25.5,25.1,22.9,18.8,14.0
Chandpur,25.1,28.3,31.9,32.0,32.7,32.0,32.0,31.8,32.4,31.6,29.3,26.3,14.4,16.4,20.0,23.0,24.3,25.7,26.0,25.9,25.8,23.9,20.1,16.0
M_Court,25.5,28.9,32.1,32.5,31.9,31.9,31.1,31.7,32.6,32.1,29.6,26.5,15.2,16.0,19.9,22.8,24.2,25.2,25.7,25.8,26.0,24.4,21.7,17.0
Feni,26.3,29.6,32.0,31.2,31.6,31.4,30.4,31.6,32.3,31.6,29.7,26.9,13.9,15.1,19.5,22.7,23.6,25.4,25.5,25.4,25.2,23.3,20.0,15.4
Hatiya,26.1,29.3,31.5,30.9,31.3,30.8,30.3,30.3,31.5,31.1,29.2,27.1,14.3,14.8,20.1,23.3,24.6,25.4,25.9,24.9,25.2,23.7,20.2,15.6
Cox's_Bazar,26.1,29.3,31.5,30.9,31.3,30.8,30.3,30.3,31.5,31.1,29.2,27.1,16.8,17.5,21.6,23.9,25.1,25.8,25.7,25.5,25.4,24.4,21.7,16.9
Kutubdia,27.9,30.7,33.1,32.7,32.9,32.2,31.2,31.7,32.7,32.1,30.4,28.0,15.9,17.0,20.7,23.7,25.2,26.0,26.0,25.7,25.8,24.4,21.3,17.0
Teknaf,26.3,28.0,31.0,31.6,31.7,31.5,30.4,30.9,31.8,31.3,29.1,27.3,16.7,17.3,21.5,23.9,25.0,25.7,25.7,25.4,25.3,24.2,21.6,16.8
Sylhet,25.7,29.8,31.8,30.1,30.5,31.2,31.1,32.5,33.1,31.8,29.5,26.6,14.0,15.3,18.4,20.8,22.7,24.8,25.3,25.4,24.9,22.7,19.4,15.4
Srimangal,25.6,29.3,31.7,31.5,30.6,31.6,31.4,32.7,33.4,31.7,29.7,26.9,11.2,11.8,16.2,20.6,21.9,24.3,25.0,24.5,24.1,21.0,17.1,12.9
Rajshahi,25.0,28.7,33.2,33.5,32.9,33.5,33.2,32.6,33.1,31.9,29.1,25.5,12.3,13.3,18.4,22.6,24.2,25.7,26.6,26.2,25.6,22.3,17.8,12.9
Ishurdi,25.2,28.5,32.7,33.1,32.7,32.9,32.6,31.8,32.5,31.9,29.3,25.3,12.1,13.5,18.8,23.0,24.3,25.6,26.3,26.1,25.7,22.4,18.1,13.3
Bogra,25.4,28.1,31.2,31.2,31.7,32.0,31.4,32.1,32.7,32.2,30.0,25.3,13.2,14.8,19.4,22.0,24.1,25.6,26.1,26.5,25.6,23.0,19.0,14.1
Rangpur,23.7,27.4,30.1,29.2,31.0,30.8,30.5,32.2,31.9,31.5,28.5,24.9,12.5,14.2,17.9,21.0,23.5,24.9,25.8,26.1,25.4,22.5,18.1,14.1
Dinajpur,24.5,28.1,31.4,30.6,31.6,31.7,31.0,32.7,32.8,31.9,29.4,25.0,11.9,13.7,17.9,21.3,23.7,25.0,25.7,26.2,25.3,22.0,17.5,13.2
Sayedpur,24.4,27.7,30.7,29.9,31.5,31.5,30.8,32.5,32.6,31.8,29.0,25.0,11.8,13.9,17.5,20.7,23.3,24.7,25.6,26.1,25.3,22.0,17.7,13.3
Khulna,26.3,29.6,33.3,33.7,34.6,32.8,33.3,32.1,32.7,32.7,30.4,27.5,13.7,15.3,20.7,23.9,25.3,25.4,27.1,26.1,25.9,24.1,19.8,15.2
Mongla,26.5,29.7,33.7,33.4,34.7,32.9,33.5,31.7,32.4,31.8,29.5,27.0,14.9,16.8,21.9,24.2,25.9,26.0,26.9,26.1,25.7,24.0,20.6,16.3
Satkhira,25.8,29.3,33.1,33.8,35.3,33.0,33.6,32.0,32.4,32.1,29.4,26.9,13.3,15.3,21.0,24.0,25.7,26.2,27.2,26.4,25.9,23.1,18.8,14.1
Jessore,26.3,29.9,33.9,34.1,35.0,33.4,34.1,32.8,33.2,33.0,30.3,27.4,12.2,14.1,19.5,23.2,25.0,25.9,26.7,26.1,25.4,22.5,18.0,13.2
Chuadanga,25.0,29.1,33.6,33.7,34.1,33.7,33.5,32.4,32.8,32.5,29.4,26.1,12.8,14.1,19.2,23.0,24.8,26.0,26.9,26.2,25.7,22.8,18.3,13.5
