Stations,Year,Month,Days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
Ambagan(Ctg),2001,11,0,0,4,0,0,0,0,0,1,1,10,59,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ambagan(Ctg),2001,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ambagan(Ctg),2002,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Ambagan(Ctg),2002,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Ambagan(Ctg),2002,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,25,1,0,36,1,0,0
Ambagan(Ctg),2002,4,0,0,12,31,0,0,0,0,0,0,16,3,0,0,0,0,0,0,0,0,0,0,9,0,0,0,4,3,0,1,
Ambagan(Ctg),2002,5,1,0,0,1,13,43,37,1,94,8,1,10,0,2,33,0,0,0,42,0,0,0,7,41,7,15,43,47,7,0,0
Ambagan(Ctg),2002,6,1,0,0,13,11,10,0,45,0,0,2,6,16,63,8,2,1,0,6,1,4,58,3,10,12,5,1,1,1,94,
Ambagan(Ctg),2002,7,46,37,4,17,129,59,7,3,2,13,22,0,0,14,3,4,3,2,0,23,156,119,89,71,0,19,0,1,0,77,0
Ambagan(Ctg),2002,8,0,0,39,20,35,24,13,4,11,54,6,5,1,1,25,14,85,15,0,6,0,3,74,2,0,1,2,1,15,0,0
Ambagan(Ctg),2002,9,0,0,5,5,0,36,0,3,17,0,1,0,0,0,2,20,2,5,0,0,18,22,5,0,0,0,1,1,2,0,
Ambagan(Ctg),2002,10,0,0,0,0,0,0,1,1,0,5,0,0,0,1,47,22,0,0,0,49,2,0,0,0,0,0,0,0,0,0,0
Ambagan(Ctg),2002,11,0,0,0,0,0,0,0,0,0,0,0,23,69,21,0,0,0,0,0,0,0,0,0,0,0,2,3,0,2,8,
Ambagan(Ctg),2002,12,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ambagan(Ctg),2003,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ambagan(Ctg),2003,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Ambagan(Ctg),2003,3,0,0,0,0,0,0,0,0,0,0,0,0,8,1,1,16,7,20,0,0,0,0,0,0,0,0,0,0,0,0,0
Ambagan(Ctg),2003,4,97,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,11,26,0,3,12,0,0,0,0,0,0,17,0,
Ambagan(Ctg),2003,5,0,0,8,55,0,1,0,0,0,0,0,0,0,1,0,31,25,0,0,0,26,8,0,8,25,0,0,10,0,0,0
Ambagan(Ctg),2003,6,0,0,0,1,14,53,8,133,5,63,116,34,0,6,0,5,8,2,0,2,95,175,63,1,2,51,206,43,20,103,
Ambagan(Ctg),2003,7,10,5,0,3,0,1,4,6,0,2,4,41,17,0,0,0,0,0,12,8,36,5,0,10,28,0,0,4,31,64,5
Ambagan(Ctg),2003,8,7,0,0,0,0,12,0,0,0,53,27,80,13,2,4,1,12,0,1,28,8,2,1,0,0,0,0,0,3,1,5
Ambagan(Ctg),2003,9,2,40,23,0,0,4,8,4,2,0,60,16,5,0,0,0,2,1,2,0,4,0,2,10,0,0,5,11,9,0,
Ambagan(Ctg),2003,10,0,0,8,0,0,0,11,4,43,33,71,0,0,0,0,3,0,0,0,0,0,0,4,42,4,0,0,0,11,0,0
Ambagan(Ctg),2003,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ambagan(Ctg),2003,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,37,25,0,0,0,0,0,0,0,0,0,0
