Ground Water Table Hydrograph of 38 districts for the year 2008 to 2018,,,,,,
Well No.,Well,Long,Lat,Upazilla,District,Sub-Division
188,FA051,89.92,23.27,Muksudpur,,
189,FA053,89.90,22.85,Tungipara,,
190,BA007,90.19,22.63,Jhalokathi Sadar,Jhalokathi,
191,BA019,90.16,22.61,Rajapur,,
192,FA035,90.25,23.26,Madaripur Sadar,Madaripur,
193,FA031,90.03,23.20,Rajoir,,
194,FA021,90.20,23.37,Shibchar,,
195,PT002,90.44,22.19,Galachipa,Patuakhali,
196,PT007,90.21,22.35,Mirzaganj,,
197,PT004,90.06,22.25,Patuakhali Sadar,,
198,BA021,89.97,22.41,Bhandaria,Pirojpur,
199,BA018,90.07,22.62,Kawkhali,,
200,BA027,89.98,22.37,Mathbaria,,
201,BA015,89.98,22.64,Pirojpur Sadar,,
202,BA016,90.12,22.72,Nesarabad( Swarupkathi),,
203,FA009,89.58,23.69,Baliakandi,Rajbari,
204,FS009,89.78,23.71,Goalandaghat,,
205,FA015,89.50,23.78,Pangsha,,
206,FA016,89.71,23.68,Rajbari Sadar,,
207,FA024,90.45,23.20,Bhedarganj,Shariatpur,
208,FA061,90.42,23.07,Gosairhat,,
209,FA023,90.38,23.30,Naria,,
210,FS012,90.35,23.22,Shariatpur Sadar,,
211,FA034,90.28,23.29,Zanjira,,
