Monthly Temperature (°C) in 1995,,,,,,,,,,,,,,,,,,,,,,,,
Station,Max_Jan,Max_Feb,Max_Mar,Max_Apr,Max_May,Max_Jun,Max_Jul,Max_Aug,Max_Sep,Max_Oct,Max_Nov,Max_Dec,Min_Jan,Min_Feb,Min_Mar,Min_Apr,Min_May,Min_Jun,Min_Jul,Min_Aug,Min_Sep,Min_Oct,Min_Nov,Min_Dec
Dhaka,25.4,28.0,33.8,36.5,34.6,32.8,31.8,32.5,32.4,32.8,29.8,27.0,11.3,15.7,19.3,24.6,26.3,26.9,26.3,26.5,26.3,24.0,19.9,13.3
Mymensingh,23.9,26.2,30.4,33.4,33.5,31.5,30.6,31.0,31.9,32.2,29.0,25.7,10.7,14.5,17.6,22.9,25.1,26.0,25.8,26.1,25.9,23.4,19.5,13.5
Tangail,23.6,26.3,31.5,36.2,34.4,32.4,31.2,31.6,32.1,31.9,28.9,26.0,10.3,14.1,17.7,23.4,25.4,26.2,25.8,26.2,26.0,23.7,19.2,13.1
Faridpur,24.0,27.2,33.0,37.0,34.6,32.4,31.0,31.6,31.5,31.7,28.6,26.0,11.4,14.7,18.6,24.3,26.0,26.4,25.7,26.3,26.1,24.6,19.7,14.0
Madaripur,24.4,27.8,33.5,36.0,34.4,32.2,30.5,32.3,31.8,32.5,29.0,26.2,11.0,14.9,18.8,23.9,26.2,26.5,26.1,26.4,26.2,24.8,20.7,13.8
Chittagong,26.0,27.7,32.0,32.8,33.1,32.3,31.2,31.7,31.9,32.6,29.2,27.3,13.2,16.4,20.5,24.4,27.2,26.2,25.7,25.9,25.9,25.1,21.8,16.0
Sandwip,25.3,26.5,30.9,31.8,31.9,30.7,30.0,30.7,30.8,31.7,28.3,26.4,14.3,17.0,21.2,25.7,28.1,26.6,26.5,26.3,26.5,25.6,22.4,16.7
Sitakunda,26.6,28.0,32.5,32.4,32.4,31.2,30.4,31.3,31.5,32.7,29.1,27.4,11.2,14.6,18.3,24.0,26.9,25.9,25.6,25.5,25.5,24.5,21.0,13.5
Rangamati,26.0,28.3,33.7,35.5,34.7,32.2,31.5,32.1,32.4,32.2,28.7,26.4,11.7,14.4,18.3,23.6,25.9,25.5,24.7,24.9,24.8,23.8,21.2,14.7
Comilla,24.9,27.2,31.8,33.4,32.9,31.9,30.8,32.0,31.8,32.2,28.8,26.8,10.1,14.6,18.0,22.4,24.7,24.7,25.6,25.8,25.5,23.9,19.9,12.9
Chandpur,24.2,27.1,32.3,34.5,33.4,32.1,31.1,32.0,31.8,31.9,28.6,26.2,12.8,16.0,19.6,24.0,25.9,26.1,25.7,26.1,26.0,25.2,21.0,15.6
M_Court,25.3,27.4,32.5,33.7,33.0,31.2,30.3,31.2,31.1,31.9,28.5,26.3,12.2,17.1,19.4,24.5,26.5,26.2,26.0,26.1,26.3,25.6,21.8,16.2
Feni,26.0,27.9,33.1,33.4,32.9,31.4,30.6,31.7,31.4,32.5,28.9,27.4,11.4,15.7,19.5,23.9,26.2,25.4,24.7,24.8,25.1,24.3,20.8,14.5
Hatiya,25.3,27.0,31.7,32.8,32.4,31.0,30.2,31.0,30.8,31.8,28.6,26.8,13.4,17.0,20.7,25.3,27.5,26.5,26.3,26.3,26.4,25.5,22.0,16.2
Cox's_Bazar,27.0,28.4,32.5,33.3,33.2,31.1,30.3,30.9,30.8,32.5,28.7,27.8,15.1,17.2,21.2,24.7,26.9,25.7,25.3,25.7,25.4,25.2,22.6,16.8
Kutubdia,25.3,26.7,31.5,32.5,33.6,31.9,30.2,31.3,30.3,32.5,29.3,27.4,13.6,16.9,20.2,24.3,26.9,25.5,25.7,25.5,25.3,24.6,22.2,16.0
Teknaf,27.8,28.3,32.7,32.4,32.5,30.8,29.8,30.9,31.0,32.2,29.1,28.0,14.5,16.0,20.8,24.0,26.7,25.8,25.5,25.8,25.4,25.3,22.9,16.9
Sylhet,24.8,26.4,31.5,32.5,32.4,31.6,31.4,31.5,31.8,32.0,29.4,26.3,12.2,14.6,17.7,21.3,24.1,25.1,25.3,25.3,25.3,23.7,20.1,15.0
Srimangal,24.7,26.6,32.0,34.3,34.1,32.4,32.1,32.1,32.3,32.0,28.9,26.3,8.6,12.2,15.2,21.5,24.5,25.0,24.8,25.2,25.1,22.9,19.1,11.7
Rajshahi,23.3,26.8,32.4,38.5,37.8,33.5,31.9,32.4,32.1,32.2,28.7,25.9,9.6,12.9,17.3,23.1,26.5,26.5,26.1,26.1,25.8,23.8,18.1,12.5
Ishurdi,23.9,27.0,33.1,39.1,37.0,33.4,31.7,31.9,32.0,32.2,28.8,26.0,8.8,12.8,17.0,23.8,25.5,26.5,25.9,26.1,25.8,23.4,18.0,11.9
Bogra,24.0,26.4,31.0,35.7,35.2,32.6,31.4,31.9,32.0,32.1,29.6,26.4,10.7,14.4,18.3,23.5,25.7,26.6,26.1,26.4,26.1,24.3,19.1,13.5
Rangpur,23.0,25.9,31.0,34.0,34.0,31.7,30.8,31.7,30.9,31.4,28.0,24.8,9.6,12.8,16.6,21.0,25.0,25.7,25.8,25.7,25.3,22.9,18.1,13.4
Dinajpur,23.6,26.7,31.5,35.8,35.8,32.6,31.3,32.0,31.3,31.8,28.5,25.2,8.8,11.8,16.8,21.4,25.2,26.0,25.4,25.5,24.6,22.4,17.2,12.3
Sayedpur,22.8,25.7,30.8,34.8,35.0,31.6,30.7,31.6,30.7,31.6,28.2,24.8,9.8,12.8,16.6,21.5,25.4,25.9,26.0,26.0,25.4,23.3,18.1,13.3
Khulna,24.6,28.4,33.5,36.5,34.9,33.1,32.0,32.4,32.1,32.8,29.1,27.2,11.3,15.3,19.4,24.7,26.7,26.7,26.2,26.0,25.6,23.2,19.2,13.5
Mongla,24.5,28.3,33.0,36.6,34.8,32.4,32.0,31.8,31.4,31.0,28.0,26.6,13.1,16.7,21.6,25.7,27.1,27.1,26.3,26.6,26.1,24.8,20.8,15.7
Satkhira,25.1,28.4,33.5,36.9,36.1,33.5,32.1,32.6,32.1,32.6,29.2,27.3,11.2,16.2,19.9,25.1,27.1,26.6,26.0,26.1,25.4,23.5,18.6,13.2
Jessore,24.5,27.9,33.4,37.9,36.7,33.7,31.7,32.3,32.3,32.5,29.2,26.6,10.1,14.2,18.4,24.3,26.9,26.7,26.1,26.1,25.8,23.5,18.5,12.3
Chuadanga,23.7,27.7,33.2,39.1,37.6,33.9,32.1,32.7,32.5,32.6,28.8,26.1,9.8,13.7,17.7,23.9,26.9,26.6,25.9,26.2,26.0,23.8,18.4,12.8
Barisal,24.9,27.7,33.0,34.1,33.7,31.5,30.9,31.9,31.8,32.0,29.0,27.3,10.7,15.0,19.5,25.0,26.5,25.9,25.1,25.5,25.1,23.9,19.5,13.2
Patuakhali,25.0,28.0,32.7,35.2,33.3,31.8,31.0,31.9,31.5,32.0,28.5,27.0,12.5,16.0,20.2,24.6,26.6,26.3,25.9,26.1,25.9,24.8,21.0,14.5
Khepupara,25.4,27.9,33.1,34.6,33.0,31.5,30.6,31.1,30.6,31.3,28.4,27.1,13.0,16.7,21.1,25.9,27.4,26.8,26.1,26.3,25.9,24.9,21.1,15.1
Bhola,25.2,27.8,32.8,34.1,33.0,31.5,30.6,31.6,31.3,32.2,29.2,27.5,11.4,15.6,19.8,24.7,26.7,26.4,26.0,26.3,26.0,24.7,20.6,14.1
