Monthly Temperature (°C) in 1997,,,,,,,,,,,,,,,,,,,,,,,,
Station,Max_Jan,Max_Feb,Max_Mar,Max_Apr,Max_May,Max_Jun,Max_Jul,Max_Aug,Max_Sep,Max_Oct,Max_Nov,Max_Dec,Min_Jan,Min_Feb,Min_Mar,Min_Apr,Min_May,Min_Jun,Min_Jul,Min_Aug,Min_Sep,Min_Oct,Min_Nov,Min_Dec
Dhaka,25.1,27.8,33.1,31.1,33.7,33.3,31.7,32.7,31.5,32.1,30.4,25.0,11.5,14.5,21.1,21.1,24.6,25.8,26.4,26.6,25.5,22.2,18.9,14.5
Mymensingh,24.4,25.8,31.6,29.4,32.1,31.6,30.7,31.7,30.6,31.4,29.6,23.9,10.6,13.6,19.5,20.2,23.4,24.9,26.1,26.4,24.7,21.7,18.1,13.7
Tangail,24.2,26.2,32.0,30.1,33.2,33.2,31.5,32.2,31.2,31.5,29.7,23.7,10.4,13.0,19.3,20.2,23.8,24.9,26.1,26.0,25.1,21.8,18.5,13.8
Faridpur,24.4,27.0,32.4,31.4,33.8,33.0,31.5,32.0,31.3,31.3,29.6,23.7,11.5,14.2,20.2,21.0,24.2,24.8,25.7,26.1,25.4,22.7,19.8,14.6
Madaripur,24.9,27.6,32.3,31.4,33.8,33.5,32.0,32.5,32.0,32.1,30.3,24.4,11.4,14.5,20.8,21.1,24.7,25.7,26.2,26.4,25.6,22.9,19.8,14.7
Chittagong,26.0,27.5,30.3,30.5,32.5,32.3,31.1,32.5,31.9,32.3,31.3,26.5,13.3,15.6,20.8,22.2,25.1,25.4,25.6,26.4,25.3,23.2,20.4,15.1
Sandwip,24.8,26.0,29.4,29.4,31.4,30.8,29.9,31.1,30.6,31.0,29.8,24.8,14.6,16.6,22.1,22.1,24.9,25.3,24.1,25.6,25.3,23.2,20.0,14.6
Sitakunda,26.1,27.7,30.9,30.6,32.5,31.5,30.6,32.2,31.3,32.4,31.1,26.6,10.5,12.7,19.9,21.0,24.3,24.8,25.1,25.4,24.6,22.2,19.0,13.7
Rangamati,25.2,27.8,31.8,31.0,33.3,31.8,31.2,32.2,31.5,31.4,29.6,25.4,11.5,13.4,19.1,20.2,23.8,23.7,24.9,25.1,24.1,21.7,18.7,14.3
Comilla,24.8,26.5,30.9,30.0,33.2,31.9,31.3,32.2,31.4,31.2,30.1,24.8,11.2,14.5,19.9,19.6,23.3,24.3,24.9,25.1,24.4,21.9,18.5,13.4
Chandpur,24.5,26.8,31.5,30.5,33.3,32.9,31.4,32.4,31.5,31.5,29.9,24.3,13.0,15.3,21.4,21.0,24.8,25.6,25.9,26.6,25.5,23.6,21.1,15.9
M_Court,25.5,27.2,31.6,31.0,33.4,32.5,31.1,31.9,31.3,31.3,30.1,24.9,13.1,15.5,21.2,21.0,24.8,25.9,25.9,26.3,25.8,24.0,21.3,16.0
Feni,25.7,27.2,31.8,30.6,33.1,31.7,30.8,31.8,31.3,31.3,30.5,25.4,11.9,14.8,21.3,21.0,24.5,25.4,25.3,25.5,24.9,22.2,19.5,14.8
Hatiya,25.3,26.9,31.2,30.5,32.5,32.1,30.8,31.6,31.2,31.8,30.5,25.4,13.8,16.3,21.9,21.8,24.8,25.7,25.1,26.0,25.6,23.5,20.6,15.3
Cox's_Bazar,26.9,28.0,30.9,31.6,33.0,31.5,29.8,31.3,31.2,31.9,31.5,27.8,14.8,16.1,21.5,21.8,24.9,24.9,24.9,25.5,24.8,23.7,21.3,17.3
Kutubdia,25.7,27.2,30.2,30.3,33.1,31.1,29.9,31.3,30.6,31.3,30.4,26.0,14.2,15.7,20.7,21.3,23.3,23.0,24.6,25.4,25.1,23.4,20.9,16.9
Teknaf,27.0,27.8,30.3,30.3,32.2,30.4,29.8,30.5,30.8,31.6,30.9,28.0,15.0,16.3,21.1,22.0,24.6,25.8,25.5,26.0,25.3,23.3,21.5,16.8
Sylhet,29.9,25.8,31.4,30.4,32.1,31.0,31.8,32.6,30.0,31.7,29.9,25.6,23.4,13.9,19.0,19.5,22.4,23.8,25.4,25.5,23.8,21.7,18.9,14.9
Srimangal,24.8,26.5,31.9,30.6,32.4,32.3,31.9,32.6,31.1,31.6,30.3,24.3,8.7,11.3,18.0,18.7,22.5,23.7,25.0,25.4,23.7,20.3,16.6,12.5
Rajshahi,24.0,26.8,32.8,32.3,36.3,34.6,31.8,32.5,31.8,31.4,29.1,23.4,9.8,12.2,18.7,20.4,24.4,25.2,26.0,26.4,25.2,22.0,18.7,13.5
