,"Monthly Total Rainfall by Center/Station, 2011-14",,,,,,,,,,,,,(MM),
,Station,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
,chi(Ambagan),2012,0,0,31,231,114,1268,662,300,221,445,3,0,3275
,chi(Ambagan),2013,0,1,5,58,469,504,391,243,305,403,0,0,2379
,chi(Ambagan),2014,0,40,32,30,368,1235,389,599,355,107,1,0,3156
,Chi(Patanga),2011,0,0,35,133,276,481,562,806,762,46,0,0,3101
,Chi(Patanga),2012,0,0,30,192,188,1337,788,299,170,636,3,0,3643
,Chi(Patanga),2013,0,0,3,58,773,513,405,267,173,369,0,0,2561
,Chi(Patanga),2014,0,37,18,43,304,1494,395,692,363,104,0,0,3450
,Comilla,2011,0,0,28,76,351,346,273,501,233,76,0,0,1884
,Comilla,2012,16,1,13,195,209,442,282,373,178,115,102,3,1929
,Comilla,2013,0,3,30,28,467,214,276,243,255,124,0,3,1643
,Comilla,2014,0,8,17,16,195,394,227,418,296,64,0,0,1635
,Cox`s Bazar,2011,11,0,4,123,296,926,877,1226,692,280,0,5,4440
,Cox`s Bazar,2012,0,0,109,148,254,1102,1130,801,302,263,14,0,4123
,Cox`s Bazar,2013,0,0,0,54,700,876,772,1000,237,420,0,0,4059
,Cox`s Bazar,2014,0,29,1,4,139,677,717,611,264,41,0,0,2483
,Feni,2011,0,10,55,58,437,599,576,832,402,225,0,0,3194
,Feni,2012,2,0,28,388,138,723,568,390,274,356,18,0,2885
,Feni,2013,0,3,26,17,533,493,382,468,373,193,0,0,2488
,Feni,2014,0,14,21,5,243,701,370,603,456,97,0,0,2510
,Hatia,2011,0,0,67,61,529,635,715,1018,659,158,0,0,3842
,Hatia,2012,0,0,8,267,317,538,738,501,377,244,13,2,3005
,Hatia,2013,0,4,0,50,842,592,544,677,435,292,0,0,3436
,Hatia,2014,0,27,14,2,158,916,702,603,435,269,2,0,3128
,Kutubdia,2011,5,0,22,118,316,952,803,856,597,224,0,1,3894
,Kutubdia,2012,0,0,37,135,251,1178,1688,527,260,554,47,0,4677
,Kutubdia,2013,0,1,0,85,1088,1058,818,642,296,215,0,0,4203
,Kutubdia,2014,0,48,4,55,103,1055,620,545,449,80,1,0,2960
,Maijdi Court,2011,0,6,24,61,358,794,791,691,392,117,0,0,3234
,Maijdi Court,2012,6,0,44,267,286,483,431,442,322,156,29,0,2466
,Maijdi Court,2013,0,8,4,65,671,658,482,583,355,218,0,0,3044
,Maijdi Court,2014,0,20,58,42,215,710,557,667,434,108,2,0,2813
,Rangamati,2011,1,1,49,78,169,516,463,566,420,98,0,0,2361
,Rangamati,2012,0,0,91,284,187,834,489,297,268,344,23,0,2817
,Rangamati,2013,0,2,2,83,435,280,274,200,476,198,0,0,1950
,Rangamati,2014,0,23,17,1,339,610,161,294,316,152,10,0,1923
,Sandwip,2011,0,0,120,124,372,661,734,1124,823,302,0,0,4260
,Sandwip,2012,0,0,52,314,226,753,1399,889,182,263,3,0,4081
,Sandwip,2013,0,0,0,52,570,560,441,746,573,241,0,0,3183
,Sandwip,2014,0,34,32,33,218,1167,549,960,414,58,3,0,3468
,Sitakunda,2011,1,0,126,163,361,502,818,1136,524,127,0,0,3758
,Sitakunda,2012,1,0,24,352,251,954,1274,567,234,256,19,1,3933
,Sitakunda,2013,0,0,13,57,470,569,333,390,496,269,1,0,2598
,Sitakunda,2014,0,25,21,27,194,995,508,757,350,87,0,0,2964
,Teknaf,2011,9,1,11,130,312,1180,848,1163,826,474,0,0,4954
,Teknaf,2012,0,0,22,142,154,1431,1349,933,496,319,23,0,4869
,Teknaf,2013,0,0,0,34,753,821,1127,851,329,271,0,0,4186
,Teknaf,2014,0,22,0,1,78,887,894,1022,507,65,30,1,3507
,,,,,,,,,,,,,,,
,Note: *** Means Missing Data/ Data Not Available,,,,,,,,,,,,,,
,Source : Bangladesh Meteorological Department (BMD),,,,,,,,,,,,,,
