,"Monthly Highest Maximun Wind Speed by Station, 2011-16 ( Data in Knots)",,,,,,,,,,,,,,,,,,,,,,,,
,Year,JAN.,,FEB.,,MAR.,,APR.,,MAY,,JUNE,,JULY,,AUG.,,SEP.,,OCT.,,NOV.,,DEC.,
,,SPD.,DIR.,SPD.,DIR.,SPD.,DIR.,SPD.,DIR.,SPD.,DIR.,SPD.,DIR.,SPD.,DIR.,SPD.,DIR.,SPD.,DIR.,SPD.,DIR.,SPD.,DIR.,SPD.,DIR.
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
,Station : Dinajpur,,,,,Lat.25Deg.39Mts.N,,,,,,,Long.88Deg.41Mts.E,,,,,,,,,,,,
,2011,4,270,4,270,4,250,5,320,4,270,5,180,4,180,4,90,4,90,4,270,3,90,4,310
,2012,4,270,5,270,5,230,7,270,7,360,5,90,3,130,3,180,4,90,3,180,3,310,2,270
,2013,4,270,3,360,6,270,5,90,6,90,4,90,6,130,5,180,4,90,4,90,3,360,4,270
,2014,4,270,4,230,6,230,4,310,4,180,3,90,4,90,4,130,3,290,3,230,2,360,5,270
,2015,4,270,4,270,6,270,5,190,6,270,5,90,4,180,5,90,4,90,3,180,3,50,3,300
,2016,3,270,4,270,6,130,6,270,13,270,3,290,4,90,5,90,3,360,3,90,3,360,3,270
,Station : Rangpur,,,,,,Lat.25Deg.44Mts.N,,,,,,Long.89Deg.14Mts.E,,,,,,,,,,,,
,2011,5,20,5,230,7,50,7,130,6,320,6,50,6,130,6,90,5,90,4,50,4,50,6,90
,2012,27,20,8,270,6,270,6,50,6,230,6,180,5,130,4,130,4,230,4,90,4,90,4,360
,2013,5,50,9,310,10,330,6,50,8,90,8,50,5,130,6,230,8,50,7,50,5,50,4,50
,2014,4,310,5,230,6,230,9,20,15,50,6,50,9,90,6,90,5,130,4,130,4,50,5,50
,2015,8,50,4,50,6,230,10,50,18,350,8,50,7,50,9,50,4,50,4,50,7,50,4,50
,2016,3,50,5,230,12,330,9,50,7,50,4,180,4,170,8,50,4,130,5,50,8,50,4,50
,Station : Rajshahi,,,,,,Lat.24Deg.22Mts.N,,,,,,Long.88Deg.42Mts.E,,,,,,,,,,,,
,2011,6,360,6,310,12,130,8,220,13,310,12,50,6,90,8,90,8,90,3,50,3,270,4,360
,2012,6,360,6,310,7,360,7,90,10,360,6,360,7,90,6,90,9,90,4,130,6,310,6,310
,2013,8,330,6,330,10,310,9,180,15,90,7,90,10,90,10,90,8,50,10,130,9,330,7,320
,2014,7,310,9,230,9,270,7,230,11,130,8,130,9,90,8,90,9,50,7,130,4,230,8,270
,2015,7,320,6,310,10,230,7,50,8,90,9,130,10,30,9,130,8,90,7,50,7,360,8,360
,2016,5,270,7,230,10,30,7,50,11,230,7,50,7,130,12,90,6,50,6,50,6,360,7,360
,Station : Bogra,,,,,,Lat.24Deg.51Mts.N,,,,,,Long.89Deg.22Mts.E,,,,,,,,,,,,
,2011,7,310,10,270,7,270,20,230,16,270,16,90,10,90,10,90,8,130,6,270,5,90,5,310
,2012,8,270,10,270,15,270,12,130,10,270,10,130,9,130,8,90,9,90,6,230,4,310,6,270
,2013,8,310,6,310,9,270,0,0,10,90,6,90,8,130,10,90,8,90,9,130,4,360,4,310
