Monthly Temperature (°C) in 2001,,,,,,,,,,,,,,,,,,,,,,,,
Station,Max_Jan,Max_Feb,Max_Mar,Max_Apr,Max_May,Max_Jun,Max_Jul,Max_Aug,Max_Sep,Max_Oct,Max_Nov,Max_Dec,Min_Jan,Min_Feb,Min_Mar,Min_Apr,Min_May,Min_Jun,Min_Jul,Min_Aug,Min_Sep,Min_Oct,Min_Nov,Min_Dec
Dhaka,24.4,28.7,32.7,34.4,32.0,31.0,31.7,32.4,31.9,31.6,28.9,25.9,13.0,16.9,20.7,24.7,24.2,25.5,25.9,25.2,24.3,22.8,19.3,14.9
Mymensingh,24.4,27.3,31.1,32.6,31.4,31.2,31.7,32.7,32.1,31.6,29.4,26.5,10.6,15.0,18.3,22.4,23.5,25.7,26.4,26.6,26.1,24.4,19.7,13.0
Tangail,24.0,28.2,32.4,34.0,32.1,31.9,32.4,33.0,32.2,32.1,29.5,25.6,10.0,14.1,17.8,23.1,23.3,25.4,26.2,26.6,25.9,24.0,19.6,13.1
Faridpur,24.4,28.8,33.1,35.1,32.5,31.3,31.8,32.7,32.4,32.2,29.4,25.8,10.9,15.2,19.2,23.7,24.1,25.6,26.2,26.8,26.0,24.7,20.8,13.8
Madaripur,25.5,29.4,32.8,34.7,33.2,31.3,31.4,32.7,32.3,32.5,29.8,26.6,11.0,15.6,19.7,24.0,24.0,25.7,26.3,26.8,26.0,24.8,21.0,14.2
Chittagong,26.6,29.7,33.0,33.8,31.7,30.4,30.9,31.9,32.1,32.1,30.2,28.6,11.6,15.1,17.9,24.9,24.6,25.2,25.2,25.7,25.3,24.8,21.4,15.4
Sandwip,23.3,26.0,31.3,32.6,32.7,32.0,33.4,34.7,32.9,32.6,29.5,25.3,12.1,16.2,21.9,24.9,25.2,25.0,24.8,23.2,21.3,23.1,20.0,14.3
Sitakunda,27.5,30.5,33.4,34.8,32.2,30.5,30.9,32.6,32.7,33.1,30.5,28.5,10.1,14.6,18.5,23.6,24.0,25.0,25.2,25.4,25.0,24.1,20.1,13.0
Rangamati,26.3,30.2,34.1,35.7,32.5,31.4,32.0,33.0,33.0,32.2,29.5,27.1,11.2,15.1,18.4,23.3,23.6,24.7,24.9,25.4,24.7,24.1,20.9,14.9
Comilla,25.1,28.7,31.8,33.8,31.6,30.9,32.0,33.0,32.5,32.3,29.2,26.4,10.9,15.9,19.2,23.0,23.9,25.3,25.6,26.1,25.5,24.2,19.8,12.9
Chandpur,24.4,28.8,32.2,33.9,31.8,31.1,31.8,32.5,31.9,31.9,29.0,25.6,12.6,16.3,20.3,24.2,24.2,25.5,25.8,26.3,25.7,24.9,21.2,15.0
M_Court,25.3,29.0,32.1,34.5,32.1,30.3,31.2,32.4,31.8,31.9,29.1,25.9,12.8,16.5,20.0,23.9,24.6,25.4,26.0,26.2,25.8,25.1,21.9,16.0
Feni,25.6,29.2,32.6,34.1,31.7,30.0,30.8,32.2,32.0,31.7,29.4,26.9,11.4,16.6,19.9,24.0,24.1,25.3,25.4,25.9,25.4,24.2,20.3,14.0
Hatiya,25.3,28.4,32.1,33.4,31.5,29.4,29.7,30.7,30.9,31.0,28.6,27.2,11.9,16.7,19.8,24.3,24.2,25.1,25.3,26.2,25.4,24.6,21.1,15.0
Cox's_Bazar,25.3,28.4,32.1,33.4,31.5,29.4,29.7,30.7,30.9,31.0,28.6,27.2,11.9,16.7,19.8,24.3,24.2,25.1,25.3,26.2,25.4,24.6,21.1,15.0
Kutubdia,27.6,30.4,33.6,34.8,32.9,30.5,31.2,32.2,32.4,32.6,30.4,28.2,14.2,17.4,21.0,24.3,24.0,23.9,25.3,25.7,25.3,25.1,22.0,16.7
Teknaf,26.1,27.9,31.1,32.8,31.3,29.9,30.2,31.3,31.7,30.9,29.4,26.7,13.4,16.8,20.5,24.6,24.5,24.9,25.2,25.6,25.2,25.3,21.6,15.9
Sylhet,25.2,27.7,31.2,32.2,31.5,31.9,32.7,33.2,32.7,31.3,29.2,27.0,12.2,15.1,19.0,21.9,23.6,25.2,25.6,25.7,25.4,23.7,19.6,14.4
Srimangal,25.3,28.9,32.2,33.6,31.2,31.8,32.7,33.7,33.2,31.7,29.1,26.7,8.2,12.2,16.1,20.9,22.7,24.5,25.3,25.3,24.7,22.9,18.0,11.4
Rajshahi,24.2,28.6,33.6,37.0,33.0,32.5,32.7,33.5,33.2,31.9,29.7,25.0,9.4,12.9,17.5,22.9,23.8,25.6,26.4,26.6,26.1,24.0,19.2,12.9
Ishurdi,24.0,28.5,33.3,35.8,32.9,32.0,32.5,33.2,32.6,32.0,29.7,25.3,9.6,13.4,17.9,23.3,23.4,25.9,26.3,26.6,25.8,24.2,19.4,12.2
Bogra,24.1,27.8,31.9,34.0,32.3,32.2,32.7,33.2,32.4,31.8,29.8,25.9,10.7,14.5,18.5,23.2,23.8,25.8,26.7,27.0,26.1,24.1,19.9,13.6
Rangpur,23.7,26.9,31.4,32.6,31.5,32.1,32.8,33.2,31.9,30.4,28.9,25.1,9.8,13.4,16.8,21.6,23.1,25.4,26.4,26.4,25.7,23.3,19.3,13.3
Dinajpur,23.4,27.0,32.2,34.8,32.8,32.9,33.6,33.9,32.3,31.3,29.6,24.5,9.7,12.7,17.2,21.3,23.3,25.4,26.5,26.7,25.6,23.4,18.6,12.6
Sayedpur,23.7,27.8,32.2,33.5,32.3,32.6,33.2,33.5,32.4,30.8,29.2,25.2,9.8,13.1,16.8,21.0,23.0,25.3,26.1,26.5,25.2,22.9,18.5,12.6
Khulna,25.8,29.9,33.2,35.2,34.4,31.5,31.6,33.1,32.9,32.9,30.2,26.9,11.0,15.9,20.2,24.6,24.7,25.9,26.3,27.1,26.4,25.1,21.4,13.9
Mongla,25.4,29.8,33.6,35.6,33.5,31.1,31.3,32.4,32.6,31.9,29.3,27.0,13.1,17.7,21.6,25.5,25.3,26.0,26.3,27.1,26.0,25.1,21.7,15.3
Satkhira,25.0,29.3,32.5,35.1,34.4,31.5,31.7,32.7,32.7,32.0,29.7,26.6,10.4,15.5,19.7,24.0,24.7,26.0,26.4,26.8,26.0,24.6,20.7,12.8
Jessore,25.9,30.2,33.5,35.6,34.5,32.2,32.4,33.7,33.8,33.4,30.8,27.3,9.5,14.1,19.5,23.5,24.2,25.7,26.3,26.4,25.6,23.9,19.4,12.1
Chuadanga,24.6,29.2,33.7,36.2,34.1,33.0,33.0,33.8,33.3,32.8,30.3,25.7,9.6,14.4,18.5,23.5,24.1,26.0,26.4,26.5,25.9,24.4,19.5,12.2
Barisal,25.7,29.5,33.1,34.6,32.8,30.6,31.3,32.2,31.8,31.9,29.7,27.0,10.1,14.9,19.0,23.6,23.7,25.0,25.3,26.0,25.2,24.0,20.5,13.3
Patuakhali,25.9,30.0,33.7,35.1,33.5,30.2,31.3,32.8,32.1,32.1,29.4,27.1,11.7,16.3,20.3,24.4,24.6,25.6,26.1,26.8,25.8,24.7,21.1,14.6
Khepupara,25.8,29.6,32.9,34.2,32.4,30.0,30.4,31.5,31.4,31.5,29.3,27.3,12.1,17.0,21.3,25.4,25.0,25.7,25.9,26.8,25.6,25.0,21.4,14.9
Bhola,25.8,29.3,32.5,34.0,31.9,29.9,30.7,31.8,30.9,31.2,28.6,26.1,10.7,16.1,20.0,24.6,24.2,25.5,26.0,26.6,25.6,24.5,20.7,14.1
