Monthly Temperature (°C) in 1999,,,,,,,,,,,,,,,,,,,,,,,,
Station,Max_Jan,Max_Feb,Max_Mar,Max_Apr,Max_May,Max_Jun,Max_Jul,Max_Aug,Max_Sep,Max_Oct,Max_Nov,Max_Dec,Min_Jan,Min_Feb,Min_Mar,Min_Apr,Min_May,Min_Jun,Min_Jul,Min_Aug,Min_Sep,Min_Oct,Min_Nov,Min_Dec
Dhaka,26.9,31.2,34.8,36.0,32.8,32.5,31.5,31.7,31.6,31.8,30.4,27.1,12.7,16.5,21.0,26.0,25.1,26.5,26.2,26.4,25.9,24.5,19.0,14.9
Mymensingh,26.3,29.9,32.3,33.3,31.1,31.9,30.9,31.0,30.9,31.2,30.5,27.5,12.0,16.0,19.0,24.5,24.1,26.0,26.1,26.1,25.9,24.0,18.5,14.1
Tangail,25.4,29.7,33.6,35.1,32.6,32.8,31.6,31.8,31.3,31.8,29.9,27.3,11.4,15.0,18.9,25.1,24.2,26.1,25.9,26.0,25.5,24.2,18.6,14.0
Faridpur,25.5,30.0,34.4,35.8,32.9,32.6,31.2,31.4,31.0,31.3,29.8,26.9,12.6,16.0,20.2,25.3,24.7,25.8,25.7,25.8,25.7,24.7,19.8,15.0
Madaripur,26.3,30.2,34.4,35.4,33.0,32.4,31.9,31.6,31.3,31.8,30.2,27.5,13.0,16.2,20.8,25.4,25.3,26.2,25.9,26.3,26.0,25.0,19.9,15.1
Chittagong,27.5,31.5,32.3,33.8,32.3,32.2,31.9,31.0,32.0,32.1,31.0,28.1,14.5,17.5,21.2,25.4,24.7,25.4,25.2,25.5,25.4,24.9,20.3,16.8
Sandwip,26.6,30.4,31.4,33.3,31.1,30.7,29.9,29.6,30.6,31.2,30.7,27.5,15.0,18.5,22.7,26.0,25.1,25.9,25.5,25.6,25.4,25.0,21.0,17.2
Sitakunda,27.9,32.1,32.8,34.6,32.0,31.1,30.8,30.3,31.5,31.7,31.5,28.5,11.4,14.6,20.3,25.2,24.9,25.3,25.1,25.2,25.0,24.3,18.1,14.5
Rangamati,27.5,32.3,34.5,36.4,32.1,30.8,31.1,30.9,31.7,31.6,29.9,26.4,13.0,15.9,20.3,24.7,24.6,24.7,24.9,24.7,24.4,23.9,18.9,15.6
Comilla,26.3,29.5,31.9,34.3,32.0,31.6,31.0,30.9,31.2,31.3,30.1,27.6,12.7,16.2,20.6,24.7,24.6,25.5,25.6,25.6,25.1,24.4,19.0,14.4
Chandpur,25.7,29.6,33.2,34.5,32.3,31.9,31.2,31.0,30.9,31.1,29.9,27.0,14.6,17.3,21.9,25.4,25.1,25.9,25.7,25.9,25.1,24.6,20.4,16.3
M_Court,26.1,29.9,32.7,34.8,32.3,31.4,30.8,30.6,31.0,31.1,29.8,26.9,14.4,17.2,21.2,24.7,25.0,25.6,25.6,25.7,25.6,24.9,21.0,16.8
Feni,26.8,30.9,32.6,34.2,31.4,30.9,30.5,30.5,31.0,31.0,30.4,27.4,13.1,16.2,21.3,25.2,24.7,25.5,25.2,25.4,25.1,24.2,18.7,15.5
Hatiya,26.4,30.2,32.0,33.6,31.5,30.9,30.1,31.6,30.5,31.1,30.3,27.4,14.6,17.9,22.2,25.6,25.3,25.8,25.6,25.6,25.5,24.9,20.8,16.8
