,,,,,,,
,"Freshwater Quality by District/Station, 2020-2023",,,,,,
,SL NO.,District/ Station,2020,2021,2022,2023,
,,,Organic Matter,,,,
,,,Biochemical Oxygen Demand (BOD),Biochemical Oxygen Demand (BOD),Biochemical Oxygen Demand (BOD),Biochemical Oxygen Demand (BOD),
,1,2,3,4,5,6,
,1,Gulshan Lake,,,,,
,,"Near United Hospital, Kalachadpur",33.51,33.56,37.25,21.23,
,,"Near Housing, South Bridge",26.49,33.07,30,23.03,
,,Near Lake View Clinic,29.31,34.09,31.75,25.53,
,,South Side of Gulsan Baridhara Lake,-,36.46,31.75,17.03,
,,North Side Gulshan Baridhara Lake,24.37,30.8,24,14.1,
,,"Taltola Shooting Complex, South Side",27.42,25.75,36.5,19.3,
,2,Dhanmondi Lake,,,,,
,,8 No. Road Bridge,9,9.44,5.2,7.7,
,,Near Gigatola Pilkhana More,9.6,9.22,5.35,6.6,
,,Near Dhanmondi-28 Bangabandhu Jadughor,9.9,8.44,5.05,7.13,
,,Near Dhanmondi-32 Bridge,8.68,8.22,4.83,6.8,
,3,Hatir Jhill Lake,,,,,
,,Badda-Gulshan Link Road Bridge,25.2,23.56,27.25,20.43,
,,Rampura Bridge,23.57,16.33,22.75,21.27,
,,FDC More Bridge,23.67,22.44,27.5,13.53,
,,,,,,,
,Source: Department of Environment (DoE),,,,,,
