,"Monthly Highest Maximun Wind Speed in Knots by Station, 2017-2024",,,,,,,,,,,,,,,,,,,,,,,,
,Year,JAN.,,FEB.,,MAR.,,APR.,,MAY,,JUNE,,JULY,,AUG.,,SEP.,,OCT.,,NOV.,,DEC.,
,,SPD.,DIR.,SPD.,DIR.,SPD.,DIR.,SPD.,DIR.,SPD.,DIR.,SPD.,DIR.,SPD.,DIR.,SPD.,DIR.,SPD.,DIR.,SPD.,DIR.,SPD.,DIR.,SPD.,DIR.
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
,Station :Dinajpur,,,,,,Lat.25Deg.39Mts.N,,,,,,Long.88Deg.41Mts.E,,,,,,,,,,,,
,2017,3,270,4,270,6,50,5,90,8,50,4,130,8,130,4,270,4,100,6,90,4,270,4,280
,2018,9,270,7,270,6,50,4,300,4,180,3,180,8,130,4,90,5,130,4,130,5,270,9,10
,2019,4,270,4,270,3,230,4,50,5,50,3.5,50,3.5,130,4,90,4.5,90,3,90,2.5,90,3,290
,2020,2.5,0,2,270,4,310,4.5,310,5.5,90,3,130,2.5,130,2.5,180,3,180,2.5,90,13.5,20,18,20
,2021,4.5,90,2.5,270,3.5,270,2.5,230,6.5,20,3,90,3.5,130,2.5,50,3,90,3,180,2,90,2.5,50
,2022,3,270,3.5,90,3,50,3,90,3,130,2.5,200,2.5,110,2.5,130,2.5,130,3,90,2.5,50,2,230
,2023,3,310,3,230,4,50,11.5,10,2.5,90,3,130,4.5,90,3.5,360,2.5,90,3,90,2.5,90,2.5,270
,2024,2,270,2.5,270,2.5,90,3,230,4,90,2.5,90,2.5,90,**,**,**,**,**,**,**,**,**,**
,Station :Rangpur,,,,,,Lat.25Deg.44Mts.N,,,,,,Long.89Deg.14Mts.E,,,,,,,,,,,,
,2017,4,50,5,230,8,310,6,50,7,50,5,130,8,130,8,230,9,130,7,90,6,90,4,50
,2018,4,230,5,50,5,50,6,230,9,0,5,50,4,310,4,130,4,130,4,50,4,270,4,50
,2019,2.5,40,2,180,3,130,3,50,4.5,310,2,270,2.5,130,2,130,2.5,130,2.5,90,2,50,2.5,60
,2020,3,310,2,50,2.5,230,4,50,7.5,50,3,180,2,230,2,130,2,90,3,50,2.5,50,1.5,330
,2021,2,270,2,50,4.5,50,4.5,50,4,50,2,130,2,130,2.5,50,2,50,2,50,1.5,50,2.5,50
,2022,2,310,4.5,50,2,190,6.5,300,3,130,2.5,210,1.5,170,4,130,2,230,6.5,50,2.5,20,1,90
,2023,1,50,2,90,2.5,20,15,50,4,230,3,50,2,50,1.5,130,3,130,3,50,2.5,20,2.5,10
,2024,1,270,1.5,270,2.5,350,2,50,7,50,3.5,50,**,**,**,**,**,**,**,**,**,**,**,**
,Station :Rajshahi,,,,,,Lat.24Deg.22Mts.N,,,,,,Long.88Deg.42Mts.E,,,,,,,,,,,,
,2017,7,310,7,270,7,50,10,90,12,270,6,90,8,130,8,90,5,90,14,90,6,360,5,360
,2018,6,360,8,360,8,270,25,310,7,50,8,90,8,50,8,90,9,90,6,90,5,50,6,360
,2019,2.5,310,3,310,15.5,20,3,310,6,310,3,230,4,70,4,90,3,50,4.5,20,3,50,3,310
,2020,3.5,310,4,230,3.5,310,4,310,16,50,3.5,50,2.5,70,4.5,90,3,90,4.5,90,2.5,360,2.5,50
,2021,2.5,270,2.5,230,3,50,8,270,4,150,4,90,4,50,2.5,90,3,130,4,150,2.5,330,2.5,310
