,Treatment of Industrial Waste Water by type of Treatment (Cubic Meter),,,,,,
,Type of Treatment/Establishment,2018-19,2019-20,2020-21,Percentage,,
,,,,,2018-19,2019-20,2020-21
,1,2,3,4,5,6,7
,Primary treatment,718079091,647840604,712018670,58.96,60.68,60.63
,Industry Type,,,,,,
,Total,1217868200,1067602350,1174463756,100,100,100
,Micro,306475,273652,272525,0.03,0.03,0.02
,Small,138976077,124734026,151584154,11.41,11.68,12.91
,Medium,141617971,164016447,185915355,11.63,15.36,15.83
,Large,936967677,778578224,836691722,76.94,72.93,71.24
,Category Type,,,,,,
,Total,1217868200,1067602350,1174463756,100,100,100
,Agriculture Forestry and Fishing,23800,22512,15943,0,0,0
,Mining and Quarrying,0,0,0,0,0,0
,Manufacturing,1148528082,999424722,1088111982,94.31,93.61,92.65
,Electricity Gas Steam and Air Conditioning Supply,110755,139410,21169582,0.01,0.01,1.8
,Water Supply Sewerage Waste Management and Remediation Activities,0,0,0,0,0,0
,Construction,0,0,0,0,0,0
,Wholesale and Retail Trade Repair of Motor Vehicles and Motorcycles,14628529,12891454,17549135,1.2,1.21,1.49
,Transportation and Storage,236337,209011,204944,0.02,0.02,0.02
,Accommodation and Food Service Activities,754384,176876,102780,0.06,0.02,0.01
,Information and Communication,492,304,354,0,0,0
,Finance Insurance Activities,0,0,0,0,0,0
,Real Estate Activities,0,0,0,0,0,0
,Professional Scientific and Technical Activities,238000,217600,210000,0.02,0.02,0.02
,Administrative and Support Service Activities,0,0,0,0,0,0
,Public Administration and Defence Compulsory Social Security,4893,4186,5413,0,0,0
,Education,20,47,504,0,0,0
,Human Health and Social Work Activities,1081208,9149781,985962,0.09,0.86,0.08
,Arts Entertainment and Recreation,0,0,0,0,0,0
,Other Service Activities,52261701,45366447,46107156,4.29,4.25,3.93
,"Source: Environmental Protection Expenditure, Resource and Waste Management (EPER&WM) Survey 2022, BBS",,,,,,
