Monthly Temperature (°C) in 2003,,,,,,,,,,,,,,,,,,,,,,,,
Station,Max_Jan,Max_Feb,Max_Mar,Max_Apr,Max_May,Max_Jun,Max_Jul,Max_Aug,Max_Sep,Max_Oct,Max_Nov,Max_Dec,Min_Jan,Min_Feb,Min_Mar,Min_Apr,Min_May,Min_Jun,Min_Jul,Min_Aug,Min_Sep,Min_Oct,Min_Nov,Min_Dec
Dhaka,21.8,28.0,30.0,34.0,34.0,31.4,32.4,32.5,31.7,31.2,29.8,25.9,11.7,16.9,19.4,24.1,24.4,25.8,26.4,26.6,24.9,25.0,19.4,16.4
Mymensingh,21.8,26.7,28.0,31.6,32.0,30.6,31.8,32.3,31.4,30.4,29.0,25.9,10.2,15.3,18.1,22.3,23.5,25.6,26.8,26.9,26.0,24.1,17.5,14.4
Tangail,21.1,27.5,29.6,34.1,34.1,31.9,32.9,33.0,32.0,31.3,29.6,25.7,9.5,14.9,17.9,23.2,23.6,25.5,26.6,26.5,25.8,24.2,17.7,14.1
Faridpur,22.0,28.1,30.7,34.4,34.8,32.3,32.4,32.8,32.0,31.3,29.7,25.3,10.7,15.9,18.9,24.3,25.3,25.8,26.3,26.6,26.1,24.8,18.3,14.6
Madaripur,23.2,28.9,31.0,34.2,34.5,32.0,32.1,33.0,32.5,32.2,30.8,26.5,11.2,16.3,18.9,24.6,25.5,26.0,26.9,27.1,26.5,25.3,18.9,15.2
Chittagong,25.8,30.7,31.1,32.8,32.8,29.9,32.2,32.0,32.0,33.0,31.2,28.4,13.6,17.4,19.7,24.5,25.6,25.0,25.8,25.8,25.5,24.8,18.7,16.3
Sandwip,24.8,29.3,30.4,32.7,32.7,30.0,31.4,31.3,31.5,32.2,30.3,27.1,10.9,15.2,17.8,23.9,25.1,25.0,25.8,25.6,25.3,24.5,17.2,14.3
Sitakunda,25.9,30.4,31.1,33.0,33.0,30.1,32.0,32.0,32.3,32.9,30.9,28.1,12.3,15.4,17.7,23.1,24.0,24.4,25.4,25.2,24.9,24.1,17.9,15.5
Rangamati,25.0,29.9,32.1,34.7,33.7,30.9,32.8,33.3,33.1,32.8,30.9,27.9,11.0,15.8,18.2,23.1,23.9,24.9,25.8,25.6,25.1,24.0,16.3,13.9
Comilla,23.1,27.9,29.5,33.1,33.5,30.8,32.1,32.8,32.6,31.8,29.8,26.4,12.3,16.2,19.5,24.6,25.5,25.9,26.3,26.3,26.3,25.6,20.0,16.5
Chandpur,22.2,28.2,30.1,33.8,33.7,31.3,32.6,32.5,31.8,31.6,29.6,25.8,12.9,16.8,19.3,24.4,25.4,25.4,26.4,26.4,26.1,25.7,20.1,16.8
M_Court,23.6,28.7,30.7,33.9,33.8,30.5,32.2,32.1,32.1,31.9,29.7,25.7,11.9,16.2,18.6,24.3,24.7,24.8,26.1,25.9,25.4,24.5,17.5,15.0
Feni,24.4,29.2,30.5,32.8,32.8,30.2,32.2,31.2,31.5,31.6,29.9,26.8,12.1,16.1,19.4,24.3,25.8,25.0,25.9,25.8,25.7,25.5,18.8,15.8
Hatiya,23.9,28.4,29.8,32.5,32.4,29.8,30.5,30.7,30.7,31.5,29.8,26.3,12.1,16.1,19.4,24.3,25.8,25.0,25.9,25.8,25.7,25.5,18.8,15.8
Cox's_Bazar,26.4,30.2,30.9,33.9,33.3,30.1,32.1,32.0,32.3,33.1,31.3,29.2,15.1,18.2,20.3,25.2,25.7,24.9,25.6,25.5,25.3,24.9,19.8,17.8
Kutubdia,24.2,27.6,29.3,32.5,32.4,29.4,31.6,31.0,31.2,32.2,30.3,27.6,14.5,17.8,20.1,25.3,26.3,25.0,26.2,25.9,25.8,25.4,19.7,17.0
Teknaf,27.1,29.8,30.8,32.8,32.2,29.5,30.9,31.0,30.9,32.0,30.4,28.7,14.2,16.9,19.5,24.8,25.9,24.6,25.7,25.5,25.5,25.1,19.0,17.3
Sylhet,24.9,28.8,29.7,32.1,31.9,30.2,32.7,33.2,32.7,31.5,29.4,26.7,12.2,15.2,17.8,21.9,23.2,24.7,25.9,25.8,25.1,24.2,18.2,15.6
Srimangal,23.8,28.5,29.7,33.2,32.3,30.8,32.9,33.0,32.3,31.1,29.5,26.3,9.4,12.4,16.1,21.2,22.8,24.6,25.4,25.6,25.0,23.6,15.6,13.0
Rajshahi,21.8,27.4,30.7,35.9,35.8,33.5,33.2,33.7,32.8,30.7,29.4,25.6,8.5,14.2,18.0,23.5,24.6,25.8,26.6,26.8,26.1,24.0,17.4,13.5
