Monthly Temperature (°C) in 2000,,,,,,,,,,,,,,,,,,,,,,,,
Station,Max_Jan,Max_Feb,Max_Mar,Max_Apr,Max_May,Max_Jun,Max_Jul,Max_Aug,Max_Sep,Max_Oct,Max_Nov,Max_Dec,Min_Jan,Min_Feb,Min_Mar,Min_Apr,Min_May,Min_Jun,Min_Jul,Min_Aug,Min_Sep,Min_Oct,Min_Nov,Min_Dec
Dhaka,24.6,25.5,30.9,32.8,32.3,32.5,31.8,32.1,32.0,31.1,29.6,26.4,14.0,16.2,20.7,23.5,24.1,25.5,26.5,26.4,25.8,24.4,20.2,15.1
Mymensingh,24.2,25.1,29.9,31.1,31.3,31.9,31.7,31.6,30.5,31.6,29.6,26.7,11.9,13.8,18.6,21.7,24.0,25.9,26.5,26.2,25.2,23.9,19.1,13.3
Tangail,24.0,25.4,30.6,32.7,32.4,32.9,32.0,32.5,31.7,31.9,30.0,26.6,11.5,13.5,18.2,22.7,24.0,25.7,26.4,26.3,25.1,23.9,18.9,12.8
Faridpur,24.8,25.6,31.5,33.6,33.0,32.6,31.9,32.3,32.0,31.6,30.3,26.5,12.3,15.0,19.3,23.5,24.4,26.2,26.1,26.3,25.7,24.5,19.9,14.0
Madaripur,25.8,26.4,31.9,33.6,33.2,32.6,32.1,32.4,32.5,32.7,30.8,27.3,13.2,15.6,20.1,23.7,24.6,26.2,26.4,26.7,25.9,24.4,19.7,13.7
Chittagong,26.9,28.0,30.9,32.6,32.1,32.1,31.9,32.0,32.3,31.8,30.8,27.9,14.3,16.2,20.7,22.7,23.7,24.7,24.6,24.5,24.4,23.6,19.1,14.3
Sandwip,25.5,26.8,29.7,32.2,31.3,30.8,30.7,31.0,31.5,31.6,30.5,27.5,15.1,16.8,21.7,24.3,24.2,25.7,25.9,24.8,24.7,24.1,19.0,13.9
Sitakunda,27.2,27.9,31.2,32.4,31.9,31.8,31.1,31.2,31.9,32.3,31.4,28.5,12.3,14.2,19.6,23.1,23.8,25.2,25.2,24.9,24.9,23.9,18.3,12.8
Rangamati,25.9,26.9,30.5,33.0,31.5,31.5,31.6,31.5,32.0,31.7,30.0,26.9,12.6,14.4,19.3,22.4,23.3,24.7,24.8,24.6,24.7,23.8,19.1,14.2
Comilla,25.5,26.0,30.1,32.2,31.9,32.1,32.1,32.0,32.2,31.8,30.1,27.2,12.6,15.3,19.9,23.0,24.1,25.6,25.8,25.7,25.3,23.9,18.0,11.9
Chandpur,24.8,25.8,31.1,32.8,32.4,32.1,31.8,31.9,32.1,31.3,29.8,26.3,14.0,15.9,20.5,23.6,24.4,25.9,26.3,26.3,25.8,24.8,20.2,14.9
M_Court,25.5,26.5,30.8,33.3,32.2,31.8,31.4,31.7,32.0,31.8,30.0,26.6,14.5,15.9,20.8,23.2,24.4,25.7,25.9,26.0,25.7,24.9,20.5,15.4
Feni,26.0,26.7,30.2,31.8,31.4,31.8,31.4,31.3,31.5,31.5,30.1,27.1,13.1,15.4,21.0,23.3,24.2,25.5,25.6,25.4,25.2,24.2,18.7,13.8
Hatiya,25.0,27.4,30.0,31.6,31.2,30.5,30.1,30.4,30.8,30.7,29.4,26.3,14.2,16.2,20.9,23.8,24.0,25.4,25.6,25.7,24.6,24.4,19.3,14.3
Cox's_Bazar,25.0,27.4,30.0,31.6,31.2,30.5,30.1,30.4,30.8,30.7,29.4,26.3,14.2,16.2,20.9,23.8,24.0,25.4,25.6,25.7,24.6,24.4,19.3,14.3
Kutubdia,27.8,29.1,31.1,33.4,32.1,31.9,31.1,31.4,31.9,32.5,31.7,28.9,15.8,17.6,21.2,24.0,23.7,25.1,24.4,25.1,25.0,24.6,20.5,16.2
Teknaf,26.2,27.5,29.8,32.0,31.0,30.9,30.2,30.7,31.2,31.3,30.9,27.9,15.4,16.8,20.8,24.0,24.5,25.4,25.3,25.1,25.2,24.7,20.1,15.3
Sylhet,24.9,25.5,28.7,30.3,30.2,31.2,32.4,31.2,30.9,31.7,29.4,27.0,13.2,14.0,18.3,20.8,23.4,24.8,25.4,24.8,24.5,23.5,18.9,14.8
Srimangal,25.4,26.0,30.0,32.3,30.9,32.1,32.9,32.2,31.7,31.5,29.5,27.3,9.7,12.1,17.6,21.5,22.6,24.8,25.2,24.9,24.6,22.6,16.8,11.0
Rajshahi,24.1,25.2,32.0,34.6,33.3,33.6,32.7,33.3,31.2,32.1,30.2,26.1,10.7,12.9,17.6,23.1,24.3,25.9,26.6,26.4,25.3,24.0,18.3,12.7
Ishurdi,24.3,25.0,31.9,34.2,33.4,33.2,32.5,33.2,31.4,31.8,30.3,26.2,10.8,13.4,17.9,23.4,24.4,25.8,26.4,26.4,25.4,23.8,18.6,12.6
Bogra,24.6,25.2,30.0,31.9,32.2,32.9,32.5,32.5,31.1,32.2,30.5,27.1,12.1,13.5,18.5,22.7,24.2,26.2,26.6,26.6,25.2,24.1,19.6,14.0
Rangpur,23.5,24.9,29.3,31.0,31.2,32.2,32.3,32.4,30.9,31.6,28.4,25.8,11.1,12.0,16.7,21.4,23.6,25.6,26.3,26.2,24.8,23.0,18.2,12.2
Dinajpur,23.0,24.5,29.7,31.9,31.7,32.6,32.7,33.0,31.1,32.1,29.2,26.3,10.8,12.0,16.6,21.0,23.7,25.9,26.4,26.5,25.1,22.9,17.6,11.5
Sayedpur,23.6,25.2,29.9,31.8,31.7,32.5,32.7,33.3,31.6,32.1,28.9,26.0,10.8,11.8,16.9,20.9,23.7,25.8,26.4,26.2,24.9,22.8,17.8,11.9
Khulna,26.7,27.4,32.9,34.5,34.6,33.3,32.3,33.1,32.7,32.6,31.2,27.4,12.3,15.2,19.9,23.8,24.6,25.5,25.4,25.7,24.8,24.7,20.3,13.4
