,"Monthly Frequency of Lightening by Station, 2015-2024",,,,,,,,,,,,,
,Station,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
,Ishurdi,2015,0,0,0,3,3,0,11,0,1,0,0,0
,Ishurdi,2016,0,0,0,2,1,0,0,2,1,1,0,0
,Ishurdi,2017,0,0,0,1,0,1,0,0,4,0,0,0
,Ishurdi,2018,0,0,0,3,2,1,2,0,3,0,0,0
,Ishurdi,2019,0,0,2,1,3,1,1,1,2,1,0,0
,Ishurdi,2020,0,0,0,1,3,2,1,0,5,0,0,0
,Ishurdi,2021,0,0,0,0,1,3,1,2,6,2,0,0
,Ishurdi,2022,0,0,0,2,1,1,0,1,1,0,0,0
,Ishurdi,2023,0,0,1,0,0,0,0,0,2,0,0,0
,Ishurdi,2024,0,0,0,0,1,2,1,**,**,**,**,**
,Rajshahi,2015,0,1,0,1,7,6,9,1,3,0,0,0
,Rajshahi,2016,0,0,1,0,10,0,0,8,12,3,0,0
,Rajshahi,2017,0,0,1,3,5,7,7,1,8,1,0,0
,Rajshahi,2018,0,0,0,5,2,4,2,1,3,0,0,0
,Rajshahi,2019,0,0,1,0,1,0,1,1,1,0,0,0
,Rajshahi,2020,0,0,0,3,3,2,1,1,10,1,0,0
,Rajshahi,2021,0,0,0,0,1,2,0,2,0,0,0,0
,Rajshahi,2022,0,0,0,1,1,0,1,0,0,1,0,0
,Rajshahi,2023,0,0,0,0,1,0,1,0,1,0,0,0
,Rajshahi,2024,0,0,0,0,1,0,**,**,**,**,**,**
,Rangpur,2015,0,0,1,3,10,7,5,3,7,0,0,0
,Rangpur,2016,0,0,1,3,5,2,1,4,7,1,0,0
,Rangpur,2017,0,0,1,0,7,5,3,0,0,1,0,0
,Rangpur,2018,0,0,1,1,2,1,3,10,3,1,0,0
,Rangpur,2019,0,0,1,3,2,2,3,1,2,0,0,0
,Rangpur,2020,0,0,0,1,3,1,4,4,5,0,0,0
,Rangpur,2021,0,0,0,0,1,2,0,1,5,1,0,0
,Rangpur,2022,0,0,0,0,2,1,2,1,1,2,0,0
,Rangpur,2023,0,0,0,0,1,0,1,0,2,1,0,0
,Rangpur,2024,0,0,0,0,1,1,**,**,**,**,**,**
,Sydpur,2015,0,0,0,0,5,7,4,6,1,1,0,0
,Sydpur,2016,0,0,0,2,0,2,2,5,5,0,0,0
,Sydpur,2017,0,0,1,3,5,5,4,2,0,1,0,0
,Sydpur,2018,0,0,0,1,0,3,1,4,1,0,0,0
,Sydpur,2019,0,0,0,1,4,0,0,3,0,0,0,0
,Sydpur,2020,0,0,0,2,1,0,3,2,4,2,0,0
,Sydpur,2021,0,0,1,0,0,3,4,7,5,0,0,0
,Sydpur,2022,0,0,0,3,3,4,2,4,3,2,0,0
,Sydpur,2023,0,0,0,0,0,0,1,0,2,0,0,0
,Sydpur,2024,0,0,0,0,0,5,**,**,**,**,**,**
,Chuadanga,2015,0,0,0,1,2,2,1,1,1,0,0,0
,Chuadanga,2016,0,2,1,1,3,1,5,3,2,3,1,0
,Chuadanga,2017,0,0,1,4,1,6,2,2,1,0,0,0
,Chuadanga,2018,0,0,0,4,1,4,1,1,3,1,0,0
,Chuadanga,2019,0,0,0,1,3,1,3,1,1,1,0,0
,Chuadanga,2020,0,0,0,3,1,1,2,1,2,0,0,0
,Chuadanga,2021,0,0,0,1,2,2,0,1,1,1,0,0
,Chuadanga,2022,0,1,0,1,1,2,0,1,0,0,0,0
,Chuadanga,2023,0,0,0,0,0,0,0,0,0,0,0,0
,Chuadanga,2024,0,0,0,0,0,1,0,**,**,**,**,**
,Jessore,2015,0,0,0,2,5,1,5,2,1,0,0,0
,Jessore,2016,0,0,0,0,3,0,0,1,1,0,0,0
,Jessore,2017,0,0,0,1,2,0,0,0,0,1,0,0
,Jessore,2018,0,0,0,4,2,1,3,0,1,0,0,0
,Jessore,2019,0,1,0,0,1,0,0,0,0,0,0,0
,Jessore,2020,0,0,0,1,1,1,0,1,0,0,0,0
,Jessore,2021,0,0,0,1,2,0,1,0,0,0,0,0
,Jessore,2022,0,0,0,0,0,0,0,0,0,0,0,0
,Jessore,2023,0,0,0,0,0,0,0,0,2,0,0,0
,Jessore,2024,0,0,0,0,0,0,0,**,**,**,**,**
,Khulna,2015,0,0,2,1,1,0,0,0,2,0,0,0
,Khulna,2016,0,0,0,0,2,0,0,1,2,0,0,0
,Khulna,2017,0,0,0,0,1,0,0,2,1,0,0,0
,Khulna,2018,0,0,2,1,3,0,0,0,0,0,0,0
,Khulna,2019,0,0,0,1,0,0,0,0,0,0,0,0
,Khulna,2020,0,0,0,0,0,0,0,1,1,0,0,0
,Khulna,2021,0,0,0,0,2,0,0,0,2,2,0,0
,Khulna,2022,0,0,0,0,0,0,0,0,0,0,0,0
,Khulna,2023,0,0,0,0,0,0,0,0,0,0,0,0
,Khulna,2024,0,0,0,0,0,0,0,**,**,**,**,**
,Mongla,2015,0,2,0,5,2,1,1,0,1,0,0,0
,Mongla,2016,0,0,1,1,2,1,0,0,0,0,0,0
,Mongla,2017,0,0,1,2,2,1,1,0,2,0,0,0
,Mongla,2018,0,0,0,3,0,0,0,1,2,0,0,0
,Mongla,2019,0,0,0,1,0,0,0,1,2,0,0,0
,Mongla,2020,0,0,0,1,1,0,1,0,1,0,0,0
,Mongla,2021,0,0,0,0,3,0,0,0,1,2,0,0
,Mongla,2022,0,0,0,0,2,2,0,0,1,0,0,0
,Mongla,2023,0,0,0,0,0,0,0,0,1,0,0,0
,Mongla,2024,0,0,0,0,0,0,0,**,**,**,**,**
,Satkhira,2015,0,1,0,3,5,1,4,0,1,0,0,0
,Satkhira,2016,0,0,1,0,4,0,1,0,2,3,1,0
,Satkhira,2017,0,0,1,2,4,0,3,2,1,0,0,0
,Satkhira,2018,0,0,1,4,4,5,1,2,3,0,0,0
,Satkhira,2019,0,0,0,4,0,0,0,0,2,1,0,0
,Satkhira,2020,0,0,0,3,3,1,2,3,3,0,0,0
,Satkhira,2021,0,0,0,0,2,2,0,1,2,1,0,0
