Monthly Temperature (°C) in 1996,,,,,,,,,,,,,,,,,,,,,,,,
Station,Max_Jan,Max_Feb,Max_Mar,Max_Apr,Max_May,Max_Jun,Max_Jul,Max_Aug,Max_Sep,Max_Oct,Max_Nov,Max_Dec,Min_Jan,Min_Feb,Min_Mar,Min_Apr,Min_May,Min_Jun,Min_Jul,Min_Aug,Min_Sep,Min_Oct,Min_Nov,Min_Dec
Dhaka,25.8,29.7,34.4,34.9,34.6,32.5,32.8,31.8,33.8,32.3,30.3,27.3,12.1,15.2,22.2,24.0,25.7,25.4,26.7,26.2,26.2,22.9,18.2,14.0
Mymensingh,24.3,27.5,32.1,33.6,32.7,31.6,31.3,31.6,32.9,31.7,29.6,27.2,12.0,14.9,19.9,22.8,24.4,25.2,26.3,26.2,25.9,22.8,18.3,13.3
Tangail,24.4,27.8,32.6,34.5,33.9,32.1,32.2,31.4,32.9,31.6,29.4,26.6,11.6,14.3,20.0,22.7,24.7,25.0,26.2,25.9,26.0,22.8,18.0,13.2
Faridpur,24.7,28.4,33.4,35.5,34.8,32.0,31.7,30.9,32.7,31.2,29.5,26.5,12.7,15.4,21.4,23.1,25.2,25.5,26.0,25.7,26.4,23.6,19.0,14.2
Madaripur,25.3,28.9,33.5,34.6,34.5,32.4,32.2,31.4,33.1,32.0,29.8,26.8,12.7,15.4,21.6,23.0,25.3,25.5,26.3,26.3,26.4,23.8,19.2,14.0
Chittagong,26.2,28.9,30.6,32.2,33.4,32.6,32.0,30.8,32.4,32.1,30.8,28.5,14.1,16.3,22.2,24.0,25.4,25.4,25.7,25.4,25.7,24.0,20.5,16.9
Sandwip,25.3,27.6,29.9,31.3,31.9,31.0,30.4,29.6,31.6,31.1,29.6,26.8,15.4,17.6,23.8,25.4,26.3,26.3,26.7,25.6,26.4,24.4,20.9,15.6
Sitakunda,26.4,29.3,31.0,32.0,32.6,31.7,30.9,29.9,32.3,31.8,30.3,28.0,11.6,14.3,21.9,23.8,25.3,25.8,25.9,25.1,25.5,22.9,18.7,14.1
Rangamati,25.3,29.0,32.1,32.9,33.0,32.3,31.6,30.7,32.2,31.3,29.4,27.1,12.5,14.7,20.5,22.7,24.1,24.3,24.9,24.5,24.6,22.5,19.2,15.3
Comilla,25.2,28.4,31.5,32.6,33.5,32.1,31.6,31.0,32.8,31.4,29.9,27.4,11.8,14.9,21.3,23.4,24.3,25.1,25.7,25.2,25.4,22.3,17.5,13.8
