id,name,sector,subsector,country,assetType,sourceType,centroid,gas,emissionsQuantity,emissionsFactor,emissionsFactorUnits,activity,activityUnits,capacity,capacityUnits,capacityFactor,year
1259164,Nawabganj District,buildings,residential-onsite-fuel-usage,BGD,,gadm-aggregation,"{'longitude': 88.26089180194701, 'latitude': 24.691532135000102, 'srid': 4326}",pm2_5,2395.95548,1.4726659428111183e-06,t of PM2_5 per MJ,1626951102.99519,MJ,169779607.18908,m^2,9.582723920330952,2024
1259151,Kushtia District,buildings,residential-onsite-fuel-usage,BGD,,gadm-aggregation,"{'longitude': 89.0249585606525, 'latitude': 23.942810059000124, 'srid': 4326}",pm2_5,2266.21477,1.446713933749576e-06,t of PM2_5 per MJ,1566456724.5346503,MJ,163396836.2184,m^2,9.586824082939328,2024
1259177,Maulvibazar District,buildings,residential-onsite-fuel-usage,BGD,,gadm-aggregation,"{'longitude': 91.8826094016913, 'latitude': 24.486860978500026, 'srid': 4326}",pm2_5,2010.35423,1.4600013812603293e-06,t of PM2_5 per MJ,1376953649.3620198,MJ,143755585.53888002,m^2,9.57843581660074,2024
1259163,Natore District,buildings,residential-onsite-fuel-usage,BGD,,gadm-aggregation,"{'longitude': 89.09054213400577, 'latitude': 24.393265724500107, 'srid': 4326}",pm2_5,1985.5450999999998,1.4299325868868805e-06,t of PM2_5 per MJ,1388558536.40118,MJ,144783611.92572,m^2,9.590578090520134,2024
1259117,Barisal District,buildings,residential-onsite-fuel-usage,BGD,,gadm-aggregation,"{'longitude': 90.25002892096478, 'latitude': 22.82380976150014, 'srid': 4326}",pm2_5,1973.4918099999998,1.4538850918726726e-06,t of PM2_5 per MJ,1357391874.3867502,MJ,141533895.02627996,m^2,9.590578102402327,2024
1259158,Netrakona District,buildings,residential-onsite-fuel-usage,BGD,,gadm-aggregation,"{'longitude': 90.79278759654113, 'latitude': 24.885355950000132, 'srid': 4326}",pm2_5,1970.54846,1.4637789480875059e-06,t of PM2_5 per MJ,1346206312.4863298,MJ,140388960.82919997,m^2,9.589118008531678,2024
1259131,Noakhali District,buildings,residential-onsite-fuel-usage,BGD,,gadm-aggregation,"{'longitude': 91.11936713872676, 'latitude': 22.815877819500145, 'srid': 4326}",pm2_5,1928.18003,1.4534451624098507e-06,t of PM2_5 per MJ,1326627298.9639502,MJ,138326104.02756,m^2,9.590578063990248,2024
1259137,Kishoreganj District,buildings,residential-onsite-fuel-usage,BGD,,gadm-aggregation,"{'longitude': 90.92785766151783, 'latitude': 24.336873054500046, 'srid': 4326}",pm2_5,1921.53208,1.45387943303885e-06,t of PM2_5 per MJ,1321658478.9178,MJ,137808010.05084,m^2,9.590578068939644,2024
1259170,Kurigram District,buildings,residential-onsite-fuel-usage,BGD,,gadm-aggregation,"{'longitude': 89.6445052272602, 'latitude': 25.80355644200006, 'srid': 4326}",pm2_5,1840.8464300000003,1.5220285066115197e-06,t of PM2_5 per MJ,1209469088.1304598,MJ,126561494.56380002,m^2,9.556374885575982,2024
1259176,Habiganj District,buildings,residential-onsite-fuel-usage,BGD,,gadm-aggregation,"{'longitude': 91.43166193901502, 'latitude': 24.33617210400009, 'srid': 4326}",pm2_5,1774.7441399999998,1.4264384051325048e-06,t of PM2_5 per MJ,1244178601.48342,MJ,129779260.90020002,m^2,9.5868830878933,2024
1259156,Jamalpur District,buildings,residential-onsite-fuel-usage,BGD,,gadm-aggregation,"{'longitude': 89.77782261521604, 'latitude': 24.99966812150012, 'srid': 4326}",pm2_5,1770.40547,1.456926039414057e-06,t of PM2_5 per MJ,1215164958.34752,MJ,126735057.40164001,m^2,9.588230622695843,2024
1259134,Faridpur District,buildings,residential-onsite-fuel-usage,BGD,,gadm-aggregation,"{'longitude': 89.87183104833281, 'latitude': 23.466231500000106, 'srid': 4326}",pm2_5,1735.57912,1.4538942318472903e-06,t of PM2_5 per MJ,1193745103.3111303,MJ,124470610.21079998,m^2,9.590578059265852,2024
1259142,Narsingdi District,buildings,residential-onsite-fuel-usage,BGD,,gadm-aggregation,"{'longitude': 90.80575236733081, 'latitude': 24.007305145000117, 'srid': 4326}",pm2_5,1700.9987700000001,1.4538788234836231e-06,t of PM2_5 per MJ,1169972863.2983701,MJ,121991902.10243998,m^2,9.590578088666176,2024
1259147,Chuadanga District,buildings,residential-onsite-fuel-usage,BGD,,gadm-aggregation,"{'longitude': 88.82268639143275, 'latitude': 23.601387024000132, 'srid': 4326}",pm2_5,1675.0508999999997,1.480872379583692e-06,t of PM2_5 per MJ,1131124412.26765,MJ,118062142.83828,m^2,9.580754550737314,2024
1259175,Thakurgaon District,buildings,residential-onsite-fuel-usage,BGD,,gadm-aggregation,"{'longitude': 88.31190151002988, 'latitude': 25.935965538000147, 'srid': 4326}",pm2_5,1667.2144600000001,1.4749663120024115e-06,t of PM2_5 per MJ,1130340704.3490999,MJ,117950169.97355999,m^2,9.58320538751644,2024
1259155,Satkhira District,buildings,residential-onsite-fuel-usage,BGD,,gadm-aggregation,"{'longitude': 89.13842167558002, 'latitude': 22.474517822000166, 'srid': 4326}",pm2_5,1597.44697,1.4757288536671338e-06,t of PM2_5 per MJ,1082480000.32689,MJ,112999748.11452,m^2,9.579490382844453,2024
1259169,Gaibandha District,buildings,residential-onsite-fuel-usage,BGD,,gadm-aggregation,"{'longitude': 89.53627013033854, 'latitude': 25.343470574000175, 'srid': 4326}",pm2_5,1504.1623,1.4538903926670093e-06,t of PM2_5 per MJ,1034577508.4466802,MJ,107874363.90863998,m^2,9.590578066563392,2024
1259178,Sunamganj District,buildings,residential-onsite-fuel-usage,BGD,,gadm-aggregation,"{'longitude': 91.39011405099932, 'latitude': 24.886467933500057, 'srid': 4326}",pm2_5,1462.26382,1.476909720597102e-06,t of PM2_5 per MJ,990083415.1249402,MJ,103366036.01952,m^2,9.578421048650538,2024
1259149,Jhenaidah District,buildings,residential-onsite-fuel-usage,BGD,,gadm-aggregation,"{'longitude': 89.12274824082604, 'latitude': 23.495005608000042, 'srid': 4326}",pm2_5,1436.33033,1.458314391297139e-06,t of PM2_5 per MJ,984925019.3042499,MJ,102763134.69828002,m^2,9.584419764890015,2024
1259172,Nilphamari District,buildings,residential-onsite-fuel-usage,BGD,,gadm-aggregation,"{'longitude': 88.92202762058304, 'latitude': 26.02052783950012, 'srid': 4326}",pm2_5,1399.52553,1.4635604944177468e-06,t of PM2_5 per MJ,956247135.2144401,MJ,99741270.41952,m^2,9.587276472340745,2024
1259128,Feni District,buildings,residential-onsite-fuel-usage,BGD,,gadm-aggregation,"{'longitude': 91.40197917453943, 'latitude': 23.020900726500116, 'srid': 4326}",pm2_5,1389.66029,1.4803966260025046e-06,t of PM2_5 per MJ,938708090.51523,MJ,98093126.48016,m^2,9.569560316798446,2024
1259146,Bagerhat District,buildings,residential-onsite-fuel-usage,BGD,,gadm-aggregation,"{'longitude': 89.74824060802486, 'latitude': 22.40804317650011, 'srid': 4326}",pm2_5,1385.50389,1.4538896012992373e-06,t of PM2_5 per MJ,952963614.8177098,MJ,99364564.67087997,m^2,9.590578069497523,2024
1259124,Chandpur District,buildings,residential-onsite-fuel-usage,BGD,,gadm-aggregation,"{'longitude': 90.80768149557358, 'latitude': 23.244725227500027, 'srid': 4326}",pm2_5,1311.19333,1.4538958976513844e-06,t of PM2_5 per MJ,901848153.0335801,MJ,94034806.22027999,m^2,9.590578098507137,2024
1259140,Munshiganj District,buildings,residential-onsite-fuel-usage,BGD,,gadm-aggregation,"{'longitude': 90.43809069191028, 'latitude': 23.52661705000017, 'srid': 4326}",pm2_5,1302.3971799999997,1.4538800244380384e-06,t of PM2_5 per MJ,895807878.30372,MJ,93404993.51208001,m^2,9.590578026086643,2024
1259132,Rangamati District,buildings,residential-onsite-fuel-usage,BGD,,gadm-aggregation,"{'longitude': 92.22334150772771, 'latitude': 22.796092987000065, 'srid': 4326}",pm2_5,1292.49852,1.4561853237087577e-06,t of PM2_5 per MJ,887592052.30014,MJ,92612922.03252,m^2,9.583889945600378,2024
1259139,Manikganj District,buildings,residential-onsite-fuel-usage,BGD,,gadm-aggregation,"{'longitude': 89.94155818474471, 'latitude': 23.835499764000076, 'srid': 4326}",pm2_5,1225.52285,1.4538804731114155e-06,t of PM2_5 per MJ,842932326.73886,MJ,87891712.06187999,m^2,9.590578075727949,2024
1259161,Joypurhat District,buildings,residential-onsite-fuel-usage,BGD,,gadm-aggregation,"{'longitude': 89.0908291614299, 'latitude': 25.063224792500076, 'srid': 4326}",pm2_5,1171.48201,1.4190315434807501e-06,t of PM2_5 per MJ,825550365.9393401,MJ,86118639.05003999,m^2,9.586198470457097,2024
1016118,Dhaka District,buildings,non-residential-onsite-fuel-usage,BGD,,gadm-aggregation,"{'longitude': 90.35663986409752, 'latitude': 23.783225060000092, 'srid': 4326}",pm2_5,1144.134,1.4505493251545465e-06,t of PM2_5 per MJ,788759113.6399999,MJ,55612721.40000001,m^2,14.183069876526483,2024
1259120,Patuakhali District,buildings,residential-onsite-fuel-usage,BGD,,gadm-aggregation,"{'longitude': 90.4976667462399, 'latitude': 22.258686811500066, 'srid': 4326}",pm2_5,1115.27457,1.4440957164574753e-06,t of PM2_5 per MJ,772299617.8784399,MJ,80526909.918,m^2,9.590578089546305,2024
1259173,Panchagarh District,buildings,residential-onsite-fuel-usage,BGD,,gadm-aggregation,"{'longitude': 88.5463624184419, 'latitude': 26.320216179000028, 'srid': 4326}",pm2_5,1095.5405099999998,1.514170454031991e-06,t of PM2_5 per MJ,723525219.42477,MJ,75587040.19728002,m^2,9.572080313455716,2024
1259153,Meherpur District,buildings,residential-onsite-fuel-usage,BGD,,gadm-aggregation,"{'longitude': 88.70081641387279, 'latitude': 23.78840064950009, 'srid': 4326}",pm2_5,1046.5617599999998,1.4422331874223814e-06,t of PM2_5 per MJ,725653638.4871701,MJ,75742164.01692,m^2,9.580577052499672,2024
