id,name,country,alternateNames,year,month,sector,gas,emissionsQuantity
ghs-fua_2558,"Alamdanga Urban Area, BGD",BGD,['Alamdanga'],2024,8,agriculture,co2e_20yr,6731.47808211289
ghs-fua_2558,"Alamdanga Urban Area, BGD",BGD,['Alamdanga'],2024,8,buildings,co2e_20yr,1106.8030617364843
ghs-fua_2558,"Alamdanga Urban Area, BGD",BGD,['Alamdanga'],2024,8,fluorinated-gases,co2e_20yr,84.0699818863748
ghs-fua_2558,"Alamdanga Urban Area, BGD",BGD,['Alamdanga'],2024,8,forestry-and-land-use,co2e_20yr,3.075844544624538e-07
ghs-fua_2558,"Alamdanga Urban Area, BGD",BGD,['Alamdanga'],2024,8,fossil-fuel-operations,co2e_20yr,0.904557118627001
ghs-fua_2558,"Alamdanga Urban Area, BGD",BGD,['Alamdanga'],2024,8,manufacturing,co2e_20yr,492.44185973427244
ghs-fua_2558,"Alamdanga Urban Area, BGD",BGD,['Alamdanga'],2024,8,mineral-extraction,co2e_20yr,0.01556760464220512
ghs-fua_2558,"Alamdanga Urban Area, BGD",BGD,['Alamdanga'],2024,8,power,co2e_20yr,255.17548223205375
ghs-fua_2558,"Alamdanga Urban Area, BGD",BGD,['Alamdanga'],2024,8,transportation,co2e_20yr,681.7393227169331
ghs-fua_2558,"Alamdanga Urban Area, BGD",BGD,['Alamdanga'],2024,8,waste,co2e_20yr,1394.3807093987728
ghs-fua_2558,"Alamdanga Urban Area, BGD",BGD,['Alamdanga'],2024,9,agriculture,co2e_20yr,6621.071860796193
ghs-fua_2558,"Alamdanga Urban Area, BGD",BGD,['Alamdanga'],2024,9,buildings,co2e_20yr,1071.0943417310016
ghs-fua_2558,"Alamdanga Urban Area, BGD",BGD,['Alamdanga'],2024,9,fluorinated-gases,co2e_20yr,84.06998188637472
ghs-fua_2558,"Alamdanga Urban Area, BGD",BGD,['Alamdanga'],2024,9,forestry-and-land-use,co2e_20yr,3.0758445389902765e-07
ghs-fua_2558,"Alamdanga Urban Area, BGD",BGD,['Alamdanga'],2024,9,fossil-fuel-operations,co2e_20yr,0.8992815414653005
ghs-fua_2558,"Alamdanga Urban Area, BGD",BGD,['Alamdanga'],2024,9,manufacturing,co2e_20yr,488.00255435155066
ghs-fua_2558,"Alamdanga Urban Area, BGD",BGD,['Alamdanga'],2024,9,mineral-extraction,co2e_20yr,0.01620818039101551
ghs-fua_2558,"Alamdanga Urban Area, BGD",BGD,['Alamdanga'],2024,9,power,co2e_20yr,251.0387382491179
ghs-fua_2558,"Alamdanga Urban Area, BGD",BGD,['Alamdanga'],2024,9,transportation,co2e_20yr,657.1583862543607
ghs-fua_2558,"Alamdanga Urban Area, BGD",BGD,['Alamdanga'],2024,9,waste,co2e_20yr,1360.988479895594
ghs-fua_2558,"Alamdanga Urban Area, BGD",BGD,['Alamdanga'],2024,10,agriculture,co2e_20yr,5537.735092482885
ghs-fua_2558,"Alamdanga Urban Area, BGD",BGD,['Alamdanga'],2024,10,buildings,co2e_20yr,1106.8030617364843
ghs-fua_2558,"Alamdanga Urban Area, BGD",BGD,['Alamdanga'],2024,10,fluorinated-gases,co2e_20yr,84.06998188637479
ghs-fua_2558,"Alamdanga Urban Area, BGD",BGD,['Alamdanga'],2024,10,forestry-and-land-use,co2e_20yr,1.430035301506567e-07
ghs-fua_2558,"Alamdanga Urban Area, BGD",BGD,['Alamdanga'],2024,10,fossil-fuel-operations,co2e_20yr,0.9224895066799569
ghs-fua_2558,"Alamdanga Urban Area, BGD",BGD,['Alamdanga'],2024,10,manufacturing,co2e_20yr,500.13993521643465
