full_name,id,level,level_0_id,level_1_id,level_2_id,name,year,month,sector,gas,emissionsQuantity
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,10,manufacturing,ch4,553.291714004002
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,10,mineral-extraction,ch4,0
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,10,power,ch4,151.2986317803
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,10,transportation,ch4,68.70077251822144
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,10,waste,ch4,80555.81998198744
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,11,agriculture,ch4,324000.97446485155
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,11,buildings,ch4,9978.030375212858
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,11,fluorinated-gases,ch4,0
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,11,forestry-and-land-use,ch4,273.0550582
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,11,fossil-fuel-operations,ch4,21338.41611258253
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,11,manufacturing,ch4,545.0574729884536
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,11,mineral-extraction,ch4,0
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,11,power,ch4,292.82707523295005
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,11,transportation,ch4,66.75599489504162
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,11,waste,ch4,67271.22613217199
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,12,agriculture,ch4,199065.18537198554
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,12,buildings,ch4,11865.96731521286
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,12,fluorinated-gases,ch4,0
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,12,forestry-and-land-use,ch4,262.2584457
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,12,fossil-fuel-operations,ch4,21095.076566703152
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,12,manufacturing,ch4,546.0939762592656
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,12,mineral-extraction,ch4,0
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,12,power,ch4,266.0362300242
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,12,transportation,ch4,70.0909195426909
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,12,waste,ch4,68864.11754949162
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,4,manufacturing,ch4,0
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,4,mineral-extraction,ch4,0
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,4,waste,ch4,10.76357683333333
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,4,manufacturing,ch4,0
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,4,manufacturing,ch4,0
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,4,fossil-fuel-operations,ch4,817.7055702917771
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,4,mineral-extraction,ch4,0
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,4,agriculture,ch4,94.16279000000003
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,4,agriculture,ch4,0
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,4,transportation,ch4,0.06910668493279788
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,4,transportation,ch4,1.4341655921824081
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,4,waste,ch4,55454.92695501436
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,4,power,ch4,0
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,4,agriculture,ch4,68814.75954650714
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,4,agriculture,ch4,65919.24358333334
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,4,agriculture,ch4,19769.99999999999
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,4,fluorinated-gases,ch4,0
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,4,manufacturing,ch4,0
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,4,forestry-and-land-use,ch4,0
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,4,forestry-and-land-use,ch4,0
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,4,forestry-and-land-use,ch4,0
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,4,manufacturing,ch4,0
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,4,power,ch4,0
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,4,waste,ch4,0
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,4,waste,ch4,860.1121288202028
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,4,transportation,ch4,0.9584341899407336
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,4,transportation,ch4,19.995243591554075
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,4,manufacturing,ch4,0
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,4,mineral-extraction,ch4,0
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,4,manufacturing,ch4,0
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,4,agriculture,ch4,0
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,4,agriculture,ch4,1517.7494166666668
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,4,agriculture,ch4,10996.076189645946
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,4,agriculture,ch4,1770.6583333333328
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,4,buildings,ch4,272.3870000000001
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,4,fossil-fuel-operations,ch4,15715.175738837515
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,4,fossil-fuel-operations,ch4,1.9176853183333333
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,4,fossil-fuel-operations,ch4,4355.795317571147
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,4,agriculture,ch4,0
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,4,manufacturing,ch4,0
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,4,power,ch4,229.78639693800002
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,4,fossil-fuel-operations,ch4,0
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,4,manufacturing,ch4,521.2043121855739
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,4,manufacturing,ch4,0
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,4,mineral-extraction,ch4,0
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,4,buildings,ch4,0.11373521285850101
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,4,transportation,ch4,0.0668804928179916
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,4,manufacturing,ch4,0
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,4,manufacturing,ch4,0
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,4,transportation,ch4,6.0790107383934
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,4,buildings,ch4,9611.6495
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,4,agriculture,ch4,87400.55437834309
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,4,transportation,ch4,54.603529738817095
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,4,mineral-extraction,ch4,0
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,4,mineral-extraction,ch4,0
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,4,forestry-and-land-use,ch4,0
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,4,fossil-fuel-operations,ch4,83.29281308655236
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,4,waste,ch4,19570.003869075274
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,4,agriculture,ch4,0
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,4,manufacturing,ch4,32.1198925224167
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,4,forestry-and-land-use,ch4,115.17315014500001
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,4,forestry-and-land-use,ch4,0
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,4,manufacturing,ch4,0
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,4,transportation,ch4,0
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,5,manufacturing,ch4,0
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,5,mineral-extraction,ch4,0
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,5,waste,ch4,10.76357683333333
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,5,manufacturing,ch4,0
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,5,manufacturing,ch4,0
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,5,fossil-fuel-operations,ch4,817.7055702917771
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,5,mineral-extraction,ch4,0
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,5,agriculture,ch4,9.65194
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,5,agriculture,ch4,0
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,5,transportation,ch4,0.0711180304956089
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,5,transportation,ch4,0.7416772087344361
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,5,waste,ch4,59804.74671695251
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,5,power,ch4,0
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,5,agriculture,ch4,68814.75954650721
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,5,agriculture,ch4,65919.24358333333
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,5,agriculture,ch4,19769.99999999999
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,5,fluorinated-gases,ch4,0
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,5,manufacturing,ch4,0
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,5,forestry-and-land-use,ch4,0
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,5,forestry-and-land-use,ch4,0
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,5,forestry-and-land-use,ch4,0
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,5,manufacturing,ch4,0
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,5,power,ch4,0
