is_source,org,file,ext,author
True,HDX,BGD CH4 City.csv,.csv,
True,HDX,BGD CH4 Source.csv,.csv,
True,HDX,BGD CO2 20y Admin 01.csv,.csv,
True,HDX,BGD CO2 20y City.csv,.csv,
True,HDX,BGD CO2 20y Source.csv,.csv,
True,HDX,BGD PM25 Source.csv,.csv,
True,HDX,BGD Rainfall Subnat 5ytd.csv,.csv,
True,HDX,BGD Rainfall Subnat Full.csv,.csv,
True,HDX,Climate Change BGD.csv,.csv,
True,HDX,Environment BGD.csv,.csv,
True,MoEFCC,MoEFCC_BCCSAP.pdf,.pdf,IBM
True,MoEFCC,MoEFCC_Bangladesh_Climate_Change_and_Gender_Action_Plan.pdf,.pdf,
True,MoEFCC,MoEFCC_Bangladesh_National_Air_Quality_Management_Plan_2024_2030.pdf,.pdf,
True,MoEFCC,MoEFCC_Bangladesh_National_Conservation_Strategy_2021_2036.pdf,.pdf,
True,MoEFCC,MoEFCC_Country_Investment_Plan.pdf,.pdf,
True,Other,2021_Henry_Forest_Ecosys.pdf,.pdf,"Matieu Henry, Zaheer Iqbal, Kristofer Johnson, Mariam Akhter, Liam Costello, Charles Scott, Rashed Jalal, Md. Akhter Hossain, Nikhil Chakma, Olaf Kuegler, Hossain Mahmood, Rajib Mahamud, Mohammad Raqibul Hasan Siddique, Khaled Misbahuzzaman, Mohammad Main Uddin, Mohammed Al Amin, Farid Uddin Ahmed, Gael Sola, Md. Baktiar Siddiqui, Luca Birigazzi, Mahmudur Rahman, Ilias Animon, Saimunnahar Ritu, Laskar Muqsudur Rahman, Aminul Islam, Heather Hayden, Frida Sidik, Mondal Falgoonee Kumar, Rakibul Hassan Mukul, Hossain Nishad, Ariful Hoque Belal, Asif Reza Anik, Abdul Khaleque, Md. Shaheduzzaman, Syed Shahadat Hossain, Tariq Aziz, Md. Tauhidor Rahaman, Ruhul Mohaiman, Patrick Meyer, Purnata Chakma, A. Rashid, Sourav Das, Shrabanti Hira, Mohammed Jashimuddin, Mohammad Mahfuzur Rahman, Karl Wurster, Sarder Nasir Uddin, Abul Kalam Azad, S. Islam, Laurent Saint-André"
True,Other,EnergyData_Cyclonic_Storm_Landfalls_File_1.xlsx,.xlsx,David
True,Other,EnergyData_Dhaka_Operations_Report.pdf,.pdf,Fabian Enßle | GAF AG
True,Other,FAO_3148.pdf,.pdf,"Chakma, Nikhil (FAOBD)"
True,Other,FAO_384b.pdf,.pdf,User
True,Other,FAO_6086-f.pdf,.pdf,
True,Other,FAO_6087.pdf,.pdf,
True,Other,FAO_9001.pdf,.pdf,Falgoonee Kumar
