Station_Name,Year,Month,Type,Wind_Speed,Direction
Ambagan (Ctg),2017,8,Maximum,10,250
Ambagan (Ctg),2017,8,Minimum,2,180
Ambagan (Ctg),2017,9,Maximum,10,230
Ambagan (Ctg),2017,9,Minimum,2,130
Ambagan (Ctg),2017,10,Maximum,12,180
Ambagan (Ctg),2017,10,Minimum,2,90
Ambagan (Ctg),2017,11,Maximum,7,290
Ambagan (Ctg),2017,11,Minimum,2,90
Ambagan (Ctg),2017,12,Maximum,8,310
Ambagan (Ctg),2017,12,Minimum,2,50
Ambagan (Ctg),2018,1,Maximum,7,290
Ambagan (Ctg),2018,1,Minimum,2,360
Ambagan (Ctg),2018,2,Maximum,12,310
Ambagan (Ctg),2018,2,Minimum,2,90
Ambagan (Ctg),2018,3,Maximum,12,250
Ambagan (Ctg),2018,3,Minimum,2,90
Ambagan (Ctg),2018,4,Maximum,13,310
Ambagan (Ctg),2018,4,Minimum,2,50
Ambagan (Ctg),2018,5,Maximum,12,100
Ambagan (Ctg),2018,5,Minimum,2,180
Ambagan (Ctg),2018,6,Maximum,18,230
Ambagan (Ctg),2018,6,Minimum,2,90
Ambagan (Ctg),2018,7,Maximum,13,230
Ambagan (Ctg),2018,7,Minimum,2,140
Ambagan (Ctg),2018,8,Maximum,14,150
Ambagan (Ctg),2018,8,Minimum,1,100
Ambagan (Ctg),2018,9,Maximum,12,150
Ambagan (Ctg),2018,9,Minimum,2,130
Ambagan (Ctg),2018,10,Maximum,6,270
Ambagan (Ctg),2018,10,Minimum,2,70
Ambagan (Ctg),2018,11,Maximum,6,360
Ambagan (Ctg),2018,11,Minimum,1,130
Ambagan (Ctg),2018,12,Maximum,6,30
Ambagan (Ctg),2018,12,Minimum,2,360
Ambagan (Ctg),2019,1,Maximum,4,310
Ambagan (Ctg),2019,1,Minimum,2,30
Ambagan (Ctg),2019,2,Maximum,13,310
Ambagan (Ctg),2019,2,Minimum,1,230
Ambagan (Ctg),2019,3,Maximum,10,230
Ambagan (Ctg),2019,3,Minimum,1,180
Ambagan (Ctg),2019,4,Maximum,7.5,300
Ambagan (Ctg),2019,4,Minimum,1,360
Ambagan (Ctg),2019,5,Maximum,11,180
Ambagan (Ctg),2019,5,Minimum,1,180
Ambagan (Ctg),2019,6,Maximum,5,250
Ambagan (Ctg),2019,6,Minimum,1,90
Ambagan (Ctg),2019,7,Maximum,7.5,200
Ambagan (Ctg),2019,7,Minimum,2,130
Ambagan (Ctg),2019,8,Maximum,5.5,230
Ambagan (Ctg),2019,8,Minimum,2,130
Ambagan (Ctg),2019,9,Maximum,5,130
Ambagan (Ctg),2019,9,Minimum,1,100
Ambagan (Ctg),2019,10,Maximum,4,270
Ambagan (Ctg),2019,10,Minimum,2,120
Ambagan (Ctg),2019,11,Maximum,6,180
Ambagan (Ctg),2019,11,Minimum,1,360
