Station_Name,Year,Month,Day,Sunshine_Hours
Ambagan (Ctg),2008,5,26,4.4
Ambagan (Ctg),2008,5,27,2.6
Ambagan (Ctg),2008,5,29,10
Ambagan (Ctg),2008,5,30,1.6
Ambagan (Ctg),2008,5,31,8.1
Ambagan (Ctg),2008,6,1,11.2
Ambagan (Ctg),2008,6,2,7.7
Ambagan (Ctg),2008,6,3,6.6
Ambagan (Ctg),2008,6,4,6.7
Ambagan (Ctg),2008,6,5,0
Ambagan (Ctg),2008,6,6,4.2
Ambagan (Ctg),2008,6,7,2.8
Ambagan (Ctg),2008,6,8,5.3
Ambagan (Ctg),2008,6,9,0.6
Ambagan (Ctg),2008,6,10,2.3
Ambagan (Ctg),2008,6,11,4.1
Ambagan (Ctg),2008,6,12,2
Ambagan (Ctg),2008,6,13,7.3
Ambagan (Ctg),2008,6,14,5.8
Ambagan (Ctg),2008,6,15,7.7
Ambagan (Ctg),2008,6,16,0
Ambagan (Ctg),2008,6,17,0
Ambagan (Ctg),2008,6,18,0
Ambagan (Ctg),2008,6,19,0.5
Ambagan (Ctg),2008,6,20,0.1
Ambagan (Ctg),2008,6,21,2
Ambagan (Ctg),2008,6,22,1.6
Ambagan (Ctg),2008,6,23,6.1
Ambagan (Ctg),2008,6,24,10.1
Ambagan (Ctg),2008,6,25,9.9
Ambagan (Ctg),2008,6,26,2.3
Ambagan (Ctg),2008,6,27,6.9
Ambagan (Ctg),2008,6,28,0
Ambagan (Ctg),2008,6,29,0
Ambagan (Ctg),2008,6,30,0
Ambagan (Ctg),2008,7,1,0
Ambagan (Ctg),2008,7,2,0.2
Ambagan (Ctg),2008,7,3,0
Ambagan (Ctg),2008,7,4,0.7
Ambagan (Ctg),2008,7,5,0
Ambagan (Ctg),2008,7,6,0
Ambagan (Ctg),2008,7,7,2
Ambagan (Ctg),2008,7,8,5.6
Ambagan (Ctg),2008,7,9,9.1
Ambagan (Ctg),2008,7,10,6
Ambagan (Ctg),2008,7,11,1.1
Ambagan (Ctg),2008,7,12,0
Ambagan (Ctg),2008,7,13,0
Ambagan (Ctg),2008,7,14,0
Ambagan (Ctg),2008,7,15,0.5
Ambagan (Ctg),2008,7,16,1.5
Ambagan (Ctg),2008,7,17,1.7
Ambagan (Ctg),2008,7,18,2.8
Ambagan (Ctg),2008,7,19,0.6
Ambagan (Ctg),2008,7,20,3.3
Ambagan (Ctg),2008,7,21,10.4
Ambagan (Ctg),2008,7,22,9.7
Ambagan (Ctg),2008,7,23,11.6
Ambagan (Ctg),2008,7,24,9.9
Ambagan (Ctg),2008,7,25,5.7
Ambagan (Ctg),2008,7,26,8.2
Ambagan (Ctg),2008,7,27,4.1
Ambagan (Ctg),2008,7,28,8.4
Ambagan (Ctg),2008,7,29,8.6
Ambagan (Ctg),2008,7,30,8.7
Ambagan (Ctg),2008,7,31,5.7
Ambagan (Ctg),2008,8,1,9.7
Ambagan (Ctg),2008,8,2,6.9
Ambagan (Ctg),2008,8,3,1.6
Ambagan (Ctg),2008,8,4,6.8
Ambagan (Ctg),2008,8,5,6.2
Ambagan (Ctg),2008,8,6,6.6
Ambagan (Ctg),2008,8,7,10.6
Ambagan (Ctg),2008,8,8,6.3
Ambagan (Ctg),2008,8,9,5.1
Ambagan (Ctg),2008,8,10,2.2
Ambagan (Ctg),2008,8,11,0
Ambagan (Ctg),2008,8,12,1.9
Ambagan (Ctg),2008,8,13,0
Ambagan (Ctg),2008,8,14,7.1
Ambagan (Ctg),2008,8,15,2.8
Ambagan (Ctg),2008,8,16,6.1
Ambagan (Ctg),2008,8,17,0
Ambagan (Ctg),2008,8,18,0
Ambagan (Ctg),2008,8,19,3.5
Ambagan (Ctg),2008,8,20,9
Ambagan (Ctg),2008,8,21,9.9
Ambagan (Ctg),2008,8,22,6.7
Ambagan (Ctg),2008,8,23,9.7
Ambagan (Ctg),2008,8,24,7
Ambagan (Ctg),2008,8,25,1.6
Ambagan (Ctg),2008,8,26,7.8
Ambagan (Ctg),2008,8,27,1.5
Ambagan (Ctg),2008,8,28,0
Ambagan (Ctg),2008,8,29,0.9
Ambagan (Ctg),2008,8,30,0
Ambagan (Ctg),2008,8,31,3.8
Ambagan (Ctg),2008,9,1,9.1
Ambagan (Ctg),2008,9,2,5.4
Ambagan (Ctg),2008,9,3,1.4
Ambagan (Ctg),2008,9,4,0
Ambagan (Ctg),2008,9,5,0
Ambagan (Ctg),2008,9,6,8
Ambagan (Ctg),2008,9,7,9.5
Ambagan (Ctg),2008,9,8,6.7
Ambagan (Ctg),2008,9,9,7
Ambagan (Ctg),2008,9,10,8.6
Ambagan (Ctg),2008,9,11,3.5
Ambagan (Ctg),2008,9,12,10.3
Ambagan (Ctg),2008,9,13,4.3
Ambagan (Ctg),2008,9,14,5.5
Ambagan (Ctg),2008,9,15,7.6
Ambagan (Ctg),2008,9,16,3.1
Ambagan (Ctg),2008,9,17,4.9
Ambagan (Ctg),2008,9,18,10.2
Ambagan (Ctg),2008,9,19,10.3
Ambagan (Ctg),2008,9,20,5.8
Ambagan (Ctg),2008,9,21,3.1
Ambagan (Ctg),2008,9,22,4.2
Ambagan (Ctg),2008,9,23,4.8
Ambagan (Ctg),2008,9,24,9.7
Ambagan (Ctg),2008,9,25,8.2
Ambagan (Ctg),2008,9,26,2.3
Ambagan (Ctg),2008,9,27,0.2
Ambagan (Ctg),2008,9,28,0.3
Ambagan (Ctg),2008,9,29,4.7
Ambagan (Ctg),2008,9,30,6.6
Ambagan (Ctg),2008,10,1,8.9
Ambagan (Ctg),2008,10,2,1.3
Ambagan (Ctg),2008,10,3,8.9
Ambagan (Ctg),2008,10,4,8.3
Ambagan (Ctg),2008,10,5,4.7
Ambagan (Ctg),2008,10,6,2.9
Ambagan (Ctg),2008,10,7,5.9
Ambagan (Ctg),2008,10,8,8.9
Ambagan (Ctg),2008,10,9,9.6
Ambagan (Ctg),2008,10,10,4
Ambagan (Ctg),2008,10,11,9
Ambagan (Ctg),2008,10,12,8.5
Ambagan (Ctg),2008,10,13,7.4
Ambagan (Ctg),2008,10,14,7.3
Ambagan (Ctg),2008,10,15,9.3
Ambagan (Ctg),2008,10,16,10.5
Ambagan (Ctg),2008,10,17,10.5
Ambagan (Ctg),2008,10,18,10.1
Ambagan (Ctg),2008,10,19,10.4
Ambagan (Ctg),2008,10,20,8.5
Ambagan (Ctg),2008,10,21,6.9
Ambagan (Ctg),2008,10,22,7.7
Ambagan (Ctg),2008,10,23,1.1
Ambagan (Ctg),2008,10,24,2.4
Ambagan (Ctg),2008,10,25,0
Ambagan (Ctg),2008,10,26,0.1
Ambagan (Ctg),2008,10,27,1.6
Ambagan (Ctg),2008,10,28,9.4
Ambagan (Ctg),2008,10,29,10.2
Ambagan (Ctg),2008,10,30,10.1
Ambagan (Ctg),2008,10,31,9.9
Ambagan (Ctg),2008,11,1,9.7
Ambagan (Ctg),2008,11,2,8.6
Ambagan (Ctg),2008,11,3,10.2
Ambagan (Ctg),2008,11,4,0.1
Ambagan (Ctg),2008,11,5,0
Ambagan (Ctg),2008,11,6,9
Ambagan (Ctg),2008,11,7,10
Ambagan (Ctg),2008,11,8,9.9
Ambagan (Ctg),2008,11,9,9.8
Ambagan (Ctg),2008,11,10,10.1
Ambagan (Ctg),2008,11,11,10.2
