Station_Name,Year,Month,Rainfall
Ambagan (Ctg),2011,11,0
Ambagan (Ctg),2011,12,0
Ambagan (Ctg),2012,1,0
Ambagan (Ctg),2012,2,0
Ambagan (Ctg),2012,3,31
Ambagan (Ctg),2012,4,231
Ambagan (Ctg),2012,5,114
Ambagan (Ctg),2012,6,1268
Ambagan (Ctg),2012,7,662
Ambagan (Ctg),2012,8,300
Ambagan (Ctg),2012,9,221
Ambagan (Ctg),2012,10,445
Ambagan (Ctg),2012,11,3
Ambagan (Ctg),2012,12,0
Ambagan (Ctg),2013,1,0
Ambagan (Ctg),2013,2,1
Ambagan (Ctg),2013,3,5
Ambagan (Ctg),2013,4,58
Ambagan (Ctg),2013,5,469
Ambagan (Ctg),2013,6,504
Ambagan (Ctg),2013,7,391
Ambagan (Ctg),2013,8,243
Ambagan (Ctg),2013,9,305
Ambagan (Ctg),2013,10,403
Ambagan (Ctg),2013,11,0
Ambagan (Ctg),2013,12,0
Ambagan (Ctg),2014,1,0
Ambagan (Ctg),2014,2,40
Ambagan (Ctg),2014,3,32
Ambagan (Ctg),2014,4,30
Ambagan (Ctg),2014,5,368
Ambagan (Ctg),2014,6,1235
Ambagan (Ctg),2014,7,389
Ambagan (Ctg),2014,8,599
Ambagan (Ctg),2014,9,355
Ambagan (Ctg),2014,10,107
Ambagan (Ctg),2014,11,1
Ambagan (Ctg),2014,12,0
Ambagan (Ctg),2015,1,4
Ambagan (Ctg),2015,2,0
Ambagan (Ctg),2015,3,18
Ambagan (Ctg),2015,4,292
Ambagan (Ctg),2015,5,110
Ambagan (Ctg),2015,6,699
Ambagan (Ctg),2015,7,1466
Ambagan (Ctg),2015,8,586
Ambagan (Ctg),2015,9,390
Ambagan (Ctg),2015,10,349
Ambagan (Ctg),2015,11,4
Ambagan (Ctg),2015,12,9
Ambagan (Ctg),2016,1,2
Ambagan (Ctg),2016,2,17
Ambagan (Ctg),2016,3,65
Ambagan (Ctg),2016,4,36
Ambagan (Ctg),2016,5,274
Ambagan (Ctg),2016,6,268
Ambagan (Ctg),2016,7,583
Ambagan (Ctg),2016,8,390
Ambagan (Ctg),2016,9,386
Ambagan (Ctg),2016,10,157
Ambagan (Ctg),2016,11,96
Ambagan (Ctg),2016,12,0
Ambagan (Ctg),2017,1,0
Ambagan (Ctg),2017,2,0
Ambagan (Ctg),2017,3,120
Ambagan (Ctg),2017,4,419
Ambagan (Ctg),2017,5,333
Ambagan (Ctg),2017,6,753
Ambagan (Ctg),2017,7,1036
Ambagan (Ctg),2017,8,432
Ambagan (Ctg),2017,9,593
Ambagan (Ctg),2017,10,210
Ambagan (Ctg),2017,11,0
Ambagan (Ctg),2017,12,29
Ambagan (Ctg),2018,1,13
Ambagan (Ctg),2018,2,0
Ambagan (Ctg),2018,3,12
Ambagan (Ctg),2018,4,115
Ambagan (Ctg),2018,5,348
Ambagan (Ctg),2018,6,791
Ambagan (Ctg),2018,7,751
Ambagan (Ctg),2018,8,330
Ambagan (Ctg),2018,9,152
Ambagan (Ctg),2018,10,496
Ambagan (Ctg),2018,11,2
Ambagan (Ctg),2018,12,22
Ambagan (Ctg),2019,1,0
Ambagan (Ctg),2019,2,40
Ambagan (Ctg),2019,3,12
Ambagan (Ctg),2019,4,109
Ambagan (Ctg),2019,5,205
Ambagan (Ctg),2019,6,137
Ambagan (Ctg),2019,7,1118
Ambagan (Ctg),2019,8,530
Ambagan (Ctg),2019,9,402
Ambagan (Ctg),2019,10,206
Ambagan (Ctg),2019,11,103
Ambagan (Ctg),2019,12,8
Ambagan (Ctg),2020,1,51
Ambagan (Ctg),2020,2,4
Ambagan (Ctg),2020,3,130
Ambagan (Ctg),2020,4,137
Ambagan (Ctg),2020,5,245
Ambagan (Ctg),2020,6,420
Ambagan (Ctg),2020,7,548
Ambagan (Ctg),2020,8,480
Ambagan (Ctg),2020,9,340
Ambagan (Ctg),2020,10,216
Ambagan (Ctg),2020,11,99
Ambagan (Ctg),2020,12,0
Ambagan (Ctg),2021,1,0
Ambagan (Ctg),2021,2,0
Ambagan (Ctg),2021,3,0
Ambagan (Ctg),2021,4,19
Ambagan (Ctg),2021,5,187
Ambagan (Ctg),2021,6,743
Ambagan (Ctg),2021,7,904
Ambagan (Ctg),2021,8,685
Ambagan (Ctg),2021,9,283
Ambagan (Ctg),2021,10,380
Ambagan (Ctg),2021,11,0
Ambagan (Ctg),2021,12,79
Ambagan (Ctg),2022,1,5
Ambagan (Ctg),2022,2,15
Ambagan (Ctg),2022,3,0
Ambagan (Ctg),2022,4,34
Ambagan (Ctg),2022,5,355
Ambagan (Ctg),2022,6,717
Ambagan (Ctg),2022,7,271
Ambagan (Ctg),2022,8,152
Ambagan (Ctg),2022,9,520
Ambagan (Ctg),2022,10,185
Ambagan (Ctg),2022,11,0
Ambagan (Ctg),2022,12,4
Ambagan (Ctg),2023,1,0
Ambagan (Ctg),2023,2,1
Ambagan (Ctg),2023,3,42
Ambagan (Ctg),2023,4,57
Ambagan (Ctg),2023,5,210
Ambagan (Ctg),2023,6,362
Ambagan (Ctg),2023,7,130
Ambagan (Ctg),2023,8,1061
Ambagan (Ctg),2023,9,197
Ambagan (Ctg),2023,10,121
Ambagan (Ctg),2023,11,81
Ambagan (Ctg),2023,12,8
Ambagan (Ctg),2024,1,6
Ambagan (Ctg),2024,2,1
Ambagan (Ctg),2024,3,17
Ambagan (Ctg),2024,4,23
Ambagan (Ctg),2024,5,550
Ambagan (Ctg),2024,6,191
Ambagan (Ctg),2024,7,592
Ambagan (Ctg),2024,8,1094
Ambagan (Ctg),2024,9,361
Ambagan (Ctg),2024,10,79
Ambagan (Ctg),2024,11,1
Ambagan (Ctg),2024,12,1
Aricha,2023,7,66
Aricha,2023,8,158
Aricha,2023,9,157
Aricha,2023,10,217
Aricha,2023,11,19
Aricha,2023,12,43
Badalgachi,2020,12,0
Badalgachi,2021,1,0
Badalgachi,2021,2,0
Badalgachi,2021,3,0
Badalgachi,2021,4,11
Badalgachi,2021,5,259
Badalgachi,2021,6,541
Badalgachi,2021,7,191
Badalgachi,2021,8,370
Badalgachi,2021,9,97
Badalgachi,2021,10,109
Badalgachi,2021,11,0
Badalgachi,2021,12,0
Badalgachi,2023,1,0
Badalgachi,2023,2,0
Badalgachi,2023,3,69
Badalgachi,2023,4,26
Badalgachi,2023,5,109
Badalgachi,2023,6,123
Badalgachi,2023,7,154
Badalgachi,2023,8,418
Badalgachi,2023,9,289
Badalgachi,2023,10,103
Badalgachi,2023,11,0
Badalgachi,2023,12,20
Baghabari,2023,7,115
Baghabari,2023,8,217
Baghabari,2023,9,57
Baghabari,2023,10,195
Baghabari,2023,11,7
Baghabari,2023,12,40
Bandarban,2023,7,416
Bandarban,2023,8,1467
Bandarban,2023,9,421
Bandarban,2023,10,54
Bandarban,2023,11,41
