Size_Name,Start_Year,End_Year,Quantity,Percentage
Large,2018,2019,936967677,76.94
Large,2019,2020,778578224,72.93
Large,2020,2021,836691722,71.24
Medium,2018,2019,141617971,11.63
Medium,2019,2020,164016447,15.36
Medium,2020,2021,185915355,15.83
Micro,2018,2019,306475,0.03
Micro,2019,2020,273652,0.03
Micro,2020,2021,272525,0.02
Small,2018,2019,138976077,11.41
Small,2019,2020,124734026,11.68
Small,2020,2021,151584154,12.91
