Station_Name,Year,Month,Thunderstorm,Lightning
Barisal,2020,4,52,2
Barisal,2020,5,35,3
Barisal,2020,6,44,2
Barisal,2020,7,11,0
Barisal,2020,8,17,2
Barisal,2020,9,31,2
Barisal,2020,10,20,3
Barisal,2020,11,0,0
Barisal,2020,12,0,0
Barisal,2021,1,0,0
Barisal,2021,2,3,0
Barisal,2021,3,1,0
Barisal,2021,4,3,0
Barisal,2021,5,27,3
Barisal,2021,6,31,2
Barisal,2021,7,18,0
Barisal,2021,8,13,0
Barisal,2021,9,20,2
Barisal,2021,10,17,1
Barisal,2021,11,0,0
Barisal,2021,12,0,0
Barisal,2022,1,0,0
Barisal,2022,2,6,0
Barisal,2022,3,0,0
Barisal,2022,4,4,0
Barisal,2022,5,32,2
Barisal,2022,6,31,1
Barisal,2022,7,7,1
Barisal,2022,8,14,1
Barisal,2022,9,15,2
Barisal,2022,10,8,0
Barisal,2022,11,0,0
Barisal,2022,12,0,0
Barisal,2023,1,0,0
Barisal,2023,2,0,0
Barisal,2023,3,28,0
Barisal,2023,4,11,0
Barisal,2023,5,28,1
Barisal,2023,6,26,0
Barisal,2023,7,10,0
Barisal,2023,8,37,1
Barisal,2023,9,34,0
Barisal,2023,10,12,0
Barisal,2023,11,0,0
Barisal,2023,12,0,0
Barisal,2024,1,0,0
Barisal,2024,2,1,1
Barisal,2024,3,8,0
Barisal,2024,4,10,0
Barisal,2024,5,32,2
Barisal,2024,6,17,3
Bhola,2015,1,0,0
Bhola,2015,2,4,0
Bhola,2015,3,3,0
Bhola,2015,4,29,3
Bhola,2015,5,21,1
Bhola,2015,6,39,1
Bhola,2015,7,14,3
Bhola,2015,8,18,3
Bhola,2015,9,19,2
Bhola,2015,10,5,2
Bhola,2015,11,0,0
Bhola,2015,12,0,0
Bhola,2016,1,0,0
Bhola,2016,2,7,0
Bhola,2016,3,11,0
Bhola,2016,4,9,1
Bhola,2016,5,38,2
Bhola,2016,6,28,2
Bhola,2016,7,10,0
Bhola,2016,8,8,0
Bhola,2016,9,9,1
Bhola,2016,10,18,2
Bhola,2016,11,3,0
Bhola,2016,12,0,0
Bhola,2017,1,0,0
Bhola,2017,2,0,0
Bhola,2017,3,10,0
Bhola,2017,4,25,2
Bhola,2017,5,10,1
Bhola,2017,6,32,4
Bhola,2017,7,9,0
Bhola,2017,8,25,0
Bhola,2017,9,10,2
Bhola,2017,10,12,2
Bhola,2017,11,0,0
Bhola,2017,12,0,0
Bhola,2018,1,0,0
Bhola,2018,2,0,0
Bhola,2018,3,11,0
Bhola,2018,4,39,3
Bhola,2018,5,68,2
Bhola,2018,6,32,7
Bhola,2018,7,2,1
Bhola,2018,8,12,0
Bhola,2018,9,9,1
Bhola,2018,10,0,1
Bhola,2018,11,0,0
Bhola,2018,12,0,0
Bhola,2019,1,0,0
Bhola,2019,2,10,0
Bhola,2019,3,10,0
Bhola,2019,4,27,0
Bhola,2019,5,19,4
Bhola,2019,6,19,1
Bhola,2019,7,29,1
Bhola,2019,8,7,3
Bhola,2019,9,24,1
Bhola,2019,10,23,1
Bhola,2019,11,2,0
Bhola,2019,12,0,0
Bhola,2020,1,2,0
Bhola,2020,2,0,0
Bhola,2020,3,4,0
Bhola,2020,4,54,5
Bhola,2020,5,24,2
Bhola,2020,6,31,4
Bhola,2020,7,0,2
Bhola,2020,8,7,3
Bhola,2020,9,16,2
Bhola,2020,10,7,1
Bhola,2020,11,0,0
Bhola,2020,12,0,0
Bhola,2021,1,0,0
Bhola,2021,2,0,0
Bhola,2021,3,0,0
Bhola,2021,4,3,0
Bhola,2021,5,22,3
Bhola,2021,6,32,2
Bhola,2021,7,5,1
Bhola,2021,8,6,3
Bhola,2021,9,9,5
Bhola,2021,10,12,2
Bhola,2021,11,0,0
Bhola,2021,12,0,0
