Station_Name,Year,Month,Measure,Type,Value,Source_Organization,Source_File,Source_Sheet,Block
Dinajpur,2015,4,Temperature,Minimum,20.9,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Dinajpur,2015,5,Temperature,Minimum,23.9,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Dinajpur,2015,6,Temperature,Minimum,26.1,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Dinajpur,2015,7,Temperature,Minimum,26.4,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Dinajpur,2015,8,Temperature,Minimum,26.3,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Dinajpur,2015,9,Temperature,Minimum,25.8,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Dinajpur,2015,10,Temperature,Minimum,22.7,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Dinajpur,2015,11,Temperature,Minimum,17.1,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Dinajpur,2015,12,Temperature,Minimum,11.6,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Dinajpur,2016,1,Temperature,Minimum,10.2,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Dinajpur,2016,2,Temperature,Minimum,13.9,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Dinajpur,2016,3,Temperature,Minimum,18.8,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Dinajpur,2016,4,Temperature,Minimum,22.9,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Dinajpur,2016,5,Temperature,Minimum,23.3,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Dinajpur,2016,6,Temperature,Minimum,26.1,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Dinajpur,2016,7,Temperature,Minimum,26.5,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Dinajpur,2016,8,Temperature,Minimum,26.9,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Dinajpur,2016,9,Temperature,Minimum,25.6,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Dinajpur,2016,10,Temperature,Minimum,23.2,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Dinajpur,2016,11,Temperature,Minimum,16.7,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Dinajpur,2016,12,Temperature,Minimum,13.3,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Rangpur,2011,1,Temperature,Minimum,9.6,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Rangpur,2011,2,Temperature,Minimum,13.9,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Rangpur,2011,3,Temperature,Minimum,18.3,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Rangpur,2011,4,Temperature,Minimum,21.3,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Rangpur,2011,5,Temperature,Minimum,23.1,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Rangpur,2011,6,Temperature,Minimum,25.2,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Rangpur,2011,7,Temperature,Minimum,26,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Rangpur,2011,8,Temperature,Minimum,26,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Rangpur,2011,9,Temperature,Minimum,26.1,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Rangpur,2011,10,Temperature,Minimum,23.8,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Rangpur,2011,11,Temperature,Minimum,17.4,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Rangpur,2011,12,Temperature,Minimum,12.9,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Rangpur,2012,1,Temperature,Minimum,10.9,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Rangpur,2012,2,Temperature,Minimum,12.8,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Rangpur,2012,3,Temperature,Minimum,17.1,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
