District_Name,Fiscal_Year,Fiscal_Start_Year,Fiscal_End_Year,Measure,Acre,Source_Sheet,Block
Gazipur,2019-20,2019,2020,Acquired_Vested_Forest,0,T1.66,B22
Gazipur,2019-20,2019,2020,Unclassed_State_Forest_FD_Acre,0,T1.66,B22
Gazipur,2019-20,2019,2020,Total_Forest_FD_Acre,65173.21,T1.66,B22
Gazipur,2019-20,2019,2020,Unclassed_State_Forest_Admin_Acre,0,T1.66,B22
Gazipur,2019-20,2019,2020,Total_Forest_Land,65173.21,T1.66,B22
Gazipur,2020-21,2020,2021,Reserved_Forest_Section_20_Acre,44189.9,T1.66,B22
Gazipur,2020-21,2020,2021,Reserved_Forest_Section_4_6_Acre,20983.31,T1.66,B22
Gazipur,2020-21,2020,2021,Protected_Area,0,T1.66,B22
Gazipur,2020-21,2020,2021,Acquired_Vested_Forest,0,T1.66,B22
Gazipur,2020-21,2020,2021,Unclassed_State_Forest_FD_Acre,0,T1.66,B22
Gazipur,2020-21,2020,2021,Total_Forest_FD_Acre,65173.21,T1.66,B22
Gazipur,2020-21,2020,2021,Unclassed_State_Forest_Admin_Acre,0,T1.66,B22
Gazipur,2020-21,2020,2021,Total_Forest_Land,65173.21,T1.66,B22
Gazipur,2021-22,2021,2022,Reserved_Forest_Section_20_Acre,44189.9,T1.66,B22
Gazipur,2021-22,2021,2022,Reserved_Forest_Section_4_6_Acre,20983.31,T1.66,B22
Gazipur,2021-22,2021,2022,Protected_Area,0,T1.66,B22
Gazipur,2021-22,2021,2022,Acquired_Vested_Forest,0,T1.66,B22
Gazipur,2021-22,2021,2022,Unclassed_State_Forest_FD_Acre,0,T1.66,B22
Gazipur,2021-22,2021,2022,Total_Forest_FD_Acre,65173.21,T1.66,B22
Gazipur,2021-22,2021,2022,Unclassed_State_Forest_Admin_Acre,0,T1.66,B22
Gazipur,2021-22,2021,2022,Total_Forest_Land,65173.21,T1.66,B22
Gazipur,2022-23,2022,2023,Reserved_Forest_Section_20_Acre,44189.9,T1.66,B22
Gazipur,2022-23,2022,2023,Reserved_Forest_Section_4_6_Acre,20983.31,T1.66,B22
Gazipur,2022-23,2022,2023,Protected_Area,0,T1.66,B22
Gazipur,2022-23,2022,2023,Acquired_Vested_Forest,0,T1.66,B22
Gazipur,2022-23,2022,2023,Unclassed_State_Forest_FD_Acre,0,T1.66,B22
Gazipur,2022-23,2022,2023,Total_Forest_FD_Acre,65173.21,T1.66,B22
Gazipur,2022-23,2022,2023,Unclassed_State_Forest_Admin_Acre,0,T1.66,B22
Gazipur,2022-23,2022,2023,Total_Forest_Land,65173.21,T1.66,B22
Gazipur,2023-24,2023,2024,Reserved_Forest_Section_20_Acre,44189.9,T1.66,B22
Gazipur,2023-24,2023,2024,Reserved_Forest_Section_4_6_Acre,20983.31,T1.66,B22
Gazipur,2023-24,2023,2024,Protected_Area,0,T1.66,B22
Gazipur,2023-24,2023,2024,Acquired_Vested_Forest,0,T1.66,B22
Gazipur,2023-24,2023,2024,Unclassed_State_Forest_FD_Acre,0,T1.66,B22
Gazipur,2023-24,2023,2024,Total_Forest_FD_Acre,65173.21,T1.66,B22
Gazipur,2023-24,2023,2024,Unclassed_State_Forest_Admin_Acre,0,T1.66,B22
Gazipur,2023-24,2023,2024,Total_Forest_Land,65173.21,T1.66,B22
Mymensingh,2019-20,2019,2020,Reserved_Forest_Section_20_Acre,34555.11,T1.66,B22
Mymensingh,2019-20,2019,2020,Reserved_Forest_Section_4_6_Acre,4305.03,T1.66,B22
Mymensingh,2019-20,2019,2020,Protected_Area,0,T1.66,B22
Mymensingh,2019-20,2019,2020,Acquired_Vested_Forest,0,T1.66,B22
Mymensingh,2019-20,2019,2020,Unclassed_State_Forest_FD_Acre,0,T1.66,B22
Mymensingh,2019-20,2019,2020,Total_Forest_FD_Acre,38860.14,T1.66,B22
Mymensingh,2019-20,2019,2020,Unclassed_State_Forest_Admin_Acre,0,T1.66,B22
Mymensingh,2019-20,2019,2020,Total_Forest_Land,38860.14,T1.66,B22
Mymensingh,2020-21,2020,2021,Reserved_Forest_Section_20_Acre,34555.11,T1.66,B22
Mymensingh,2020-21,2020,2021,Reserved_Forest_Section_4_6_Acre,4305.03,T1.66,B22
Mymensingh,2020-21,2020,2021,Protected_Area,0,T1.66,B22
Mymensingh,2020-21,2020,2021,Acquired_Vested_Forest,0,T1.66,B22
Mymensingh,2020-21,2020,2021,Unclassed_State_Forest_FD_Acre,0,T1.66,B22
Mymensingh,2020-21,2020,2021,Total_Forest_FD_Acre,38860.14,T1.66,B22
Mymensingh,2020-21,2020,2021,Unclassed_State_Forest_Admin_Acre,0,T1.66,B22
Mymensingh,2020-21,2020,2021,Total_Forest_Land,38860.14,T1.66,B22
Mymensingh,2021-22,2021,2022,Reserved_Forest_Section_20_Acre,34555.11,T1.66,B22
Mymensingh,2021-22,2021,2022,Reserved_Forest_Section_4_6_Acre,4305.03,T1.66,B22
Mymensingh,2021-22,2021,2022,Protected_Area,0,T1.66,B22
Mymensingh,2021-22,2021,2022,Acquired_Vested_Forest,0,T1.66,B22
Mymensingh,2021-22,2021,2022,Unclassed_State_Forest_FD_Acre,0,T1.66,B22
Mymensingh,2021-22,2021,2022,Total_Forest_FD_Acre,38860.14,T1.66,B22
Mymensingh,2021-22,2021,2022,Unclassed_State_Forest_Admin_Acre,0,T1.66,B22
Mymensingh,2021-22,2021,2022,Total_Forest_Land,38860.14,T1.66,B22
Mymensingh,2022-23,2022,2023,Reserved_Forest_Section_20_Acre,34555.11,T1.66,B22
Mymensingh,2022-23,2022,2023,Reserved_Forest_Section_4_6_Acre,4305.03,T1.66,B22
Mymensingh,2022-23,2022,2023,Protected_Area,0,T1.66,B22
Mymensingh,2022-23,2022,2023,Acquired_Vested_Forest,0,T1.66,B22
Mymensingh,2022-23,2022,2023,Unclassed_State_Forest_FD_Acre,0,T1.66,B22
Mymensingh,2022-23,2022,2023,Total_Forest_FD_Acre,38860.14,T1.66,B22
Mymensingh,2022-23,2022,2023,Unclassed_State_Forest_Admin_Acre,0,T1.66,B22
Mymensingh,2022-23,2022,2023,Total_Forest_Land,38860.14,T1.66,B22
Mymensingh,2023-24,2023,2024,Reserved_Forest_Section_20_Acre,34555.11,T1.66,B22
Mymensingh,2023-24,2023,2024,Reserved_Forest_Section_4_6_Acre,4305.03,T1.66,B22
Mymensingh,2023-24,2023,2024,Protected_Area,0,T1.66,B22
Mymensingh,2023-24,2023,2024,Acquired_Vested_Forest,0,T1.66,B22
Mymensingh,2023-24,2023,2024,Unclassed_State_Forest_FD_Acre,0,T1.66,B22
Mymensingh,2023-24,2023,2024,Total_Forest_FD_Acre,38860.14,T1.66,B22
Mymensingh,2023-24,2023,2024,Unclassed_State_Forest_Admin_Acre,0,T1.66,B22
Mymensingh,2023-24,2023,2024,Total_Forest_Land,38860.14,T1.66,B22
Jamalpur,2019-20,2019,2020,Reserved_Forest_Section_20_Acre,0,T1.66,B22
Jamalpur,2019-20,2019,2020,Reserved_Forest_Section_4_6_Acre,10364.39,T1.66,B22
Jamalpur,2019-20,2019,2020,Protected_Area,0,T1.66,B22
Jamalpur,2019-20,2019,2020,Acquired_Vested_Forest,0,T1.66,B22
Jamalpur,2019-20,2019,2020,Unclassed_State_Forest_FD_Acre,0,T1.66,B22
Jamalpur,2019-20,2019,2020,Total_Forest_FD_Acre,10364.39,T1.66,B22
Jamalpur,2019-20,2019,2020,Unclassed_State_Forest_Admin_Acre,0,T1.66,B22
Jamalpur,2019-20,2019,2020,Total_Forest_Land,10364.39,T1.66,B22
Jamalpur,2020-21,2020,2021,Reserved_Forest_Section_20_Acre,0,T1.66,B22
Jamalpur,2020-21,2020,2021,Reserved_Forest_Section_4_6_Acre,10364.39,T1.66,B22
Jamalpur,2020-21,2020,2021,Protected_Area,0,T1.66,B22
Jamalpur,2020-21,2020,2021,Acquired_Vested_Forest,0,T1.66,B22
Jamalpur,2020-21,2020,2021,Unclassed_State_Forest_FD_Acre,0,T1.66,B22
Jamalpur,2020-21,2020,2021,Total_Forest_FD_Acre,10364.39,T1.66,B22
Jamalpur,2020-21,2020,2021,Unclassed_State_Forest_Admin_Acre,0,T1.66,B22
Jamalpur,2020-21,2020,2021,Total_Forest_Land,10364.39,T1.66,B22
Jamalpur,2021-22,2021,2022,Reserved_Forest_Section_20_Acre,0,T1.66,B22
Jamalpur,2021-22,2021,2022,Reserved_Forest_Section_4_6_Acre,10364.39,T1.66,B22
Jamalpur,2021-22,2021,2022,Protected_Area,0,T1.66,B22
Jamalpur,2021-22,2021,2022,Acquired_Vested_Forest,0,T1.66,B22
Jamalpur,2021-22,2021,2022,Unclassed_State_Forest_FD_Acre,0,T1.66,B22
Jamalpur,2021-22,2021,2022,Total_Forest_FD_Acre,10364.39,T1.66,B22
Jamalpur,2021-22,2021,2022,Unclassed_State_Forest_Admin_Acre,0,T1.66,B22
Jamalpur,2021-22,2021,2022,Total_Forest_Land,10364.39,T1.66,B22
Jamalpur,2022-23,2022,2023,Reserved_Forest_Section_20_Acre,0,T1.66,B22
Jamalpur,2022-23,2022,2023,Reserved_Forest_Section_4_6_Acre,10364.39,T1.66,B22
Jamalpur,2022-23,2022,2023,Protected_Area,0,T1.66,B22
Jamalpur,2022-23,2022,2023,Acquired_Vested_Forest,0,T1.66,B22
Jamalpur,2022-23,2022,2023,Unclassed_State_Forest_FD_Acre,0,T1.66,B22
Jamalpur,2022-23,2022,2023,Total_Forest_FD_Acre,10364.39,T1.66,B22
Jamalpur,2022-23,2022,2023,Unclassed_State_Forest_Admin_Acre,0,T1.66,B22
Jamalpur,2022-23,2022,2023,Total_Forest_Land,10364.39,T1.66,B22
Jamalpur,2023-24,2023,2024,Reserved_Forest_Section_20_Acre,0,T1.66,B22
Jamalpur,2023-24,2023,2024,Reserved_Forest_Section_4_6_Acre,10364.39,T1.66,B22
Jamalpur,2023-24,2023,2024,Protected_Area,0,T1.66,B22
Jamalpur,2023-24,2023,2024,Acquired_Vested_Forest,0,T1.66,B22
Jamalpur,2023-24,2023,2024,Unclassed_State_Forest_FD_Acre,0,T1.66,B22
Jamalpur,2023-24,2023,2024,Total_Forest_FD_Acre,10364.39,T1.66,B22
Jamalpur,2023-24,2023,2024,Unclassed_State_Forest_Admin_Acre,0,T1.66,B22
Jamalpur,2023-24,2023,2024,Total_Forest_Land,10364.39,T1.66,B22
Sherpur,2019-20,2019,2020,Reserved_Forest_Section_20_Acre,6324.7,T1.66,B22
Sherpur,2019-20,2019,2020,Reserved_Forest_Section_4_6_Acre,13759.45,T1.66,B22
Sherpur,2019-20,2019,2020,Protected_Area,0,T1.66,B22
Sherpur,2019-20,2019,2020,Acquired_Vested_Forest,0,T1.66,B22
Sherpur,2019-20,2019,2020,Unclassed_State_Forest_FD_Acre,0,T1.66,B22
Sherpur,2019-20,2019,2020,Total_Forest_FD_Acre,20084.15,T1.66,B22
Sherpur,2019-20,2019,2020,Unclassed_State_Forest_Admin_Acre,0,T1.66,B22
Sherpur,2019-20,2019,2020,Total_Forest_Land,20084.15,T1.66,B22
Sherpur,2020-21,2020,2021,Reserved_Forest_Section_20_Acre,6324.7,T1.66,B22
Sherpur,2020-21,2020,2021,Reserved_Forest_Section_4_6_Acre,13759.45,T1.66,B22
Sherpur,2020-21,2020,2021,Protected_Area,0,T1.66,B22
Sherpur,2020-21,2020,2021,Acquired_Vested_Forest,0,T1.66,B22
Sherpur,2020-21,2020,2021,Unclassed_State_Forest_FD_Acre,0,T1.66,B22
Sherpur,2020-21,2020,2021,Total_Forest_FD_Acre,20084.15,T1.66,B22
Sherpur,2020-21,2020,2021,Unclassed_State_Forest_Admin_Acre,0,T1.66,B22
Sherpur,2020-21,2020,2021,Total_Forest_Land,20084.15,T1.66,B22
Sherpur,2021-22,2021,2022,Reserved_Forest_Section_20_Acre,6324.7,T1.66,B22
Sherpur,2021-22,2021,2022,Reserved_Forest_Section_4_6_Acre,13759.45,T1.66,B22
Sherpur,2021-22,2021,2022,Protected_Area,0,T1.66,B22
Sherpur,2021-22,2021,2022,Acquired_Vested_Forest,0,T1.66,B22
Sherpur,2021-22,2021,2022,Unclassed_State_Forest_FD_Acre,0,T1.66,B22
Sherpur,2021-22,2021,2022,Total_Forest_FD_Acre,20084.15,T1.66,B22
Sherpur,2021-22,2021,2022,Unclassed_State_Forest_Admin_Acre,0,T1.66,B22
Sherpur,2021-22,2021,2022,Total_Forest_Land,20084.15,T1.66,B22
Sherpur,2022-23,2022,2023,Reserved_Forest_Section_20_Acre,6324.7,T1.66,B22
Sherpur,2022-23,2022,2023,Reserved_Forest_Section_4_6_Acre,13759.45,T1.66,B22
Sherpur,2022-23,2022,2023,Protected_Area,0,T1.66,B22
Sherpur,2022-23,2022,2023,Acquired_Vested_Forest,0,T1.66,B22
Sherpur,2022-23,2022,2023,Unclassed_State_Forest_FD_Acre,0,T1.66,B22
Sherpur,2022-23,2022,2023,Total_Forest_FD_Acre,20084.15,T1.66,B22
Sherpur,2022-23,2022,2023,Unclassed_State_Forest_Admin_Acre,0,T1.66,B22
Sherpur,2022-23,2022,2023,Total_Forest_Land,20084.15,T1.66,B22
Sherpur,2023-24,2023,2024,Reserved_Forest_Section_20_Acre,6324.7,T1.66,B22
Sherpur,2023-24,2023,2024,Reserved_Forest_Section_4_6_Acre,13759.45,T1.66,B22
Sherpur,2023-24,2023,2024,Protected_Area,0,T1.66,B22
Sherpur,2023-24,2023,2024,Acquired_Vested_Forest,0,T1.66,B22
Sherpur,2023-24,2023,2024,Unclassed_State_Forest_FD_Acre,0,T1.66,B22
Sherpur,2023-24,2023,2024,Total_Forest_FD_Acre,20084.15,T1.66,B22
Sherpur,2023-24,2023,2024,Unclassed_State_Forest_Admin_Acre,0,T1.66,B22
Sherpur,2023-24,2023,2024,Total_Forest_Land,20084.15,T1.66,B22
Netrokona,2019-20,2019,2020,Reserved_Forest_Section_20_Acre,591.97,T1.66,B22
Netrokona,2019-20,2019,2020,Reserved_Forest_Section_4_6_Acre,1381.6,T1.66,B22
Netrokona,2019-20,2019,2020,Protected_Area,0,T1.66,B22
Netrokona,2019-20,2019,2020,Acquired_Vested_Forest,0,T1.66,B22
Netrokona,2019-20,2019,2020,Unclassed_State_Forest_FD_Acre,0,T1.66,B22
Netrokona,2019-20,2019,2020,Total_Forest_FD_Acre,1973.57,T1.66,B22
Netrokona,2019-20,2019,2020,Unclassed_State_Forest_Admin_Acre,0,T1.66,B22
Netrokona,2019-20,2019,2020,Total_Forest_Land,1973.57,T1.66,B22
Netrokona,2020-21,2020,2021,Reserved_Forest_Section_20_Acre,591.97,T1.66,B22
Netrokona,2020-21,2020,2021,Reserved_Forest_Section_4_6_Acre,1381.6,T1.66,B22
Netrokona,2020-21,2020,2021,Protected_Area,0,T1.66,B22
Netrokona,2020-21,2020,2021,Acquired_Vested_Forest,0,T1.66,B22
Netrokona,2020-21,2020,2021,Unclassed_State_Forest_FD_Acre,0,T1.66,B22
Netrokona,2020-21,2020,2021,Total_Forest_FD_Acre,1973.57,T1.66,B22
Netrokona,2020-21,2020,2021,Unclassed_State_Forest_Admin_Acre,0,T1.66,B22
Netrokona,2020-21,2020,2021,Total_Forest_Land,1973.57,T1.66,B22
Netrokona,2021-22,2021,2022,Reserved_Forest_Section_20_Acre,591.97,T1.66,B22
Netrokona,2021-22,2021,2022,Reserved_Forest_Section_4_6_Acre,1381.6,T1.66,B22
Netrokona,2021-22,2021,2022,Protected_Area,0,T1.66,B22
Netrokona,2021-22,2021,2022,Acquired_Vested_Forest,0,T1.66,B22
Netrokona,2021-22,2021,2022,Unclassed_State_Forest_FD_Acre,0,T1.66,B22
Netrokona,2021-22,2021,2022,Total_Forest_FD_Acre,1973.57,T1.66,B22
Netrokona,2021-22,2021,2022,Unclassed_State_Forest_Admin_Acre,0,T1.66,B22
Netrokona,2021-22,2021,2022,Total_Forest_Land,1973.57,T1.66,B22
Netrokona,2022-23,2022,2023,Reserved_Forest_Section_20_Acre,591.97,T1.66,B22
Netrokona,2022-23,2022,2023,Reserved_Forest_Section_4_6_Acre,1381.6,T1.66,B22
Netrokona,2022-23,2022,2023,Protected_Area,0,T1.66,B22
Netrokona,2022-23,2022,2023,Acquired_Vested_Forest,0,T1.66,B22
Netrokona,2022-23,2022,2023,Unclassed_State_Forest_FD_Acre,0,T1.66,B22
Netrokona,2022-23,2022,2023,Total_Forest_FD_Acre,1973.57,T1.66,B22
Netrokona,2022-23,2022,2023,Unclassed_State_Forest_Admin_Acre,0,T1.66,B22
Netrokona,2022-23,2022,2023,Total_Forest_Land,1973.57,T1.66,B22
Netrokona,2023-24,2023,2024,Reserved_Forest_Section_20_Acre,591.97,T1.66,B22
Netrokona,2023-24,2023,2024,Reserved_Forest_Section_4_6_Acre,1381.6,T1.66,B22
Netrokona,2023-24,2023,2024,Protected_Area,0,T1.66,B22
Netrokona,2023-24,2023,2024,Acquired_Vested_Forest,0,T1.66,B22
Netrokona,2023-24,2023,2024,Unclassed_State_Forest_FD_Acre,0,T1.66,B22
Netrokona,2023-24,2023,2024,Total_Forest_FD_Acre,1973.57,T1.66,B22
Netrokona,2023-24,2023,2024,Unclassed_State_Forest_Admin_Acre,0,T1.66,B22
Netrokona,2023-24,2023,2024,Total_Forest_Land,1973.57,T1.66,B22
Tangail,2019-20,2019,2020,Reserved_Forest_Section_20_Acre,73815.69,T1.66,B22
Tangail,2019-20,2019,2020,Reserved_Forest_Section_4_6_Acre,49061.21,T1.66,B22
Tangail,2019-20,2019,2020,Protected_Area,0,T1.66,B22
Tangail,2019-20,2019,2020,Acquired_Vested_Forest,0,T1.66,B22
Tangail,2019-20,2019,2020,Unclassed_State_Forest_FD_Acre,0,T1.66,B22
Tangail,2019-20,2019,2020,Total_Forest_FD_Acre,122876.9,T1.66,B22
Tangail,2019-20,2019,2020,Unclassed_State_Forest_Admin_Acre,0,T1.66,B22
Tangail,2019-20,2019,2020,Total_Forest_Land,122876.9,T1.66,B22
Tangail,2020-21,2020,2021,Reserved_Forest_Section_20_Acre,73815.69,T1.66,B22
Tangail,2020-21,2020,2021,Reserved_Forest_Section_4_6_Acre,49061.21,T1.66,B22
Tangail,2020-21,2020,2021,Protected_Area,0,T1.66,B22
Tangail,2020-21,2020,2021,Acquired_Vested_Forest,0,T1.66,B22
Tangail,2020-21,2020,2021,Unclassed_State_Forest_FD_Acre,0,T1.66,B22
Tangail,2020-21,2020,2021,Total_Forest_FD_Acre,122876.9,T1.66,B22
Tangail,2020-21,2020,2021,Unclassed_State_Forest_Admin_Acre,0,T1.66,B22
Tangail,2020-21,2020,2021,Total_Forest_Land,122876.9,T1.66,B22
Tangail,2021-22,2021,2022,Reserved_Forest_Section_20_Acre,73815.69,T1.66,B22
Tangail,2021-22,2021,2022,Reserved_Forest_Section_4_6_Acre,49061.21,T1.66,B22
Tangail,2021-22,2021,2022,Protected_Area,0,T1.66,B22
Tangail,2021-22,2021,2022,Acquired_Vested_Forest,0,T1.66,B22
Tangail,2021-22,2021,2022,Unclassed_State_Forest_FD_Acre,0,T1.66,B22
Tangail,2021-22,2021,2022,Total_Forest_FD_Acre,122876.9,T1.66,B22
Tangail,2021-22,2021,2022,Unclassed_State_Forest_Admin_Acre,0,T1.66,B22
Tangail,2021-22,2021,2022,Total_Forest_Land,122876.9,T1.66,B22
Tangail,2022-23,2022,2023,Reserved_Forest_Section_20_Acre,73815.69,T1.66,B22
Tangail,2022-23,2022,2023,Reserved_Forest_Section_4_6_Acre,49061.21,T1.66,B22
Tangail,2022-23,2022,2023,Protected_Area,0,T1.66,B22
Tangail,2022-23,2022,2023,Acquired_Vested_Forest,0,T1.66,B22
Tangail,2022-23,2022,2023,Unclassed_State_Forest_FD_Acre,0,T1.66,B22
Tangail,2022-23,2022,2023,Total_Forest_FD_Acre,122876.9,T1.66,B22
Tangail,2022-23,2022,2023,Unclassed_State_Forest_Admin_Acre,0,T1.66,B22
Tangail,2022-23,2022,2023,Total_Forest_Land,122876.9,T1.66,B22
Tangail,2023-24,2023,2024,Reserved_Forest_Section_20_Acre,73815.69,T1.66,B22
Tangail,2023-24,2023,2024,Reserved_Forest_Section_4_6_Acre,49061.21,T1.66,B22
Tangail,2023-24,2023,2024,Protected_Area,0,T1.66,B22
Tangail,2023-24,2023,2024,Acquired_Vested_Forest,0,T1.66,B22
Tangail,2023-24,2023,2024,Unclassed_State_Forest_FD_Acre,0,T1.66,B22
Tangail,2023-24,2023,2024,Total_Forest_FD_Acre,122876.9,T1.66,B22
Tangail,2023-24,2023,2024,Unclassed_State_Forest_Admin_Acre,0,T1.66,B22
Tangail,2023-24,2023,2024,Total_Forest_Land,122876.9,T1.66,B22
Sylhet,2019-20,2019,2020,Reserved_Forest_Section_20_Acre,23900.63,T1.66,B22
Sylhet,2019-20,2019,2020,Reserved_Forest_Section_4_6_Acre,25538.85,T1.66,B22
Sylhet,2019-20,2019,2020,Protected_Area,0,T1.66,B22
Sylhet,2019-20,2019,2020,Acquired_Vested_Forest,0,T1.66,B22
Sylhet,2019-20,2019,2020,Unclassed_State_Forest_FD_Acre,0,T1.66,B22
Sylhet,2019-20,2019,2020,Total_Forest_FD_Acre,49439.48,T1.66,B22
Sylhet,2019-20,2019,2020,Unclassed_State_Forest_Admin_Acre,988.88,T1.66,B22
Sylhet,2019-20,2019,2020,Total_Forest_Land,50428.36,T1.66,B22
Sylhet,2020-21,2020,2021,Reserved_Forest_Section_20_Acre,23900.63,T1.66,B22
Sylhet,2020-21,2020,2021,Reserved_Forest_Section_4_6_Acre,25538.85,T1.66,B22
Sylhet,2020-21,2020,2021,Protected_Area,0,T1.66,B22
Sylhet,2020-21,2020,2021,Acquired_Vested_Forest,0,T1.66,B22
Sylhet,2020-21,2020,2021,Unclassed_State_Forest_FD_Acre,0,T1.66,B22
Sylhet,2020-21,2020,2021,Total_Forest_FD_Acre,49439.48,T1.66,B22
Sylhet,2020-21,2020,2021,Unclassed_State_Forest_Admin_Acre,988.88,T1.66,B22
Sylhet,2020-21,2020,2021,Total_Forest_Land,50428.36,T1.66,B22
Sylhet,2021-22,2021,2022,Reserved_Forest_Section_20_Acre,23900.63,T1.66,B22
Sylhet,2021-22,2021,2022,Reserved_Forest_Section_4_6_Acre,25538.85,T1.66,B22
Sylhet,2021-22,2021,2022,Protected_Area,0,T1.66,B22
Sylhet,2021-22,2021,2022,Acquired_Vested_Forest,0,T1.66,B22
Sylhet,2021-22,2021,2022,Unclassed_State_Forest_FD_Acre,0,T1.66,B22
Sylhet,2021-22,2021,2022,Total_Forest_FD_Acre,49439.48,T1.66,B22
Sylhet,2021-22,2021,2022,Unclassed_State_Forest_Admin_Acre,988.88,T1.66,B22
Sylhet,2021-22,2021,2022,Total_Forest_Land,50428.36,T1.66,B22
Sylhet,2022-23,2022,2023,Reserved_Forest_Section_20_Acre,23900.63,T1.66,B22
Sylhet,2022-23,2022,2023,Reserved_Forest_Section_4_6_Acre,25538.85,T1.66,B22
Sylhet,2022-23,2022,2023,Protected_Area,0,T1.66,B22
Sylhet,2022-23,2022,2023,Acquired_Vested_Forest,0,T1.66,B22
Sylhet,2022-23,2022,2023,Unclassed_State_Forest_FD_Acre,0,T1.66,B22
Sylhet,2022-23,2022,2023,Total_Forest_FD_Acre,49439.48,T1.66,B22
Sylhet,2022-23,2022,2023,Unclassed_State_Forest_Admin_Acre,988.88,T1.66,B22
Sylhet,2022-23,2022,2023,Total_Forest_Land,50428.36,T1.66,B22
Sylhet,2023-24,2023,2024,Reserved_Forest_Section_20_Acre,23900.63,T1.66,B22
Sylhet,2023-24,2023,2024,Reserved_Forest_Section_4_6_Acre,25538.85,T1.66,B22
Sylhet,2023-24,2023,2024,Protected_Area,0,T1.66,B22
Sylhet,2023-24,2023,2024,Acquired_Vested_Forest,0,T1.66,B22
Sylhet,2023-24,2023,2024,Unclassed_State_Forest_FD_Acre,0,T1.66,B22
Sylhet,2023-24,2023,2024,Total_Forest_FD_Acre,49439.48,T1.66,B22
