District_Name,Fiscal_Start_Year,Fiscal_End_Year,Measure,Acre,Block
Sherpur,2023,2024,Unclassed_State_Forest_Admin_Acre,0,B22
Sherpur,2023,2024,Total_Forest_Land,20084.15,B22
Netrokona,2019,2020,Reserved_Forest_Section_20_Acre,591.97,B22
Netrokona,2019,2020,Reserved_Forest_Section_4_6_Acre,1381.6,B22
Netrokona,2019,2020,Protected_Area,0,B22
Netrokona,2019,2020,Acquired_Vested_Forest,0,B22
Netrokona,2019,2020,Unclassed_State_Forest_FD_Acre,0,B22
Netrokona,2019,2020,Total_Forest_FD_Acre,1973.57,B22
Netrokona,2019,2020,Unclassed_State_Forest_Admin_Acre,0,B22
Netrokona,2019,2020,Total_Forest_Land,1973.57,B22
Netrokona,2020,2021,Reserved_Forest_Section_20_Acre,591.97,B22
Netrokona,2020,2021,Reserved_Forest_Section_4_6_Acre,1381.6,B22
Netrokona,2020,2021,Protected_Area,0,B22
Netrokona,2020,2021,Acquired_Vested_Forest,0,B22
Netrokona,2020,2021,Unclassed_State_Forest_FD_Acre,0,B22
Netrokona,2020,2021,Total_Forest_FD_Acre,1973.57,B22
Netrokona,2020,2021,Unclassed_State_Forest_Admin_Acre,0,B22
Netrokona,2020,2021,Total_Forest_Land,1973.57,B22
Netrokona,2021,2022,Reserved_Forest_Section_20_Acre,591.97,B22
Netrokona,2021,2022,Reserved_Forest_Section_4_6_Acre,1381.6,B22
Netrokona,2021,2022,Protected_Area,0,B22
Netrokona,2021,2022,Acquired_Vested_Forest,0,B22
Netrokona,2021,2022,Unclassed_State_Forest_FD_Acre,0,B22
Netrokona,2021,2022,Total_Forest_FD_Acre,1973.57,B22
Netrokona,2021,2022,Unclassed_State_Forest_Admin_Acre,0,B22
Netrokona,2021,2022,Total_Forest_Land,1973.57,B22
Netrokona,2022,2023,Reserved_Forest_Section_20_Acre,591.97,B22
Netrokona,2022,2023,Reserved_Forest_Section_4_6_Acre,1381.6,B22
Netrokona,2022,2023,Protected_Area,0,B22
Netrokona,2022,2023,Acquired_Vested_Forest,0,B22
Netrokona,2022,2023,Unclassed_State_Forest_FD_Acre,0,B22
Netrokona,2022,2023,Total_Forest_FD_Acre,1973.57,B22
Netrokona,2022,2023,Unclassed_State_Forest_Admin_Acre,0,B22
Netrokona,2022,2023,Total_Forest_Land,1973.57,B22
Netrokona,2023,2024,Reserved_Forest_Section_20_Acre,591.97,B22
Netrokona,2023,2024,Reserved_Forest_Section_4_6_Acre,1381.6,B22
Netrokona,2023,2024,Protected_Area,0,B22
Netrokona,2023,2024,Acquired_Vested_Forest,0,B22
Netrokona,2023,2024,Unclassed_State_Forest_FD_Acre,0,B22
Netrokona,2023,2024,Total_Forest_FD_Acre,1973.57,B22
Netrokona,2023,2024,Unclassed_State_Forest_Admin_Acre,0,B22
Netrokona,2023,2024,Total_Forest_Land,1973.57,B22
Tangail,2019,2020,Reserved_Forest_Section_20_Acre,73815.69,B22
Tangail,2019,2020,Reserved_Forest_Section_4_6_Acre,49061.21,B22
Tangail,2019,2020,Protected_Area,0,B22
Tangail,2019,2020,Acquired_Vested_Forest,0,B22
Tangail,2019,2020,Unclassed_State_Forest_FD_Acre,0,B22
Tangail,2019,2020,Total_Forest_FD_Acre,122876.9,B22
Tangail,2019,2020,Unclassed_State_Forest_Admin_Acre,0,B22
Tangail,2019,2020,Total_Forest_Land,122876.9,B22
Tangail,2020,2021,Reserved_Forest_Section_20_Acre,73815.69,B22
Tangail,2020,2021,Reserved_Forest_Section_4_6_Acre,49061.21,B22
Tangail,2020,2021,Protected_Area,0,B22
Tangail,2020,2021,Acquired_Vested_Forest,0,B22
Tangail,2020,2021,Unclassed_State_Forest_FD_Acre,0,B22
Tangail,2020,2021,Total_Forest_FD_Acre,122876.9,B22
Tangail,2020,2021,Unclassed_State_Forest_Admin_Acre,0,B22
Tangail,2020,2021,Total_Forest_Land,122876.9,B22
Tangail,2021,2022,Reserved_Forest_Section_20_Acre,73815.69,B22
Tangail,2021,2022,Reserved_Forest_Section_4_6_Acre,49061.21,B22
Tangail,2021,2022,Protected_Area,0,B22
Tangail,2021,2022,Acquired_Vested_Forest,0,B22
Tangail,2021,2022,Unclassed_State_Forest_FD_Acre,0,B22
Tangail,2021,2022,Total_Forest_FD_Acre,122876.9,B22
Tangail,2021,2022,Unclassed_State_Forest_Admin_Acre,0,B22
Tangail,2021,2022,Total_Forest_Land,122876.9,B22
Tangail,2022,2023,Reserved_Forest_Section_20_Acre,73815.69,B22
Tangail,2022,2023,Reserved_Forest_Section_4_6_Acre,49061.21,B22
Tangail,2022,2023,Protected_Area,0,B22
Tangail,2022,2023,Acquired_Vested_Forest,0,B22
Tangail,2022,2023,Unclassed_State_Forest_FD_Acre,0,B22
Tangail,2022,2023,Total_Forest_FD_Acre,122876.9,B22
Tangail,2022,2023,Unclassed_State_Forest_Admin_Acre,0,B22
Tangail,2022,2023,Total_Forest_Land,122876.9,B22
Tangail,2023,2024,Reserved_Forest_Section_20_Acre,73815.69,B22
Tangail,2023,2024,Reserved_Forest_Section_4_6_Acre,49061.21,B22
Tangail,2023,2024,Protected_Area,0,B22
Tangail,2023,2024,Acquired_Vested_Forest,0,B22
Tangail,2023,2024,Unclassed_State_Forest_FD_Acre,0,B22
Tangail,2023,2024,Total_Forest_FD_Acre,122876.9,B22
Tangail,2023,2024,Unclassed_State_Forest_Admin_Acre,0,B22
Tangail,2023,2024,Total_Forest_Land,122876.9,B22
Sylhet,2019,2020,Reserved_Forest_Section_20_Acre,23900.63,B22
Sylhet,2019,2020,Reserved_Forest_Section_4_6_Acre,25538.85,B22
Sylhet,2019,2020,Protected_Area,0,B22
Sylhet,2019,2020,Acquired_Vested_Forest,0,B22
Sylhet,2019,2020,Unclassed_State_Forest_FD_Acre,0,B22
Sylhet,2019,2020,Total_Forest_FD_Acre,49439.48,B22
Sylhet,2019,2020,Unclassed_State_Forest_Admin_Acre,988.88,B22
Sylhet,2019,2020,Total_Forest_Land,50428.36,B22
Sylhet,2020,2021,Reserved_Forest_Section_20_Acre,23900.63,B22
Sylhet,2020,2021,Reserved_Forest_Section_4_6_Acre,25538.85,B22
Sylhet,2020,2021,Protected_Area,0,B22
Sylhet,2020,2021,Acquired_Vested_Forest,0,B22
Sylhet,2020,2021,Unclassed_State_Forest_FD_Acre,0,B22
Sylhet,2020,2021,Total_Forest_FD_Acre,49439.48,B22
Sylhet,2020,2021,Unclassed_State_Forest_Admin_Acre,988.88,B22
Sylhet,2020,2021,Total_Forest_Land,50428.36,B22
Sylhet,2021,2022,Reserved_Forest_Section_20_Acre,23900.63,B22
Sylhet,2021,2022,Reserved_Forest_Section_4_6_Acre,25538.85,B22
Sylhet,2021,2022,Protected_Area,0,B22
Sylhet,2021,2022,Acquired_Vested_Forest,0,B22
Sylhet,2021,2022,Unclassed_State_Forest_FD_Acre,0,B22
Sylhet,2021,2022,Total_Forest_FD_Acre,49439.48,B22
Sylhet,2021,2022,Unclassed_State_Forest_Admin_Acre,988.88,B22
Sylhet,2021,2022,Total_Forest_Land,50428.36,B22
Sylhet,2022,2023,Reserved_Forest_Section_20_Acre,23900.63,B22
Sylhet,2022,2023,Reserved_Forest_Section_4_6_Acre,25538.85,B22
Sylhet,2022,2023,Protected_Area,0,B22
Sylhet,2022,2023,Acquired_Vested_Forest,0,B22
Sylhet,2022,2023,Unclassed_State_Forest_FD_Acre,0,B22
Sylhet,2022,2023,Total_Forest_FD_Acre,49439.48,B22
Sylhet,2022,2023,Unclassed_State_Forest_Admin_Acre,988.88,B22
Sylhet,2022,2023,Total_Forest_Land,50428.36,B22
Sylhet,2023,2024,Reserved_Forest_Section_20_Acre,23900.63,B22
Sylhet,2023,2024,Reserved_Forest_Section_4_6_Acre,25538.85,B22
Sylhet,2023,2024,Protected_Area,0,B22
Sylhet,2023,2024,Acquired_Vested_Forest,0,B22
Sylhet,2023,2024,Unclassed_State_Forest_FD_Acre,0,B22
Sylhet,2023,2024,Total_Forest_FD_Acre,49439.48,B22
Sylhet,2023,2024,Unclassed_State_Forest_Admin_Acre,988.88,B22
Sylhet,2023,2024,Total_Forest_Land,50428.36,B22
Habiganj,2019,2020,Reserved_Forest_Section_20_Acre,33885.73,B22
Habiganj,2019,2020,Reserved_Forest_Section_4_6_Acre,274,B22
Habiganj,2019,2020,Protected_Area,0,B22
Habiganj,2019,2020,Acquired_Vested_Forest,0,B22
Habiganj,2019,2020,Unclassed_State_Forest_FD_Acre,0,B22
Habiganj,2019,2020,Total_Forest_FD_Acre,34159.73,B22
Habiganj,2019,2020,Unclassed_State_Forest_Admin_Acre,2200,B22
Habiganj,2019,2020,Total_Forest_Land,36359.73,B22
Habiganj,2020,2021,Reserved_Forest_Section_20_Acre,33885.73,B22
Habiganj,2020,2021,Reserved_Forest_Section_4_6_Acre,274,B22
Habiganj,2020,2021,Protected_Area,0,B22
Habiganj,2020,2021,Acquired_Vested_Forest,0,B22
Habiganj,2020,2021,Unclassed_State_Forest_FD_Acre,0,B22
Habiganj,2020,2021,Total_Forest_FD_Acre,34159.73,B22
Habiganj,2020,2021,Unclassed_State_Forest_Admin_Acre,2200,B22
Habiganj,2020,2021,Total_Forest_Land,36359.73,B22
Habiganj,2021,2022,Reserved_Forest_Section_20_Acre,33885.73,B22
Habiganj,2021,2022,Reserved_Forest_Section_4_6_Acre,274,B22
Habiganj,2021,2022,Protected_Area,0,B22
Habiganj,2021,2022,Acquired_Vested_Forest,0,B22
Habiganj,2021,2022,Unclassed_State_Forest_FD_Acre,0,B22
Habiganj,2021,2022,Total_Forest_FD_Acre,34159.73,B22
Habiganj,2021,2022,Unclassed_State_Forest_Admin_Acre,2200,B22
Habiganj,2021,2022,Total_Forest_Land,36359.73,B22
Habiganj,2022,2023,Reserved_Forest_Section_20_Acre,33885.73,B22
Habiganj,2022,2023,Reserved_Forest_Section_4_6_Acre,274,B22
Habiganj,2022,2023,Protected_Area,0,B22
Habiganj,2022,2023,Acquired_Vested_Forest,0,B22
Habiganj,2022,2023,Unclassed_State_Forest_FD_Acre,0,B22
Habiganj,2022,2023,Total_Forest_FD_Acre,34159.73,B22
Habiganj,2022,2023,Unclassed_State_Forest_Admin_Acre,2200,B22
Habiganj,2022,2023,Total_Forest_Land,36359.73,B22
Habiganj,2023,2024,Reserved_Forest_Section_20_Acre,33885.73,B22
Habiganj,2023,2024,Reserved_Forest_Section_4_6_Acre,274,B22
Habiganj,2023,2024,Protected_Area,0,B22
Habiganj,2023,2024,Acquired_Vested_Forest,0,B22
Habiganj,2023,2024,Unclassed_State_Forest_FD_Acre,0,B22
Habiganj,2023,2024,Total_Forest_FD_Acre,34159.73,B22
Habiganj,2023,2024,Unclassed_State_Forest_Admin_Acre,2200,B22
Habiganj,2023,2024,Total_Forest_Land,36359.73,B22
Moulvi Bazar,2019,2020,Reserved_Forest_Section_20_Acre,59332.62,B22
Moulvi Bazar,2019,2020,Reserved_Forest_Section_4_6_Acre,40.7,B22
Moulvi Bazar,2019,2020,Protected_Area,0,B22
Moulvi Bazar,2019,2020,Acquired_Vested_Forest,10932,B22
Moulvi Bazar,2019,2020,Unclassed_State_Forest_FD_Acre,0,B22
Moulvi Bazar,2019,2020,Total_Forest_FD_Acre,70305.32,B22
Moulvi Bazar,2019,2020,Unclassed_State_Forest_Admin_Acre,1079.41,B22
Moulvi Bazar,2019,2020,Total_Forest_Land,71384.73,B22
Moulvi Bazar,2020,2021,Reserved_Forest_Section_20_Acre,59332.62,B22
Moulvi Bazar,2020,2021,Reserved_Forest_Section_4_6_Acre,40.7,B22
Moulvi Bazar,2020,2021,Protected_Area,0,B22
Moulvi Bazar,2020,2021,Acquired_Vested_Forest,10932,B22
Moulvi Bazar,2020,2021,Unclassed_State_Forest_FD_Acre,0,B22
Moulvi Bazar,2020,2021,Total_Forest_FD_Acre,70305.32,B22
Moulvi Bazar,2020,2021,Unclassed_State_Forest_Admin_Acre,1079.41,B22
Moulvi Bazar,2020,2021,Total_Forest_Land,71384.73,B22
Moulvi Bazar,2021,2022,Reserved_Forest_Section_20_Acre,59332.62,B22
Moulvi Bazar,2021,2022,Reserved_Forest_Section_4_6_Acre,40.7,B22
Moulvi Bazar,2021,2022,Protected_Area,0,B22
Moulvi Bazar,2021,2022,Acquired_Vested_Forest,10932,B22
Moulvi Bazar,2021,2022,Unclassed_State_Forest_FD_Acre,0,B22
Moulvi Bazar,2021,2022,Total_Forest_FD_Acre,70305.32,B22
Moulvi Bazar,2021,2022,Unclassed_State_Forest_Admin_Acre,1079.41,B22
Moulvi Bazar,2021,2022,Total_Forest_Land,71384.73,B22
Moulvi Bazar,2022,2023,Reserved_Forest_Section_20_Acre,59332.62,B22
Moulvi Bazar,2022,2023,Reserved_Forest_Section_4_6_Acre,40.7,B22
Moulvi Bazar,2022,2023,Protected_Area,0,B22
Moulvi Bazar,2022,2023,Acquired_Vested_Forest,10932,B22
Moulvi Bazar,2022,2023,Unclassed_State_Forest_FD_Acre,0,B22
Moulvi Bazar,2022,2023,Total_Forest_FD_Acre,70305.32,B22
Moulvi Bazar,2022,2023,Unclassed_State_Forest_Admin_Acre,1079.41,B22
Moulvi Bazar,2022,2023,Total_Forest_Land,71384.73,B22
Moulvi Bazar,2023,2024,Reserved_Forest_Section_20_Acre,59332.62,B22
Moulvi Bazar,2023,2024,Reserved_Forest_Section_4_6_Acre,40.7,B22
Moulvi Bazar,2023,2024,Protected_Area,0,B22
Moulvi Bazar,2023,2024,Acquired_Vested_Forest,10932,B22
Moulvi Bazar,2023,2024,Unclassed_State_Forest_FD_Acre,0,B22
Moulvi Bazar,2023,2024,Total_Forest_FD_Acre,70305.32,B22
Moulvi Bazar,2023,2024,Unclassed_State_Forest_Admin_Acre,1079.41,B22
Moulvi Bazar,2023,2024,Total_Forest_Land,71384.73,B22
Sunamganj,2019,2020,Reserved_Forest_Section_20_Acre,6434.15,B22
Sunamganj,2019,2020,Reserved_Forest_Section_4_6_Acre,11578.16,B22
Sunamganj,2019,2020,Protected_Area,0,B22
Sunamganj,2019,2020,Unclassed_State_Forest_FD_Acre,0,B22
Sunamganj,2019,2020,Total_Forest_FD_Acre,18012.31,B22
Sunamganj,2019,2020,Unclassed_State_Forest_Admin_Acre,0,B22
Sunamganj,2019,2020,Total_Forest_Land,18012.31,B22
