District_Name,Well_No,Well_ID,Latitude,Longitude,Sub_Division,Upazilla,Source_Sheet,Block
Gazipur,88,DH120,23.86,90.52,,Kaliganj,Table-4,B65
Jamalpur,89,JA013,25.24,89.86,,Baksiganj,Table-4,B65
Jamalpur,90,JA008,25.23,89.79,,Dewanganj,Table-4,B65
Jamalpur,91,JA014,25.1,89.76,,Islampur,Table-4,B65
Jamalpur,92,JA015,24.84,90.05,,Jamalpur Sadar,Table-4,B65
Jamalpur,93,JA016,24.92,89.78,,Madarganj,Table-4,B65
Jamalpur,94,JA007,24.98,89.81,,Melandaha,Table-4,B65
Jamalpur,95,JA006,24.78,89.82,,Sarishabari,Table-4,B65
Kishoreganj,96,MY063,24.34,91.11,,Astagram,Table-4,B65
Kishoreganj,97,MY041,24.38,91.01,,Nikli,Table-4,B65
Kishoreganj,98,MY070,24.29,90.71,,Pakundia,Table-4,B65
Kishoreganj,99,MY013,24.24,90.99,,Bajitpur,Table-4,B65
Kishoreganj,100,MY034,24.58,90.92,,Tarail,Table-4,B65
Kishoreganj,101,MY071,24.16,90.95,,Kuliar Char,Table-4,B65
Kishoreganj,102,MY088,24.4,90.85,,Kishoreganj Sadar,Table-4,B65
Kishoreganj,103,MY069,24.12,91,,Bhairab,Table-4,B65
Kishoreganj,104,MY012,24.33,90.82,,Katiadi,Table-4,B65
Kishoreganj,105,MY010,24.48,90.91,,Karimganj,Table-4,B65
Kishoreganj,106,MY090,24.45,90.65,,Hossainpur,Table-4,B65
Kishoreganj,107,MY027,24.52,91.06,,Itna,Table-4,B65
Manikganj,108,DH026,23.96,89.83,,Daulatpur,Table-4,B65
Manikganj,109,DH008,23.89,89.91,,Ghior,Table-4,B65
Manikganj,110,DH066,23.71,90.01,,Harirampur,Table-4,B65
Manikganj,111,DH007,23.83,90.07,,Manikganj Sadar,Table-4,B65
Munshiganj,115,DH097,23.51,90.64,,Gazaria,Table-5,B66
Munshiganj,116,DH085,23.46,90.41,,Lohajang,Table-5,B66
Munshiganj,117,DH084,23.51,90.54,,Munshiganj Sadar,Table-5,B66
Munshiganj,118,DH001,23.63,90.28,,Sirajdikhan,Table-5,B66
Munshiganj,119,DH062,23.53,90.26,,Sreenagar,Table-5,B66
Munshiganj,120,DH086,23.44,90.47,,Tongibari,Table-5,B66
Tangail,121,TA011,24.21,89.85,,Bhoapur,Table-5,B66
Tangail,122,TA008,24.08,89.93,,Delduar,Table-5,B66
Tangail,123,TA002,24.18,90.04,,Basail,Table-5,B66
Tangail,124,TA032,24.43,90.07,,Ghatail,Table-5,B66
Tangail,125,TA013,24.56,89.89,,Gopalpur,Table-5,B66
Tangail,126,TA034,24.36,89.91,,Kalihati,Table-5,B66
Tangail,127,TA021,24.3,90.23,,Sakhipur,Table-5,B66
Tangail,128,TA024,24.04,89.89,,Nagarpur,Table-5,B66
Tangail,129,TA022,24.14,90.17,,Mirzapur,Table-5,B66
Tangail,130,TA004,24.65,90.04,,Madhupur,Table-5,B66
Netrokona,131,MY074,24.69,91.12,,Khaliajuri,Table-5,B66
Netrokona,132,MY002,24.97,90.84,,Barhatta,Table-5,B66
Netrokona,133,MY053,25.15,90.68,,Durgapur,Table-5,B66
Netrokona,134,MY054,25.14,90.86,,Kalmakanda,Table-5,B66
Netrokona,135,MY042,24.65,90.88,,Kendua,Table-5,B66
Netrokona,136,MY036,24.71,90.93,,Madan,Table-5,B66
Netrokona,137,MY003,24.95,90.75,,Netrokona Sadar,Table-5,B66
Netrokona,138,MY006,25,90.59,,Purbadhala,Table-5,B66
Netrokona,139,MY051,24.82,91.03,,Mohanganj,Table-5,B66
Narsingdi,140,DH059,24.2,90.74,,Manohardi,Table-5,B66
Narsingdi,141,DH076,23.88,90.68,,Narsingdi Sadar,Table-5,B66
Narsingdi,142,DH104,23.96,90.67,,Palash,Table-5,B66
Narsingdi,143,DH105,23.92,90.94,,Raipur,Table-5,B66
Narsingdi,144,DH011,24.17,90.51,,Shibpur,Table-5,B66
Mymensingh,145,MY055,24.73,90.22,,Muktagachha,Table-5,B66
Mymensingh,146,MY052,24.83,90.32,,Mymensingh Sadar,Table-5,B66
Mymensingh,147,MY081,24.61,90.59,,Ishwarganj,Table-5,B66
Mymensingh,148,MY089,24.4,90.6,,Gaffargaon,Table-5,B66
Mymensingh,149,MY050,25.04,90.32,,Haluaghat,Table-5,B66
Narayanganj,156,DH081,23.69,90.72,,Araihazar,Table-6,B67
Narayanganj,157,DH003,23.59,90.52,,Narayanganj Sadar,Table-6,B67
Narayanganj,158,DH080,23.86,90.56,,Rupganj,Table-6,B67
Narayanganj,159,DH082,23.66,90.63,,Sonargaon,Table-6,B67
Sherpur,160,JA012,24.99,90.19,,Nakla,Table-6,B67
Sherpur,161,JA005,25.17,90.2,,Nalitabari,Table-6,B67
Sherpur,162,JA018,25.05,90,,Sherpur Sadar,Table-6,B67
Sherpur,163,JA009,25.15,89.97,,Sreebardi,Table-6,B67
Barguna,164,PT003,22.15,90.16,rupdiraF,Barguna Sadar,Table-6,B67
Barguna,165,PT006,22.2,90.29,rupdiraF,Amtali,Table-6,B67
Barisal,166,BA001,22.71,90.36,,Barisal Sadar,Table-6,B67
Barisal,167,BA003,22.84,90.52,,Mehendiganj,Table-6,B67
Barisal,168,BA006,22.61,90.45,,Bakerganj,Table-6,B67
Barisal,169,BA009,22.82,90.21,,Banaripara,Table-6,B67
Barisal,170,BA010,22.83,90.28,,Babuganj,Table-6,B67
Barisal,171,BA013,22.92,90.26,,Gaurnadi,Table-6,B67
Barisal,172,BA011,22.96,90.52,,Hizla,Table-6,B67
Bhola,173,BA004,22.67,90.64,,Bhola Sadar,Table-6,B67
Bhola,174,BA028,22.2,90.75,,Char Fasson,Table-6,B67
Bhola,175,BA029,22.63,90.75,,Daulatkhan,Table-6,B67
Bhola,176,BA024,22.31,90.79,,Lalmohan,Table-6,B67
Faridpur,177,FS002,23.75,89.79,,Alfadanga,Table-6,B67
Faridpur,178,FA020,23.4,89.96,,Bhanga,Table-6,B67
Faridpur,179,FA057,23.41,89.72,,Boalmari,Table-6,B67
Faridpur,180,FA022,23.57,89.95,,Char Bhadrasan,Table-6,B67
Faridpur,181,FA017,23.55,89.78,,Faridpur Sadar,Table-6,B67
Faridpur,182,FA006,23.6,89.57,,Madhukhali,Table-6,B67
Faridpur,183,FA046,23.44,89.79,,Nagarkanda,Table-6,B67
Faridpur,184,FA038,23.51,89.94,,Sadarpur,Table-6,B67
Gopalganj,185,FA027,23.12,89.91,,Gopalganj Sadar,Table-6,B67
Gopalganj,186,FA012,23.22,89.72,,Kashiani,Table-6,B67
